,ENO,FBA1,FBA2,GAPD,PGK,PGMd,PGMi,TPI
0,0.0020421533590741286,0.02172893953226413,0.004584097894604414,0.006383741583639581,0.964864779588916,8.984498920409925e-05,0.000274796123528203,3.164692876953555e-05
1,0.0020421528481389326,0.021728934095806618,0.004584096747689103,0.006383739986463617,0.9648645381852166,8.984496672539215e-05,0.00027479605477577035,3.189711518395993e-05
2,0.0020421533590229764,0.02172893953171987,0.004584097894489591,0.006383741583479679,0.964864779564748,8.984498920184881e-05,0.00027479614856930356,3.164692876874286e-05
3,0.0020421528480877803,0.021728934095262352,0.00458409674757428,0.006383739986303717,0.9648645381610487,8.984496672314173e-05,0.00027479607981686465,3.189711518316097e-05
4,0.002042153359169698,0.021728939533281012,0.004584097894818942,0.006383741583938328,0.9648647796340699,8.984498920830384e-05,0.00027479607674271234,3.1646928771016565e-05
5,0.0020421528482345015,0.021728934096823492,0.004584096747903631,0.006383739986762366,0.9648645382303707,8.984496672959675e-05,0.0002747960079902914,3.189711518545266e-05
6,0.002042153365629634,0.02172893960201609,0.004584097909319803,0.006383741604131995,0.9648647826862232,8.984177939772786e-05,0.0002747961244103246,3.164692887112518e-05
7,0.002042152854694435,0.021728934165558537,0.0045840967624044835,0.006383740006956022,0.9648645412825224,8.984175691982376e-05,0.0002747960556578915,3.189711528635266e-05
8,0.002042153365578483,0.021728939601471826,0.004584097909204981,0.0063837416039720955,0.9648647826620556,8.984177939547751e-05,0.00027479614945142536,3.1646928870332506e-05
9,0.0020421528546432834,0.021728934165014275,0.004584096762289662,0.006383740006796123,0.9648645412583546,8.984175691757343e-05,0.00027479608069898596,3.189711528555371e-05
10,0.0020421533657252033,0.021728939603032967,0.004584097909534331,0.0063837416044307425,0.9648647827313773,8.98417794019323e-05,0.0002747960776248338,3.1646928872606214e-05
11,0.0020421528547900046,0.02172893416657542,0.004584096762619012,0.006383740007254772,0.9648645413276766,8.984175692402823e-05,0.0002747960088724124,3.18971152878454e-05
12,0.0020421533649481777,0.021728939594765247,0.004584097907790111,0.0063837416020017706,0.9648647823642524,8.984211306292992e-05,0.00027479612431862647,3.164692886056476e-05
13,0.002042152854012978,0.0217289341583077,0.004584096760874792,0.0063837400048258,0.9648645409605519,8.984209058494236e-05,0.0002747960555661934,3.1897115275708754e-05
14,0.0020421533648970255,0.021728939594220977,0.004584097907675288,0.0063837416018418715,0.9648647823400847,8.984211306067956e-05,0.0002747961493597271,3.164692885977207e-05
15,0.0020421528539618264,0.021728934157763433,0.00458409676075997,0.0063837400046658985,0.9648645409363837,8.9842090582692e-05,0.00027479608060728783,3.1897115274909785e-05
16,0.002042153365043747,0.021728939595782128,0.00458409790800464,0.00638374160230052,0.9648647824094067,8.984211306713442e-05,0.0002747960775331356,3.1646928862045786e-05
17,0.0020421528541085475,0.02172893415932458,0.004584096761089322,0.006383740005124548,0.9648645410057061,8.984209058914682e-05,0.0002747960087807143,3.189711527720148e-05
18,1.232098871340814e-05,0.00013109790092000445,2.7657383403461028e-05,2.3610667058725103e-05,0.9998029221423289,5.420452589811337e-07,1.6579358963581378e-06,1.9093642034810812e-07
19,1.2320988718307848e-05,0.00013109790097213834,2.765738341445959e-05,2.3610667068114396e-05,0.9998029225399221,5.420452591966896e-07,1.657935897017452e-06,1.905387487676972e-07
20,1.2320988694809536e-05,0.0001310979007221114,2.765738336171205e-05,2.361066702308466e-05,0.9998029206331207,5.420452581629131e-07,1.6579358938554742e-06,1.9244592584573807e-07
21,1.2320988713383332e-05,0.00013109790091974047,2.7657383403405344e-05,2.3610667058677568e-05,0.999802922140316,5.420472722737742e-07,1.6579358963547999e-06,1.9093642034772373e-07
22,1.2320988718283038e-05,0.00013109790097187439,2.7657383414403897e-05,2.361066706806685e-05,0.999802922537909,5.42047272489331e-07,1.6579358970141136e-06,1.905387487673135e-07
23,1.2320988694784728e-05,0.00013109790072184744,2.765738336165636e-05,2.3610667023037125e-05,0.9998029206311076,5.420472714555505e-07,1.6579358938521358e-06,1.924459258453506e-07
24,0.00204721086957458,0.021782752503439785,0.004595450677261038,0.003923062942824349,0.9672543228289494,9.0064277453639e-05,0.0002754766719669635,3.165922853031735e-05
25,0.002047210869523175,0.02178275250289282,0.004595450677145646,0.00392306294272584,0.9672543228046616,9.006427745137746e-05,0.0002754766970700628,3.1659228529522376e-05
26,0.05024260450897803,0.5345918368314946,0.11278145028905641,0.09627972517609312,0.1963546044853774,0.0022104345100416637,0.006760742474937022,0.000778601724021578
27,0.050242685983922224,0.5345927037419682,0.11278163317890576,0.09627988130624025,0.1963549229000098,0.0022104380945498735,0.006760753438363803,0.0007769813560400393
28,0.05024229524393123,0.5345885461866116,0.1127807560702586,0.09627913253257864,0.19635339583752692,0.0022104209038574523,0.0067607008596314785,0.0007847523656041093
29,0.050242604478016054,0.5345918365020526,0.11278145021955494,0.09627972511676079,0.196354604364374,0.0022104345086794847,0.006760743087020194,0.0007786017235417653
30,0.050242685952960144,0.5345927034125252,0.11278163310940399,0.09627988124690777,0.19635492277900596,0.00221043809318769,0.006760754050447961,0.0007769813555612241
31,0.05024229521296962,0.5345885458571736,0.11278075600075795,0.09627913247324706,0.1963533957165249,0.00221042090249529,0.00676070147171091,0.0007847523651205088
32,0.05024260456682578,0.5345918374470067,0.11278145041890944,0.09627972528694655,0.19635460471145394,0.0022104345125866886,0.006760741331352639,0.0007786017249180354
33,0.050242686041770165,0.5345927043574823,0.11278163330875918,0.09627988141709407,0.196354923126087,0.0022104380970949067,0.006760752294777577,0.0007769813569346326
34,0.05024229530177826,0.5345885468021161,0.11278075620011,0.09627913264343071,0.19635339606360058,0.002210420906402446,0.006760699716054086,0.0007847523665076429
35,0.05024260847699778,0.5345918790520559,0.11278145919621851,0.09627973277999531,0.19635461999291245,0.0022103557074251035,0.006760743008881468,0.0007786017855133549
36,0.05024268995195484,0.5345927459626664,0.11278164208609671,0.09627988891016712,0.19635493840759505,0.002210359291805807,0.0067607539723099795,0.0007769814174039433
37,0.050242299211902125,0.534588588406653,0.11278076497731103,0.09627914013638722,0.19635341134487097,0.0022103421017248817,0.006760701393569352,0.0007847524275812648
38,0.05024260844603579,0.5345918787226138,0.11278145912671698,0.09627973272066297,0.19635461987190903,0.0022103557060629726,0.006760743620964689,0.0007786017850335417
39,0.05024268992099275,0.5345927456332233,0.11278164201659496,0.09627988885083459,0.19635493828659123,0.0022103592904436724,0.006760754584394187,0.0007769814169251281
40,0.05024229918094052,0.5345885880772152,0.11278076490781036,0.0962791400770556,0.196353411223869,0.0022103421003627677,0.00676070200564883,0.0007847524270976644
41,0.050242608534845544,0.5345918796675683,0.11278145932607155,0.09627973289084878,0.19635462021898903,0.002210355709970038,0.006760741865296996,0.0007786017864098125
42,0.05024269000980279,0.5345927465781808,0.11278164221595019,0.09627988902102096,0.19635493863367232,0.0022103592943507494,0.006760752828723666,0.0007769814182985367
43,0.05024229926974917,0.5345885890221578,0.11278076510716245,0.09627914024723931,0.19635341157094477,0.0022103421042697843,0.006760700249991869,0.0007847524284847985
44,0.05024260806451489,0.5345918746631515,0.11278145827030278,0.0962797319895558,0.1963546183808759,0.0022103638991007746,0.006760742953376969,0.0007786017791211722
45,0.05024268953947061,0.5345927415737478,0.11278164116017796,0.09627988811972506,0.1963549367955533,0.0022103674834947334,0.006760753916805301,0.0007769814110250535
46,0.05024229879942431,0.5345885840178027,0.11278076405140668,0.09627913934595743,0.19635340973285428,0.0022103502933502415,0.006760701338065535,0.0007847524211386262
47,0.050242608033552905,0.5345918743337095,0.11278145820080124,0.0962797319302235,0.1963546182598725,0.0022103638977386394,0.006760743565460185,0.0007786017786413596
48,0.05024268950850852,0.5345927412443048,0.11278164109067623,0.09627988806039253,0.19635493667454945,0.0022103674821325934,0.006760754528889504,0.0007769814105462384
49,0.050242298768462715,0.5345885836883648,0.11278076398190602,0.09627913928662585,0.19635340961185233,0.0022103502919881227,0.0067607019501450104,0.0007847524206550261
50,0.05024260812236264,0.5345918752786639,0.1127814584001558,0.09627973210040926,0.19635461860695244,0.0022103639016457185,0.006760741809792506,0.0007786017800176301
51,0.05024268959731856,0.5345927421892622,0.11278164129003143,0.0962798882305789,0.19635493702163054,0.002210367486039686,0.006760752773218998,0.000776981411919647
52,0.050242298857271356,0.5345885846333075,0.1127807641812581,0.09627913945680955,0.19635340995892803,0.002210350295895154,0.0067607001944880625,0.0007847524220421601
53,0.0020424351672227335,0.021731938029998663,0.0044467348943094875,0.006384622511797528,0.9649979266691693,8.985738741599482e-05,0.0002748340441801811,3.1651295906002527e-05
54,0.002042435301863219,0.02173193946260163,0.004446735187445129,0.006384622932681719,0.964997990283325,8.985739333953274e-05,0.0002748340622976663,3.158537644610707e-05
55,0.002042434656146514,0.021731932592040627,0.004446733781608092,0.006384620914180729,0.9649976851988401,8.985736493108338e-05,0.0002748339754087721,3.190151684394624e-05
56,0.002042435167171568,0.021731938029454247,0.0044467348941980905,0.006384622511637585,0.9649979266449947,8.985738741374375e-05,0.00027483406922473635,3.1651295905209616e-05
57,0.0020424353018120528,0.021731939462057207,0.004446735187333732,0.006384622932521775,0.9649979902591503,8.985739333728171e-05,0.0002748340873422232,3.15853764453158e-05
58,0.0020424346560953483,0.021731932591496212,0.004446733781496697,0.006384620914020787,0.9649976851746657,8.985736492883231e-05,0.0002748340004533211,3.190151684314707e-05
