,ENO3,FBA13,FBA23,GAPD6,PGK9,PGMd4,PGMi3,TPI3
0,9.486740282227403e-08,2.6141842652867167e-08,2.6919636586519857e-07,2.652015675119745e-08,2.4962175908553253e-08,-1.8590542666228359e-06,1.9467182906795e-06,-2.1817345253647647e-07
1,9.606452522348263e-08,2.6180986161014313e-08,2.695579803257964e-07,2.6725731253063323e-08,2.569051294203269e-08,-1.8583196049291054e-06,1.9468652430815597e-06,-2.1844098796464095e-07
2,1.1878256600539315e-07,2.6216372199907767e-08,2.6990678136940005e-07,2.6720576376537686e-08,2.526671281227744e-08,-1.8582718744905662e-06,1.9468586680962936e-06,-2.187715558734076e-07
3,9.486399221714237e-08,2.6141798811570062e-08,2.691960027112472e-07,2.6519835549798643e-08,2.4961773393292544e-08,-1.8590551408270413e-06,1.946717331117104e-06,-2.1817330984137602e-07
4,9.607180118109682e-08,2.6181169366481982e-08,2.6955985815702016e-07,2.6726211618810506e-08,2.5696485338655085e-08,-1.8583172149481376e-06,1.946864901853863e-06,-2.1844284034400202e-07
5,1.1860907989102998e-07,2.6216347093329438e-08,2.699065378419796e-07,2.672004251191851e-08,2.526547193660265e-08,-1.8582733136872018e-06,1.9468577487070718e-06,-2.1877162645117436e-07
6,9.478685569774824e-08,2.6139578360255655e-08,2.6917283196814523e-07,2.6502389241511718e-08,2.4944313876604233e-08,-1.8591437152034173e-06,1.946708747865441e-06,-2.1816889032085385e-07
7,9.595896699465813e-08,2.6178247929341925e-08,2.695294834542672e-07,2.6706286251898526e-08,2.565691877096793e-08,-1.858415895919952e-06,1.9468546807211608e-06,-2.184322794585025e-07
8,1.1757271067835973e-07,2.619102205058025e-08,2.695899042892691e-07,2.664708088906398e-08,2.5203773870458718e-08,-1.8589330034006344e-06,1.9467362747046327e-06,-2.1851414329647666e-07
9,8.852578048390568e-08,2.5901361836268218e-08,2.6661754104484464e-07,2.323505153556393e-08,2.175049013163413e-08,-1.9058782658731841e-06,1.974527677993955e-06,-2.1902935903970065e-07
10,7.777362043270841e-08,2.583737693422216e-08,2.659645041425129e-07,2.3109355290484853e-08,2.159412647306791e-08,-1.9037746383787635e-06,1.9748550189574738e-06,-2.185830030310143e-07
11,7.759115305816523e-08,2.584022899829657e-08,2.6597579844134245e-07,2.3029566698085094e-08,2.149717966744985e-08,-1.9041643515294029e-06,1.974784937150042e-06,-2.1868581580753585e-07
12,8.86673205968691e-08,2.5901271986133643e-08,2.666165756504135e-07,2.323432399253811e-08,2.174842007765347e-08,-1.9059093254725208e-06,1.974522181362743e-06,-2.1902868745343317e-07
13,7.939149782032473e-08,2.589844015746628e-08,2.6660020541191537e-07,2.3396664453056992e-08,2.1863743958090012e-08,-1.902881718862659e-06,1.9750130509327957e-06,-2.1887648413154717e-07
14,7.759012987662572e-08,2.584019888107113e-08,2.6597548746787325e-07,2.3029366247317995e-08,2.1496980519026404e-08,-1.904164539823228e-06,1.974784086379556e-06,-2.1868571994552392e-07
15,7.925189038360259e-08,2.588004604588788e-08,2.664050642864346e-07,2.314859261220992e-08,2.1687184852212802e-08,-1.90401596533718e-06,1.9748268657813045e-06,-2.1895369002632775e-07
16,7.815475555617013e-08,2.5847219122714858e-08,2.660610980975697e-07,2.3123761835885936e-08,2.1537923877539e-08,-1.9038399976523124e-06,1.974848936563325e-06,-2.1863938301502905e-07
17,7.752032615826465e-08,2.583816482015297e-08,2.659543495986405e-07,2.301550397487695e-08,2.148312190555085e-08,-1.9042339562957973e-06,1.9747785702106237e-06,-2.1867962632859345e-07
18,8.94209506441257e-08,2.5909144164581215e-08,2.666989293853561e-07,2.3418103109462685e-08,2.194076965901168e-08,-1.903800441912471e-06,1.9735616079255662e-06,-2.189348593374749e-07
19,7.871693696870352e-08,2.5845157245925896e-08,2.6604586833567373e-07,2.3292312856248998e-08,2.1784813349296286e-08,-1.9017379615613869e-06,1.9738862048006767e-06,-2.1848805661917048e-07
20,7.853572014937527e-08,2.584800009542364e-08,2.660570551649144e-07,2.3212544553175007e-08,2.1687730383281038e-08,-1.9021265557973045e-06,1.9738162198707754e-06,-2.1859092412502504e-07
21,8.957829322753243e-08,2.5909049374967235e-08,2.666979115883983e-07,2.341734486877023e-08,2.1938531220844212e-08,-1.903834519461359e-06,1.9735556284575016e-06,-2.1893414598914924e-07
22,8.033259746298428e-08,2.590617764861537e-08,2.666810987039803e-07,2.3578993202377774e-08,2.20536300039962e-08,-1.9008466167577567e-06,1.974044361729224e-06,-2.1878189582213994e-07
23,7.853469696783577e-08,2.5847970112662983e-08,2.66056745579224e-07,2.321234768287717e-08,2.1687535982578898e-08,-1.9021266933742667e-06,1.9738153663197e-06,-2.1859082610013823e-07
24,8.019992492336314e-08,2.5887813390930037e-08,2.664863227308523e-07,2.333156468026232e-08,2.187781786722881e-08,-1.9019769847047874e-06,1.9738581885982604e-06,-2.1885873838114848e-07
25,7.91007437328517e-08,2.5855005722232152e-08,2.661425199113055e-07,2.330673802564132e-08,2.1727895565225308e-08,-1.9018031075758927e-06,1.973880167154641e-06,-2.1854453893799253e-07
26,7.84648932494747e-08,2.584593470567734e-08,2.6603559366567003e-07,2.3198450521677568e-08,2.167364080763769e-08,-1.902196611225967e-06,1.973809774891118e-06,-2.185847538327748e-07
27,1.0446427722854423e-07,-2.657507712434647e-07,7.977129712344322e-07,3.494614198018553e-08,3.2081225494499585e-08,-1.851137075913845e-06,1.9485901076777992e-06,-4.1443324695980565e-07
28,1.0452367860125378e-07,-2.6579325967698877e-07,7.973203537403607e-07,3.4895404121826346e-08,3.21752504873693e-08,-1.851204568611013e-06,1.9485878161519693e-06,-4.141584668826415e-07
29,1.0440567166369873e-07,-2.6578480763055304e-07,7.973941933414608e-07,3.487440958238608e-08,3.2016871555004545e-08,-1.851498993842509e-06,1.9485182074588104e-06,-4.1426023479401367e-07
30,1.0343796930101234e-07,-2.658436734498562e-07,7.971200375322951e-07,4.121814911606237e-08,2.732792762807738e-08,-1.8506056706604127e-06,1.9487077930965426e-06,-4.1214878690302726e-07
31,1.045214617079182e-07,-2.6579330077720605e-07,7.973204674271983e-07,3.4895119238598233e-08,3.217454353355957e-08,-1.8512066888135451e-06,1.9485866528061354e-06,-4.141584863948111e-07
32,1.0440436426506494e-07,-2.657848279857136e-07,7.973934543770156e-07,3.487414668157385e-08,3.201660906120181e-08,-1.8514992043770475e-06,1.948517422765386e-06,-4.1426022951470814e-07
33,1.0582459708530224e-07,-2.65787637760672e-07,7.973702622621205e-07,3.4777575930178266e-08,3.1505068472884735e-08,-1.8522995065723026e-06,1.9483448019340417e-06,-4.141990685158081e-07
34,1.0437372566229897e-07,-2.6579629542381025e-07,7.972938647071716e-07,3.487479149910655e-08,3.213510590808523e-08,-1.8513915045744125e-06,1.9485612438119683e-06,-4.1415081647455675e-07
35,1.0431921282361145e-07,-2.657877534115657e-07,7.973673064043395e-07,3.4856570296781804e-08,3.199894663000538e-08,-1.8515865926249986e-06,1.94850958695431e-06,-4.1425333088796455e-07
36,8.545288210370928e-08,-2.662455233487364e-07,7.93300500845362e-07,3.124596181791617e-08,2.8377146122715927e-08,-1.8970823152386627e-06,1.9762816941398798e-06,-4.139429869666131e-07
37,8.610413715359755e-08,-2.661958801605182e-07,7.937429131743556e-07,3.133123338550092e-08,2.870175163098738e-08,-1.8968459194468326e-06,1.9763665234404788e-06,-4.1420133492509064e-07
38,8.68546408128168e-08,-2.661734946712904e-07,7.939356123642938e-07,3.1531670163786885e-08,2.866119480117446e-08,-1.8960318879379658e-06,1.9764705848675486e-06,-4.1428219676314937e-07
39,8.735639767110115e-08,-2.661813816382793e-07,7.938712656141432e-07,3.1478506912208104e-08,2.851862731341123e-08,-1.8961614234314084e-06,1.9764305267016607e-06,-4.1418791446210754e-07
40,8.610368240624666e-08,-2.6619590953567843e-07,7.937430268611935e-07,3.1331059080486063e-08,2.8701652907440686e-08,-1.896845628124311e-06,1.976365590021586e-06,-4.142011283125857e-07
41,8.685395869179047e-08,-2.661735204827662e-07,7.939354986774561e-07,3.153146321821509e-08,2.8660990718546928e-08,-1.8960324563721542e-06,1.9764697202337433e-06,-4.1428219163031934e-07
42,6.86666794535995e-08,-2.662117082132877e-07,7.935881853882166e-07,3.1089280483342925e-08,2.8121529876880963e-08,-1.8988682199960751e-06,1.9759334969700594e-06,-4.142429037424893e-07
43,8.25732513476396e-08,-2.6620488421626913e-07,7.936828865240386e-07,3.1424670199342586e-08,2.9726141577987933e-08,-1.8935026666611061e-06,1.976723459329977e-06,-4.1418550683625105e-07
44,8.67886456035194e-08,-2.661762181711083e-07,7.93909748608712e-07,3.151802219214517e-08,2.864770590519337e-08,-1.896105800369696e-06,1.9764638685692e-06,-4.142712788182158e-07
45,8.63989271238097e-08,-2.662296903411933e-07,7.93444257851661e-07,3.1370245068274016e-08,2.850479271327908e-08,-1.8952118174124272e-06,1.975290912789984e-06,-4.1394283236491277e-07
46,8.704694209882291e-08,-2.6618719129438705e-07,7.938220960568287e-07,3.151202609963377e-08,2.8890759482241155e-08,-1.8948080279177749e-06,1.9754042534830246e-06,-4.141069268326359e-07
47,8.779664995017811e-08,-2.661647723251385e-07,7.940133173178765e-07,3.171195817053274e-08,2.8848983370591278e-08,-1.8940040326417664e-06,1.9755079493132285e-06,-4.141876857923768e-07
48,8.629621106592822e-08,-2.662305814777807e-07,7.934350492178055e-07,3.13763488524188e-08,2.8543051635784852e-08,-1.894962605188328e-06,1.97533367488206e-06,-4.139898582701095e-07
49,8.704586207386455e-08,-2.6618720553164547e-07,7.93821186562127e-07,3.1511846687592986e-08,2.889064158457904e-08,-1.8948074495324539e-06,1.975403336122702e-06,-4.141066953233796e-07
50,8.779596782915178e-08,-2.661648044143989e-07,7.940134878481331e-07,3.1711779424625774e-08,2.8848805024321227e-08,-1.894004506061708e-06,1.97550705706593e-06,-4.141876335208216e-07
51,6.94668642609031e-08,-2.662030182122612e-07,7.936665724628256e-07,3.1267284095193304e-08,2.8306361153033335e-08,-1.8968648743618896e-06,1.974968236318817e-06,-4.141497519027319e-07
52,8.352395752808661e-08,-2.661961925722629e-07,7.93768037965492e-07,3.16047310544576e-08,2.9912626809541765e-08,-1.8914885363483242e-06,1.9757607940075323e-06,-4.140913589523176e-07
53,8.773031368036754e-08,-2.661675247081327e-07,7.939889314911852e-07,3.169833928673427e-08,2.883552787345811e-08,-1.8940781989677338e-06,1.975501189215003e-06,-4.1417736162919437e-07
54,1.0496995628272998e-07,-2.6581541485193417e-07,7.970508590915416e-07,3.486893802862045e-08,3.204342278561971e-08,-1.8510872237782417e-06,1.948619203722342e-06,-4.1403886685007293e-07
55,1.0516208703847953e-07,-2.6588057220415496e-07,7.965481927385555e-07,3.4698406814470666e-08,3.1886350322727485e-08,-1.8511661135944168e-06,1.9485912667027453e-06,-4.1367816913662203e-07
56,1.041435098159127e-07,-2.6583612604744574e-07,7.969404123286951e-07,3.4631200226953325e-08,3.18049142983539e-08,-1.8517551557587864e-06,1.948485159747906e-06,-4.1413596856237743e-07
57,1.0498115443624556e-07,-2.658153911277678e-07,7.970519391164999e-07,3.486814621755929e-08,3.2038276892359593e-08,-1.8510890164915719e-06,1.9486181475073534e-06,-4.14038704777569e-07
58,1.0503123348826193e-07,-2.6588060585251174e-07,7.965478516780422e-07,3.469861499516558e-08,3.1886404500093217e-08,-1.851168605860156e-06,1.948590118868536e-06,-4.1367769204603283e-07
59,1.0414271400804863e-07,-2.658361463670343e-07,7.96940014424763e-07,3.463103015466373e-08,3.1804769888045537e-08,-1.8517552165159042e-06,1.948484404513451e-06,-4.1413592096004726e-07
60,1.049535285346792e-07,-2.658179866927492e-07,7.970368756105017e-07,3.484728346159205e-08,3.198941354171092e-08,-1.8511857504152453e-06,1.9486105571571538e-06,-4.140334804091051e-07
61,1.049940010489081e-07,-2.658835716317723e-07,7.965215900185285e-07,3.467992441830159e-08,3.1867699033230265e-08,-1.8512647856989483e-06,1.9485805143212014e-06,-4.1367098327360635e-07
62,1.0405318562334287e-07,-2.658391313678544e-07,7.969136959218305e-07,3.461352157674291e-08,3.1787197281914904e-08,-1.851845633720647e-06,1.948475962761731e-06,-4.1412817988696534e-07
