protein,concentration
glpX,9.72189973257438E-08
fbp,4.89798906263802E-07
fbaA,1.04037096129594E-05
fbaB,1.1207146664406E-06
pykF,4.61933079771807E-06
pykA,9.87060509764951E-07
pfkA,7.51498179759135E-07
pfkB,4.87243301944287E-07
gpmI,1.37806417860893E-06
gpmA,6.25606417403213E-06
eno,1.87585717032222E-05
gapA,2.44322958804413E-05
pgk,2.07768428482431E-05
tpi,3.85985525986283E-06
