GAPD,GAPD_dhap,GAPD_fdp,GAPD_dhap_g3p
0.000916568701368519,0.30698704160622553,1.7445002582375652e-8,0.6920963722474034
0.001206551116802589,0.0815861885667742,0.9162477995047206,0.0009594608117028163
0.00008430473496587859,0.9396080556573619,0.06030348857518423,4.151032487918326e-6
0.0005115958832718763,0.9636205778050638,0.035853228799718403,0.000014597511945797264
2.4423744717460225e-6,0.953870786573407,0.0004951515505280632,0.04563161950159337
0.6109880952699317,0.10677340543714722,0.009219908362188117,0.273018590930733
0.0011047270904720541,0.000012147429352096578,0.9937394912392573,0.005143634240918505
0.0012559486744307502,0.0015751581945775911,0.9543114808125485,0.04285741231844307
6.251810388703071e-13,8.930908999420704e-7,4.7574977525720856e-8,0.9999990593334974
4.186823156409155e-6,0.9999957937148203,1.9439438352937884e-8,2.258504268620526e-11
0.015752109406193978,0.27809423911014897,0.004202686693103799,0.7019509647905532
0.0012219241308292158,0.32085564415999557,0.6675250688376332,0.010397362871542016
0.00001728127989800281,0.9992367472320783,0.000015475537541830773,0.0007304959504819126
0.000033364208892983824,0.9828036323792865,0.014603549066532662,0.0025594543452878587
9.376226814107628e-8,0.999945159514019,5.721536306554645e-7,0.00005417457008214369
0.001520243042049074,7.264203364423486e-6,0.8392721823636953,0.15920031039089105
0.00028101299412538376,0.000011303591756180163,0.04258803956310125,0.9571196438510172
0.0010040340553666024,0.00003007610723302701,0.927520715094524,0.07144517474287633
0.001309402225313187,0.00001542262814495568,0.9446533124798989,0.054021862666642946
9.069162568596817e-7,0.999404189708322,0.0005912586332961071,3.6447421249961043e-6
