dhap,fdp,g3p
0.969123679257542,0.9999999998914642,0.7584858931499755
0.9987476456808005,0.9972015096564524,0.9998356338410961
0.795671373296508,0.9973600187557567,0.999989807309574
0.9600806467687419,0.999700996024352,0.999993171869282
-6.491987369752835,0.9992528132282323,-2.8621684407045356
0.9505154054429108,0.9997581597121356,0.5983307692799309
0.9999145258921192,0.9966834202402342,0.9990371419342565
0.9993522963620651,0.9971994528765004,0.9929457153757091
-2.9279929002763372e7,0.7195687000649822,-3.3061441151127917e8
-3.3767662257327156,0.9999999828716025,0.9999999988838355
0.9534701260636433,0.9999598310368603,0.6236909360082895
0.9929615400190726,0.9971446244590804,0.9975054446011862
-0.06398207030326185,0.9999966850871319,0.9912235580583719
0.45783127317782313,0.9983823877504658,0.9840985145188768
-194.23148698753673,0.999977512527358,0.8805743096438067
-42.484817345038074,-45.148181406516564,-489.986973257316
0.9373657159230867,0.9994389439544951,0.2927725247786224
0.9986960410460811,0.9965934898364303,0.9852825262113648
0.9989687764508529,0.9963708109703888,0.9883592492785226
-19.295680062402134,0.9975827799259501,0.999164243427915
