,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5616,0,9.84048996802156e-17,1.5723582290648247e-13,1.3733141685477734e-14,3.39387941578409e-14,3.410651088268067e-12,1.9087407706914333e-13,3.8579918068808866e-14,1.0592436351869808e-13,7.884495397607154e-14,3.6201510539290993e-16,1.0672528182389951e-11,2.530227546579389e-13,1.5247698936793341e-12,9.671343587092096e-14,1.0872656941440795e-12,6.224838353108275e-15,4.7349710957655944e-14,4.891013538187855e-14,1.3823577699190182e-18,2.185751579730777e-16,4.323256162785949e-18
5616,1,9.84048996802156e-17,1.5723582290648247e-13,1.3733141685477734e-14,3.39387941578409e-14,3.410651088268067e-12,1.9087407706914333e-13,3.8579918068808866e-14,1.0592436351869808e-13,7.884495397607154e-14,3.6201510539290993e-16,1.0672528182389951e-11,2.530227546579389e-13,1.5247698936793341e-12,9.671343587092096e-14,1.0872656941440795e-12,6.224838353108275e-15,4.7349710957655944e-14,4.891013538187855e-14,1.3823577699190182e-18,2.185751579730777e-16,4.323256162785949e-18
5617,0,4.401620580063263e-11,5.247380119668705e-15,1.4520983970377904e-14,7.842180816406211e-13,8.444319462425076e-12,1.195881474359492e-12,2.260846132702554e-15,1.9535667830324673e-10,6.975796418913667e-14,3.958449236798889e-15,5.83929801213634e-12,1.9660445146896244e-13,3.885907221001794e-12,4.748675411225811e-14,2.0729945537922845e-14,4.0761664876765025e-15,1.3339373008958155e-13,9.221994641452763e-14,3.1170812458958252e-18,1.1796119636642288e-16,3.0837207378006833e-10
5617,1,4.401620580063263e-11,5.247380119668705e-15,1.4520983970377904e-14,7.842180816406211e-13,8.444319462425076e-12,1.195881474359492e-12,2.260846132702554e-15,1.9535667830324673e-10,6.975796418913667e-14,3.958449236798889e-15,5.83929801213634e-12,1.9660445146896244e-13,3.885907221001794e-12,4.748675411225811e-14,2.0729945537922845e-14,4.0761664876765025e-15,1.3339373008958155e-13,9.221994641452763e-14,3.1170812458958252e-18,1.1796119636642288e-16,3.0837207378006833e-10
5618,0,1.3837179937015859e-11,4.3553224584767444e-14,1.4772665241687827e-13,5.306160377619232e-13,3.1566317485257067e-12,4.946509781639241e-15,1.8871047031878557e-15,1.4097250656316257e-14,3.791961184071088e-14,1.2041962479253376e-15,4.735207668679631e-12,5.80146824677441e-14,4.843620296512974e-12,2.7743432551297076e-14,1.6243603684351626e-13,5.583641188300348e-18,1.0889726620444407e-14,3.7077600104767905e-14,3.061395066486852e-11,1.734723475976807e-17,7.559371043627111e-12
5618,1,1.3837179937015859e-11,4.3553224584767444e-14,1.4772665241687827e-13,5.306160377619232e-13,3.1566317485257067e-12,4.946509781639241e-15,1.8871047031878557e-15,1.4097250656316257e-14,3.791961184071088e-14,1.2041962479253376e-15,4.735207668679631e-12,5.80146824677441e-14,4.843620296512974e-12,2.7743432551297076e-14,1.6243603684351626e-13,5.583641188300348e-18,1.0889726620444407e-14,3.7077600104767905e-14,3.061395066486852e-11,1.734723475976807e-17,7.559371043627111e-12
5619,0,1.1302807648161384e-17,1.567635537575102e-13,1.3605680167574907e-14,3.3593380898214176e-14,3.410350181507621e-12,7.458904370885588e-16,1.468619605267396e-16,1.0497065863019836e-13,7.872545795600469e-14,3.483948156010608e-16,1.049507594545751e-11,2.5260772206631144e-13,1.5025879845920187e-12,9.642113496521887e-14,1.083933290346728e-12,6.213779490948923e-15,4.6436379047554155e-14,4.888784147470682e-14,1.2468324983583301e-18,2.220446049250313e-16,1.9922214919421144e-18
5619,1,1.1302807648161384e-17,1.567635537575102e-13,1.3605680167574907e-14,3.3593380898214176e-14,3.410350181507621e-12,7.458904370885588e-16,1.468619605267396e-16,1.0497065863019836e-13,7.872545795600469e-14,3.483948156010608e-16,1.049507594545751e-11,2.5260772206631144e-13,1.5025879845920187e-12,9.642113496521887e-14,1.083933290346728e-12,6.213779490948923e-15,4.6436379047554155e-14,4.888784147470682e-14,1.2468324983583301e-18,2.220446049250313e-16,1.9922214919421144e-18
5620,0,2.8026759325882125e-11,5.200907657017598e-15,1.4962952209728042e-14,7.778723276402263e-13,8.439507827393694e-12,1.0497266304896474e-12,2.2843767079772787e-15,1.9290177259907205e-10,6.931319396479702e-14,3.3495884017853417e-15,5.907746947891868e-12,1.9583488476693223e-13,3.974005152729276e-12,4.698194958074886e-14,2.0539125955565396e-14,4.0618008088910695e-15,1.3254675135243588e-13,9.162461100161584e-14,3.005950523216061e-17,1.1796119636642288e-16,2.423065111864563e-10
5620,1,2.8026759325882125e-11,5.200907657017598e-15,1.4962952209728042e-14,7.778723276402263e-13,8.439507827393694e-12,1.0497266304896474e-12,2.2843767079772787e-15,1.9290177259907205e-10,6.931319396479702e-14,3.3495884017853417e-15,5.907746947891868e-12,1.9583488476693223e-13,3.974005152729276e-12,4.698194958074886e-14,2.0539125955565396e-14,4.0618008088910695e-15,1.3254675135243588e-13,9.162461100161584e-14,3.005950523216061e-17,1.1796119636642288e-16,2.423065111864563e-10
