,Unnamed: 1,vENO,vFBA1,vFBA2,vGAPD,vPGK,vPGMd,vPGMi,vTPI,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
3672,0,1.0695615006035956e-09,0.07474209158273475,0.999999944406296,1.3900885517835911e-06,5.354967551248981e-06,5.500488621211035e-09,8.2404498641912e-10,0.013691951367963608,0.00012359594255267921,1.5790362367287082e-10,2.874692957241394e-07,3.378604849829083e-07,8.270746527436059e-07,1.8743477457639406e-06,1.7733714031234032e-08,0.0002369708605046945,2.416926952692891e-09,2.435884672102898e-06,3.0267359751912925e-11,5.333454505562634e-11,8.219795722643421e-13
3672,1,1.0695615006035956e-09,0.07474209158273475,0.999999944406296,1.3900885517835911e-06,5.354967551248981e-06,5.500488621211035e-09,8.2404498641912e-10,0.013691951367963608,0.00012359594255267921,1.5790362367287082e-10,2.874692957241394e-07,3.378604849829083e-07,8.270746527436059e-07,1.8743477457639406e-06,1.7733714031234032e-08,0.0002369708605046945,2.416926952692891e-09,2.435884672102898e-06,3.0267359751912925e-11,5.333454505562634e-11,8.219795722643421e-13
3673,0,5.995505815102671e-09,0.11150687580841614,0.9999999442457522,2.614408585553705e-06,1.8414747611084838e-09,1.2535711994996791e-10,3.1825218135763226e-10,2.633176674976476e-05,0.00019527256232925713,1.3310412291842738e-12,5.4369078007747444e-11,5.5357272663462e-10,3.3008383150362417e-12,2.932562907248426e-06,3.019260288832093e-06,0.0004193923582767914,4.515420070801816e-09,4.588836716600823e-06,4.282363032503367e-09,9.47864520485282e-11,1.1950419000104098e-13
3673,1,5.995505815102671e-09,0.11150687580841614,0.9999999442457522,2.614408585553705e-06,1.8414747611084838e-09,1.2535711994996791e-10,3.1825218135763226e-10,2.633176674976476e-05,0.00019527256232925713,1.3310412291842738e-12,5.4369078007747444e-11,5.5357272663462e-10,3.3008383150362417e-12,2.932562907248426e-06,3.019260288832093e-06,0.0004193923582767914,4.515420070801816e-09,4.588836716600823e-06,4.282363032503367e-09,9.47864520485282e-11,1.1950419000104098e-13
3674,0,1.462533224459906e-07,0.20453009722791352,0.9999999433725061,4.583335033068998e-06,1.4929570536552675e-07,9.880934194849394e-10,1.2845027571834494e-08,0.010939257528531804,0.0003708982108758869,1.5229441279281195e-09,3.1245578759161898e-09,4.703998643466265e-08,6.751105854403072e-09,5.303158078199979e-06,5.2346695714371975e-08,0.0007575330467092034,7.838555172592747e-09,8.114601474956049e-06,2.4032345100783314e-07,1.7090684400011265e-10,3.2185241186447256e-10
3674,1,1.462533224459906e-07,0.20453009722791352,0.9999999433725061,4.583335033068998e-06,1.4929570536552675e-07,9.880934194849394e-10,1.2845027571834494e-08,0.010939257528531804,0.0003708982108758869,1.5229441279281195e-09,3.1245578759161898e-09,4.703998643466265e-08,6.751105854403072e-09,5.303158078199979e-06,5.2346695714371975e-08,0.0007575330467092034,7.838555172592747e-09,8.114601474956049e-06,2.4032345100783314e-07,1.7090684400011265e-10,3.2185241186447256e-10
3675,0,6.210121540664707e-10,0.08081795274971915,0.999999944371601,1.1017869145444539e-06,2.7551207982515116e-05,4.7771290802197446e-08,3.1003338815804806e-08,0.007909710234074621,0.00012590131316260562,8.673040142616277e-10,1.4902515364692828e-06,1.6927749736614672e-06,4.295861134403325e-06,2.044375469820741e-06,1.9484623732633694e-08,0.00020763403095053835,1.921715101863934e-09,1.9218106623648343e-06,9.266952911179839e-11,4.640421589524067e-11,1.0330327997490806e-12
3675,1,6.210121540664707e-10,0.08081795274971915,0.999999944371601,1.1017869145444539e-06,2.7551207982515116e-05,4.7771290802197446e-08,3.1003338815804806e-08,0.007909710234074621,0.00012590131316260562,8.673040142616277e-10,1.4902515364692828e-06,1.6927749736614672e-06,4.295861134403325e-06,2.044375469820741e-06,1.9484623732633694e-08,0.00020763403095053835,1.921715101863934e-09,1.9218106623648343e-06,9.266952911179839e-11,4.640421589524067e-11,1.0330327997490806e-12
3676,0,5.62922696146167e-13,0.07380719192948325,0.9999999444707781,1.6931435558353605e-06,5.686721217030238e-09,3.376991972294305e-09,3.50169409516777e-10,0.013848891792200778,0.00012788251129015313,7.499655550417159e-12,1.1074533808936253e-10,1.5519047195970728e-09,4.6626592917794464e-11,1.8467917622726394e-06,1.744038895392185e-08,0.0002726684989033403,2.921693898526829e-09,2.9713598012099128e-06,6.844026213814747e-13,6.159357078300914e-11,4.637939631093752e-13
3676,1,5.62922696146167e-13,0.07380719192948325,0.9999999444707781,1.6931435558353605e-06,5.686721217030238e-09,3.376991972294305e-09,3.50169409516777e-10,0.013848891792200778,0.00012788251129015313,7.499655550417159e-12,1.1074533808936253e-10,1.5519047195970728e-09,4.6626592917794464e-11,1.8467917622726394e-06,1.744038895392185e-08,0.0002726684989033403,2.921693898526829e-09,2.9713598012099128e-06,6.844026213814747e-13,6.159357078300914e-11,4.637939631093752e-13
