,,0,1,2,3,4,5,6,7
1458,0,9.055447060012137e-06,5.1737250220968406e-08,1.0000005551115122e-12,2.963708998802137e-06,3.099278235764651e-05,3.912712052386113e-07,1.194892335389163e-06,1.0000005551115122e-12
1458,1,9.055447060012137e-06,5.1737250220968406e-08,1.0000005551115122e-12,2.963708998802137e-06,3.099278235764651e-05,3.912712052386113e-07,1.194892335389163e-06,1.0000005551115122e-12
1459,0,9.054798074365867e-06,6.902049652543568e-07,1.0000005551115122e-12,2.795136675908429e-06,3.9120195848322026e-10,3.885414366776905e-07,1.1882029327624518e-06,1.0000005551115122e-12
1459,1,9.054798074365867e-06,6.902049652543568e-07,1.0000005551115122e-12,2.795136675908429e-06,3.9120195848322026e-10,3.885414366776905e-07,1.1882029327624518e-06,1.0000005551115122e-12
1460,0,8.982196454675329e-06,1.2512001924942035e-07,1.0000005551115122e-12,1.468715701523629e-05,0.0021763579786984065,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1460,1,8.982196454675329e-06,1.2512001924942035e-07,1.0000005551115122e-12,1.468715701523629e-05,0.0021763579786984065,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1461,0,9.0552340060055e-06,3.707553370822636e-08,1.0000005551115122e-12,2.963636634877292e-06,3.098688884360088e-05,3.912718940592784e-07,1.1948945763243778e-06,1.0000005551115122e-12
1461,1,9.0552340060055e-06,3.707553370822636e-08,1.0000005551115122e-12,2.963636634877292e-06,3.098688884360088e-05,3.912718940592784e-07,1.1948945763243778e-06,1.0000005551115122e-12
1462,0,9.054587341037324e-06,9.644463226127842e-07,1.0000005551115122e-12,2.7951529269206304e-06,3.913470213338263e-10,3.885426109600284e-07,1.1882063213152232e-06,1.0000005551115122e-12
1462,1,9.054587341037324e-06,9.644463226127842e-07,1.0000005551115122e-12,2.7951529269206304e-06,3.913470213338263e-10,3.885426109600284e-07,1.1882063213152232e-06,1.0000005551115122e-12
1463,0,8.982196453673909e-06,1.3567597009234705e-07,1.0000005551115122e-12,1.4648721052924457e-05,0.0021783431027512057,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1463,1,8.982196453673909e-06,1.3567597009234705e-07,1.0000005551115122e-12,1.4648721052924457e-05,0.0021783431027512057,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1464,0,9.04315547588118e-06,6.721455980004555e-08,1.0000005551115122e-12,2.964377185120013e-06,3.103313098802708e-05,3.9134532090276537e-07,1.1950992906626163e-06,1.0000005551115122e-12
1464,1,9.04315547588118e-06,6.721455980004555e-08,1.0000005551115122e-12,2.964377185120013e-06,3.103313098802708e-05,3.9134532090276537e-07,1.1950992906626163e-06,1.0000005551115122e-12
1465,0,9.04277061784689e-06,7.687877449238149e-07,1.0000005551115122e-12,2.794030240786129e-06,4.08422716634301e-10,3.8860857346936536e-07,1.1883902562974502e-06,1.0000005551115122e-12
1465,1,9.04277061784689e-06,7.687877449238149e-07,1.0000005551115122e-12,2.794030240786129e-06,4.08422716634301e-10,3.8860857346936536e-07,1.1883902562974502e-06,1.0000005551115122e-12
1466,0,8.982195318051756e-06,1.251804570575058e-07,1.0000005551115122e-12,1.5303312817016606e-05,0.0021448284805919136,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1466,1,8.982195318051756e-06,1.251804570575058e-07,1.0000005551115122e-12,1.5303312817016606e-05,0.0021448284805919136,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1467,0,9.053020166738814e-06,1.5948605629263516e-07,1.0000005551115122e-12,2.9508211691044326e-06,3.090505252713843e-05,3.91262673005914e-07,1.1949117487584064e-06,1.0000005551115122e-12
1467,1,9.053020166738814e-06,1.5948605629263516e-07,1.0000005551115122e-12,2.9508211691044326e-06,3.090505252713843e-05,3.91262673005914e-07,1.1949117487584064e-06,1.0000005551115122e-12
1468,0,9.052382964617255e-06,6.998914522181431e-07,1.0000005551115122e-12,2.7951480092204947e-06,3.912100325801661e-10,3.885406772984644e-07,1.1882405407480627e-06,1.0000005551115122e-12
1468,1,9.052382964617255e-06,6.998914522181431e-07,1.0000005551115122e-12,2.7951480092204947e-06,3.912100325801661e-10,3.885406772984644e-07,1.1882405407480627e-06,1.0000005551115122e-12
1469,0,8.982196451206437e-06,4.5232984138111985e-08,1.0000005551115122e-12,1.4625839471390008e-05,0.002179544694343065,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1469,1,8.982196451206437e-06,4.5232984138111985e-08,1.0000005551115122e-12,1.4625839471390008e-05,0.002179544694343065,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1470,0,9.052809203113377e-06,3.8368003027999456e-08,1.0000005551115122e-12,2.9636449372344263e-06,3.099440896349137e-05,3.912719356843152e-07,1.1949349580118123e-06,1.0000005551115122e-12
1470,1,9.052809203113377e-06,3.8368003027999456e-08,1.0000005551115122e-12,2.9636449372344263e-06,3.099440896349137e-05,3.912719356843152e-07,1.1949349580118123e-06,1.0000005551115122e-12
1471,0,9.052172325204696e-06,9.765070615680101e-07,1.0000005551115122e-12,2.7950327016497923e-06,3.912746442295237e-10,3.885418522191806e-07,1.1882439297371517e-06,1.0000005551115122e-12
1471,1,9.052172325204696e-06,9.765070615680101e-07,1.0000005551115122e-12,2.7950327016497923e-06,3.912746442295237e-10,3.885418522191806e-07,1.1882439297371517e-06,1.0000005551115122e-12
1472,0,8.982196467149795e-06,1.1339244658038714e-07,1.0000005551115122e-12,1.6051448726483606e-05,0.0021226700380407655,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1472,1,8.982196467149795e-06,1.1339244658038714e-07,1.0000005551115122e-12,1.6051448726483606e-05,0.0021226700380407655,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1473,0,9.040733605398374e-06,2.7397184851294217e-08,1.0000005551115122e-12,2.9584838779017064e-06,3.0952045318872764e-05,3.913373926730268e-07,1.1951201729068812e-06,1.0000005551115122e-12
1473,1,9.040733605398374e-06,2.7397184851294217e-08,1.0000005551115122e-12,2.9584838779017064e-06,3.0952045318872764e-05,3.913373926730268e-07,1.1951201729068812e-06,1.0000005551115122e-12
1474,0,9.040359622644758e-06,1.1444710027695325e-06,1.0000005551115122e-12,2.793175835380899e-06,4.0747334272157846e-10,3.8860782917196394e-07,1.1884279103756351e-06,1.0000005551115122e-12
1474,1,9.040359622644758e-06,1.1444710027695325e-06,1.0000005551115122e-12,2.793175835380899e-06,4.0747334272157846e-10,3.8860782917196394e-07,1.1884279103756351e-06,1.0000005551115122e-12
1475,0,8.982195313230058e-06,5.48248338349959e-08,1.0000005551115122e-12,1.5235644715118757e-05,0.0021481111841747586,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1475,1,8.982195313230058e-06,5.48248338349959e-08,1.0000005551115122e-12,1.5235644715118757e-05,0.0021481111841747586,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1476,0,9.051883720829882e-06,5.879844725956648e-08,1.0000005551115122e-12,2.9530984487229727e-06,3.092347301048025e-05,3.9127233607570186e-07,1.194933964374973e-06,1.0000005551115122e-12
1476,1,9.051883720829882e-06,5.879844725956648e-08,1.0000005551115122e-12,2.9530984487229727e-06,3.092347301048025e-05,3.9127233607570186e-07,1.194933964374973e-06,1.0000005551115122e-12
1477,0,9.05124703986755e-06,6.125297640938208e-07,1.0000005551115122e-12,2.7942360674773547e-06,3.9023381236448774e-10,3.8854847312245e-07,1.1882582370469317e-06,1.0000005551115122e-12
1477,1,9.05124703986755e-06,6.125297640938208e-07,1.0000005551115122e-12,2.7942360674773547e-06,3.9023381236448774e-10,3.8854847312245e-07,1.1882582370469317e-06,1.0000005551115122e-12
1478,0,8.982196452236724e-06,8.529508772252877e-08,1.0000005551115122e-12,1.4668637419330767e-05,0.002177299754572054,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1478,1,8.982196452236724e-06,8.529508772252877e-08,1.0000005551115122e-12,1.4668637419330767e-05,0.002177299754572054,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1479,0,9.051672436040794e-06,3.942829261069278e-08,1.0000005551115122e-12,2.963640988776755e-06,3.099533333387929e-05,3.912800245549987e-07,1.1949533234037954e-06,1.0000005551115122e-12
1479,1,9.051672436040794e-06,3.942829261069278e-08,1.0000005551115122e-12,2.963640988776755e-06,3.099533333387929e-05,3.912800245549987e-07,1.1949533234037954e-06,1.0000005551115122e-12
1480,0,9.051036447517901e-06,9.633534803767435e-07,1.0000005551115122e-12,2.7951638939218253e-06,3.9138827333563666e-10,3.8854964806092974e-07,1.1882616265250739e-06,1.0000005551115122e-12
1480,1,9.051036447517901e-06,9.633534803767435e-07,1.0000005551115122e-12,2.7951638939218253e-06,3.9138827333563666e-10,3.8854964806092974e-07,1.1882616265250739e-06,1.0000005551115122e-12
1481,0,0.0002749697009304856,0.00021084410458297427,1.0000005551115122e-12,1.9083719039780252e-05,0.0022246265387641084,2.9489681381245892e-05,3.0479116683310282e-05,1.0000005551115122e-12
1481,1,0.0002749697009304856,0.00021084410458297427,1.0000005551115122e-12,1.9083719039780252e-05,0.0022246265387641084,2.9489681381245892e-05,3.0479116683310282e-05,1.0000005551115122e-12
1482,0,9.039598414173023e-06,5.4069746359747696e-08,1.0000005551115122e-12,2.9531837589290856e-06,3.091091993036834e-05,3.913416999025994e-07,1.1951292860199224e-06,1.0000005551115122e-12
1482,1,9.039598414173023e-06,5.4069746359747696e-08,1.0000005551115122e-12,2.9531837589290856e-06,3.091091993036834e-05,3.913416999025994e-07,1.1951292860199224e-06,1.0000005551115122e-12
1483,0,9.039225802452138e-06,1.169559818959921e-06,1.0000005551115122e-12,2.795157108698332e-06,4.0966355462209166e-10,3.886156332238124e-07,1.1884456264486863e-06,1.0000005551115122e-12
1483,1,9.039225802452138e-06,1.169559818959921e-06,1.0000005551115122e-12,2.795157108698332e-06,4.0966355462209166e-10,3.886156332238124e-07,1.1884456264486863e-06,1.0000005551115122e-12
1484,0,8.982195316361996e-06,1.1956012068565396e-07,1.0000005551115122e-12,1.529828282329779e-05,0.002145075585714605,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1484,1,8.982195316361996e-06,1.1956012068565396e-07,1.0000005551115122e-12,1.529828282329779e-05,0.002145075585714605,1.0000005551115122e-12,1.0000005551115122e-12,1.0000005551115122e-12
1485,0,9.058691225957694e-06,1.975791100512816e-07,1.0000005551115122e-12,1.6035530273587696e-05,0.0022683385772950893,4.0509752855570637e-07,1.2287406730390754e-06,2.3639848614670097e-05
1485,1,9.058691225957694e-06,1.975791100512816e-07,1.0000005551115122e-12,1.6035530273587696e-05,0.0022683385772950893,4.0509752855570637e-07,1.2287406730390754e-06,2.3639848614670097e-05
1486,0,9.058155459060234e-06,1.106465353444568e-06,1.0000005551115122e-12,1.1338338640327249e-05,0.002017793278369844,4.028424128123439e-07,1.2237179289816856e-06,1.0000005551115122e-12
1486,1,9.058155459060234e-06,1.106465353444568e-06,1.0000005551115122e-12,1.1338338640327249e-05,0.002017793278369844,4.028424128123439e-07,1.2237179289816856e-06,1.0000005551115122e-12
1487,0,9.060436846520618e-06,0.000516526303559414,1.7437979977994735e-05,1.768338346767334e-05,0.0030004768995853127,4.12489272594043e-07,1.2464513063189022e-06,4.661432132068589e-07
1487,1,9.060436846520618e-06,0.000516526303559414,1.7437979977994735e-05,1.768338346767334e-05,0.0030004768995853127,4.12489272594043e-07,1.2464513063189022e-06,4.661432132068589e-07
1488,0,9.05847203440947e-06,1.831483414337687e-07,1.0000005551115122e-12,1.603551442200654e-05,0.0022683436977543464,4.050990283276795e-07,1.228745178807056e-06,2.3639814220319953e-05
1488,1,9.05847203440947e-06,1.831483414337687e-07,1.0000005551115122e-12,1.603551442200654e-05,0.0022683436977543464,4.050990283276795e-07,1.228745178807056e-06,2.3639814220319953e-05
