,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1242,0,4.764956814263654e-11,6.100000101792922e-06,5.4669080736173946e-05,2.511810161109169e-06,1.919747873122365e-06,2.396580257109284e-10,1.1706669996689882e-08,2.9552464586301956e-05,8.035806129417783e-06,1.8166845405667795e-10,2.488082594552434e-07,1.1500746863961743e-06,4.578282144715451e-08,0.0028761745463646744,7.366904484010228e-08,0.00039405369853168275,9.2178577557403e-08,3.3340820248384923e-06,7.153876536297732e-11,1.0621474103023054e-08,5.027546887375993e-11
1242,1,4.764956814263654e-11,6.100000101792922e-06,5.4669080736173946e-05,2.511810161109169e-06,1.919747873122365e-06,2.396580257109284e-10,1.1706669996689882e-08,2.9552464586301956e-05,8.035806129417783e-06,1.8166845405667795e-10,2.488082594552434e-07,1.1500746863961743e-06,4.578282144715451e-08,0.0028761745463646744,7.366904484010228e-08,0.00039405369853168275,9.2178577557403e-08,3.3340820248384923e-06,7.153876536297732e-11,1.0621474103023054e-08,5.027546887375993e-11
1243,0,4.712533325807594e-11,6.100000073037084e-06,5.439585162783587e-05,2.335530665723343e-06,1.7402626625773643e-06,1.8651084184571377e-10,1.1000242108007087e-08,5.9000437530381904e-05,7.722007469111133e-06,1.744297335965015e-10,2.3371848918078524e-07,1.065390818942493e-06,3.972924353216889e-08,0.002222949160997474,1.4785296341759957e-07,0.0003689890824400888,8.570995008042384e-08,3.084369996784851e-06,7.138783086804018e-11,9.819946470562835e-09,3.974950265315559e-11
1243,1,4.712533325807594e-11,6.100000073037084e-06,5.439585162783587e-05,2.335530665723343e-06,1.7402626625773643e-06,1.8651084184571377e-10,1.1000242108007087e-08,5.9000437530381904e-05,7.722007469111133e-06,1.744297335965015e-10,2.3371848918078524e-07,1.065390818942493e-06,3.972924353216889e-08,0.002222949160997474,1.4785296341759957e-07,0.0003689890824400888,8.570995008042384e-08,3.084369996784851e-06,7.138783086804018e-11,9.819946470562835e-09,3.974950265315559e-11
1244,0,4.760956380652978e-11,6.10000010086954e-06,5.4796048671960825e-05,2.4983371936470976e-06,1.910875277322355e-06,2.378708839872578e-10,1.1663911278811363e-08,3.22473699339162e-05,8.030311235535187e-06,1.8100051626501312e-10,2.4789456140443013e-07,1.1454619116379842e-06,4.552130868258619e-08,0.002866258756487659,3.2855964022387996e-08,0.0003912391880435717,9.172651608798169e-08,3.3167476866554886e-06,7.153796443572745e-11,1.0556517136134369e-08,4.991921864750098e-11
1244,1,4.760956380652978e-11,6.10000010086954e-06,5.4796048671960825e-05,2.4983371936470976e-06,1.910875277322355e-06,2.378708839872578e-10,1.1663911278811363e-08,3.22473699339162e-05,8.030311235535187e-06,1.8100051626501312e-10,2.4789456140443013e-07,1.1454619116379842e-06,4.552130868258619e-08,0.002866258756487659,3.2855964022387996e-08,0.0003912391880435717,9.172651608798169e-08,3.3167476866554886e-06,7.153796443572745e-11,1.0556517136134369e-08,4.991921864750098e-11
1245,0,4.768123764743726e-11,6.1000001018067975e-06,5.464682830105719e-05,2.5123495482584944e-06,1.920809719793164e-06,2.393551154261826e-10,1.1727081305814164e-08,2.9544013751672514e-05,8.0383354470572e-06,1.8358490900714178e-10,2.4888242211714914e-07,1.1505448039575905e-06,4.58252743303772e-08,0.002876325151068092,7.303285402132653e-08,0.0003940923105662879,9.220872320206408e-08,3.3351164148903495e-06,7.156025576791902e-11,1.0623633639461616e-08,5.02225039442257e-11
1245,1,4.768123764743726e-11,6.1000001018067975e-06,5.464682830105719e-05,2.5123495482584944e-06,1.920809719793164e-06,2.393551154261826e-10,1.1727081305814164e-08,2.9544013751672514e-05,8.0383354470572e-06,1.8358490900714178e-10,2.4888242211714914e-07,1.1505448039575905e-06,4.58252743303772e-08,0.002876325151068092,7.303285402132653e-08,0.0003940923105662879,9.220872320206408e-08,3.3351164148903495e-06,7.156025576791902e-11,1.0623633639461616e-08,5.02225039442257e-11
1246,0,4.7149664990993496e-11,6.100000073037138e-06,5.439591011770354e-05,2.3355293744343407e-06,1.740262361624864e-06,1.865194228044655e-10,1.10161092146774e-08,5.900043753025061e-05,7.721995919947578e-06,1.7608993188827742e-10,2.3371912681157542e-07,1.06539002793385e-06,3.972930535077468e-08,0.002222949390445473,1.478322751522626e-07,0.0003689890552451009,8.570990379409837e-08,3.0843682932527196e-06,7.140943099424174e-11,9.819989748444113e-09,3.975007146627286e-11
1246,1,4.7149664990993496e-11,6.100000073037138e-06,5.439591011770354e-05,2.3355293744343407e-06,1.740262361624864e-06,1.865194228044655e-10,1.10161092146774e-08,5.900043753025061e-05,7.721995919947578e-06,1.7608993188827742e-10,2.3371912681157542e-07,1.06539002793385e-06,3.972930535077468e-08,0.002222949390445473,1.478322751522626e-07,0.0003689890552451009,8.570990379409837e-08,3.0843682932527196e-06,7.140943099424174e-11,9.819989748444113e-09,3.975007146627286e-11
1247,0,4.762358576612148e-11,6.10000010082046e-06,5.4795458408503674e-05,2.49652869724943e-06,1.907380828334031e-06,2.370613294560989e-10,1.1670672224964063e-08,3.228821787348206e-05,8.021338232836965e-06,1.826257341289465e-10,2.476793876078978e-07,1.14402651706601e-06,4.538551325733442e-08,0.0028657359648111107,3.304009179097567e-08,0.0003911411418456306,9.166113177673518e-08,3.3140478460897636e-06,7.156066082585066e-11,1.0550012013305077e-08,4.975687434771378e-11
1247,1,4.762358576612148e-11,6.10000010082046e-06,5.4795458408503674e-05,2.49652869724943e-06,1.907380828334031e-06,2.370613294560989e-10,1.1670672224964063e-08,3.228821787348206e-05,8.021338232836965e-06,1.826257341289465e-10,2.476793876078978e-07,1.14402651706601e-06,4.538551325733442e-08,0.0028657359648111107,3.304009179097567e-08,0.0003911411418456306,9.166113177673518e-08,3.3140478460897636e-06,7.156066082585066e-11,1.0550012013305077e-08,4.975687434771378e-11
1248,0,5.05383481916831e-11,6.1000001016802465e-06,5.465633017072092e-05,2.5074292360094153e-06,1.9112688966568695e-06,2.047648449995769e-10,1.2688593214846858e-08,2.963651687956674e-05,8.01324114300076e-06,3.9919869611272554e-10,2.484013214920991e-07,1.1465742616626829e-06,4.5460419029891286e-08,0.002874978312206438,7.191573497995762e-08,0.0003938312177947227,9.202371883303487e-08,3.327596487404924e-06,7.41110901217746e-11,1.0606249826322633e-08,4.3453617914741664e-11
1248,1,5.05383481916831e-11,6.1000001016802465e-06,5.465633017072092e-05,2.5074292360094153e-06,1.9112688966568695e-06,2.047648449995769e-10,1.2688593214846858e-08,2.963651687956674e-05,8.01324114300076e-06,3.9919869611272554e-10,2.484013214920991e-07,1.1465742616626829e-06,4.5460419029891286e-08,0.002874978312206438,7.191573497995762e-08,0.0003938312177947227,9.202371883303487e-08,3.327596487404924e-06,7.41110901217746e-11,1.0606249826322633e-08,4.3453617914741664e-11
1249,0,4.984291562923522e-11,6.100000073172179e-06,5.43468359638458e-05,2.3371422696383324e-06,1.7449494972493414e-06,1.879115526240904e-10,1.1962057558736767e-08,5.900043580044358e-05,7.73588457593219e-06,3.7430996671606546e-10,2.3408879610197983e-07,1.0672232671272205e-06,3.9921601661593864e-08,0.0022257423302155443,1.6228717933733372e-07,0.0003690215035681087,8.576992711678208e-08,3.0869549845847556e-06,7.38552657615979e-11,9.824044210071659e-09,3.989426397197314e-11
