,ENO_total,FBA1_total,FBA2_total,GAPD_total,PGK_total,PGMd_total,PGMi_total,TPI_total
864,1,2,1,2,3,1,1,1
865,1,2,1,2,3,1,1,2
866,1,2,1,2,3,1,1,3
867,1,2,1,2,3,1,2,1
868,1,2,1,2,3,1,2,2
869,1,2,1,2,3,1,2,3
870,1,2,1,2,3,1,3,1
871,1,2,1,2,3,1,3,2
872,1,2,1,2,3,1,3,3
873,1,2,1,2,3,2,1,1
874,1,2,1,2,3,2,1,2
875,1,2,1,2,3,2,1,3
876,1,2,1,2,3,2,2,1
877,1,2,1,2,3,2,2,2
878,1,2,1,2,3,2,2,3
879,1,2,1,2,3,2,3,1
880,1,2,1,2,3,2,3,2
881,1,2,1,2,3,2,3,3
882,1,2,1,2,3,3,1,1
883,1,2,1,2,3,3,1,2
884,1,2,1,2,3,3,1,3
885,1,2,1,2,3,3,2,1
886,1,2,1,2,3,3,2,2
887,1,2,1,2,3,3,2,3
888,1,2,1,2,3,3,3,1
889,1,2,1,2,3,3,3,2
890,1,2,1,2,3,3,3,3
918,1,2,1,3,2,1,1,1
919,1,2,1,3,2,1,1,2
920,1,2,1,3,2,1,1,3
921,1,2,1,3,2,1,2,1
922,1,2,1,3,2,1,2,2
923,1,2,1,3,2,1,2,3
924,1,2,1,3,2,1,3,1
925,1,2,1,3,2,1,3,2
926,1,2,1,3,2,1,3,3
927,1,2,1,3,2,2,1,1
928,1,2,1,3,2,2,1,2
929,1,2,1,3,2,2,1,3
930,1,2,1,3,2,2,2,1
931,1,2,1,3,2,2,2,2
932,1,2,1,3,2,2,2,3
933,1,2,1,3,2,2,3,1
934,1,2,1,3,2,2,3,2
935,1,2,1,3,2,2,3,3
936,1,2,1,3,2,3,1,1
937,1,2,1,3,2,3,1,2
938,1,2,1,3,2,3,1,3
939,1,2,1,3,2,3,2,1
940,1,2,1,3,2,3,2,2
941,1,2,1,3,2,3,2,3
942,1,2,1,3,2,3,3,1
943,1,2,1,3,2,3,3,2
944,1,2,1,3,2,3,3,3
945,1,2,1,3,3,1,1,1
946,1,2,1,3,3,1,1,2
947,1,2,1,3,3,1,1,3
948,1,2,1,3,3,1,2,1
949,1,2,1,3,3,1,2,2
950,1,2,1,3,3,1,2,3
951,1,2,1,3,3,1,3,1
952,1,2,1,3,3,1,3,2
953,1,2,1,3,3,1,3,3
954,1,2,1,3,3,2,1,1
955,1,2,1,3,3,2,1,2
956,1,2,1,3,3,2,1,3
957,1,2,1,3,3,2,2,1
958,1,2,1,3,3,2,2,2
959,1,2,1,3,3,2,2,3
960,1,2,1,3,3,2,3,1
961,1,2,1,3,3,2,3,2
962,1,2,1,3,3,2,3,3
963,1,2,1,3,3,3,1,1
964,1,2,1,3,3,3,1,2
965,1,2,1,3,3,3,1,3
966,1,2,1,3,3,3,2,1
967,1,2,1,3,3,3,2,2
968,1,2,1,3,3,3,2,3
969,1,2,1,3,3,3,3,1
970,1,2,1,3,3,3,3,2
971,1,2,1,3,3,3,3,3
999,1,2,2,1,2,1,1,1
1000,1,2,2,1,2,1,1,2
1001,1,2,2,1,2,1,1,3
1002,1,2,2,1,2,1,2,1
1003,1,2,2,1,2,1,2,2
1004,1,2,2,1,2,1,2,3
1005,1,2,2,1,2,1,3,1
1006,1,2,2,1,2,1,3,2
1007,1,2,2,1,2,1,3,3
1008,1,2,2,1,2,2,1,1
1009,1,2,2,1,2,2,1,2
1010,1,2,2,1,2,2,1,3
1011,1,2,2,1,2,2,2,1
1012,1,2,2,1,2,2,2,2
1013,1,2,2,1,2,2,2,3
1014,1,2,2,1,2,2,3,1
1015,1,2,2,1,2,2,3,2
1016,1,2,2,1,2,2,3,3
1017,1,2,2,1,2,3,1,1
1018,1,2,2,1,2,3,1,2
1019,1,2,2,1,2,3,1,3
1020,1,2,2,1,2,3,2,1
1021,1,2,2,1,2,3,2,2
1022,1,2,2,1,2,3,2,3
1023,1,2,2,1,2,3,3,1
1024,1,2,2,1,2,3,3,2
1025,1,2,2,1,2,3,3,3
1053,1,2,2,2,1,1,1,1
1055,1,2,2,2,1,1,1,3
1056,1,2,2,2,1,1,2,1
1057,1,2,2,2,1,1,2,2
1058,1,2,2,2,1,1,2,3
1059,1,2,2,2,1,1,3,1
1060,1,2,2,2,1,1,3,2
1061,1,2,2,2,1,1,3,3
1062,1,2,2,2,1,2,1,1
1063,1,2,2,2,1,2,1,2
1064,1,2,2,2,1,2,1,3
1065,1,2,2,2,1,2,2,1
1066,1,2,2,2,1,2,2,2
1067,1,2,2,2,1,2,2,3
1068,1,2,2,2,1,2,3,1
1069,1,2,2,2,1,2,3,2
1070,1,2,2,2,1,2,3,3
1071,1,2,2,2,1,3,1,1
1072,1,2,2,2,1,3,1,2
1073,1,2,2,2,1,3,1,3
1074,1,2,2,2,1,3,2,1
1075,1,2,2,2,1,3,2,2
1076,1,2,2,2,1,3,2,3
1077,1,2,2,2,1,3,3,1
1078,1,2,2,2,1,3,3,2
1079,1,2,2,2,1,3,3,3
