,ENO_total,FBA1_total,FBA2_total,GAPD_total,PGK_total,PGMd_total,PGMi_total,TPI_total
1654,1,3,1,3,2,1,3,2
1655,1,3,1,3,2,1,3,3
1656,1,3,1,3,2,2,1,1
1658,1,3,1,3,2,2,1,3
1659,1,3,1,3,2,2,2,1
1661,1,3,1,3,2,2,2,3
1662,1,3,1,3,2,2,3,1
1663,1,3,1,3,2,2,3,2
1664,1,3,1,3,2,2,3,3
1665,1,3,1,3,2,3,1,1
1667,1,3,1,3,2,3,1,3
1668,1,3,1,3,2,3,2,1
1670,1,3,1,3,2,3,2,3
1671,1,3,1,3,2,3,3,1
1672,1,3,1,3,2,3,3,2
1673,1,3,1,3,2,3,3,3
1674,1,3,1,3,3,1,1,1
1675,1,3,1,3,3,1,1,2
1676,1,3,1,3,3,1,1,3
1677,1,3,1,3,3,1,2,1
1678,1,3,1,3,3,1,2,2
1679,1,3,1,3,3,1,2,3
1680,1,3,1,3,3,1,3,1
1681,1,3,1,3,3,1,3,2
1682,1,3,1,3,3,1,3,3
1683,1,3,1,3,3,2,1,1
1684,1,3,1,3,3,2,1,2
1685,1,3,1,3,3,2,1,3
1687,1,3,1,3,3,2,2,2
1688,1,3,1,3,3,2,2,3
1689,1,3,1,3,3,2,3,1
1690,1,3,1,3,3,2,3,2
1691,1,3,1,3,3,2,3,3
1692,1,3,1,3,3,3,1,1
1693,1,3,1,3,3,3,1,2
1694,1,3,1,3,3,3,1,3
1695,1,3,1,3,3,3,2,1
1696,1,3,1,3,3,3,2,2
1697,1,3,1,3,3,3,2,3
1698,1,3,1,3,3,3,3,1
1699,1,3,1,3,3,3,3,2
1700,1,3,1,3,3,3,3,3
1728,1,3,2,1,2,1,1,1
1729,1,3,2,1,2,1,1,2
1731,1,3,2,1,2,1,2,1
1732,1,3,2,1,2,1,2,2
1733,1,3,2,1,2,1,2,3
1735,1,3,2,1,2,1,3,2
1737,1,3,2,1,2,2,1,1
1738,1,3,2,1,2,2,1,2
1739,1,3,2,1,2,2,1,3
1740,1,3,2,1,2,2,2,1
1741,1,3,2,1,2,2,2,2
1742,1,3,2,1,2,2,2,3
1746,1,3,2,1,2,3,1,1
1747,1,3,2,1,2,3,1,2
1749,1,3,2,1,2,3,2,1
1750,1,3,2,1,2,3,2,2
1751,1,3,2,1,2,3,2,3
1754,1,3,2,1,2,3,3,3
1809,1,3,2,2,2,1,1,1
1810,1,3,2,2,2,1,1,2
1811,1,3,2,2,2,1,1,3
1812,1,3,2,2,2,1,2,1
1813,1,3,2,2,2,1,2,2
1814,1,3,2,2,2,1,2,3
1815,1,3,2,2,2,1,3,1
1816,1,3,2,2,2,1,3,2
1817,1,3,2,2,2,1,3,3
1819,1,3,2,2,2,2,1,2
1821,1,3,2,2,2,2,2,1
1822,1,3,2,2,2,2,2,2
1823,1,3,2,2,2,2,2,3
1824,1,3,2,2,2,2,3,1
1825,1,3,2,2,2,2,3,2
1826,1,3,2,2,2,2,3,3
1827,1,3,2,2,2,3,1,1
1828,1,3,2,2,2,3,1,2
1829,1,3,2,2,2,3,1,3
1830,1,3,2,2,2,3,2,1
1831,1,3,2,2,2,3,2,2
1832,1,3,2,2,2,3,2,3
1833,1,3,2,2,2,3,3,1
1834,1,3,2,2,2,3,3,2
1835,1,3,2,2,2,3,3,3
1836,1,3,2,2,3,1,1,1
1837,1,3,2,2,3,1,1,2
1838,1,3,2,2,3,1,1,3
1848,1,3,2,2,3,2,2,1
1859,1,3,2,2,3,3,2,3
1980,1,3,3,1,2,2,1,1
1981,1,3,3,1,2,2,1,2
1983,1,3,3,1,2,2,2,1
1990,1,3,3,1,2,3,1,2
1992,1,3,3,1,2,3,2,1
1994,1,3,3,1,2,3,2,3
2052,1,3,3,2,2,1,1,1
2053,1,3,3,2,2,1,1,2
2054,1,3,3,2,2,1,1,3
2055,1,3,3,2,2,1,2,1
2056,1,3,3,2,2,1,2,2
2057,1,3,3,2,2,1,2,3
2058,1,3,3,2,2,1,3,1
2059,1,3,3,2,2,1,3,2
2060,1,3,3,2,2,1,3,3
2061,1,3,3,2,2,2,1,1
2062,1,3,3,2,2,2,1,2
2063,1,3,3,2,2,2,1,3
2064,1,3,3,2,2,2,2,1
2065,1,3,3,2,2,2,2,2
2066,1,3,3,2,2,2,2,3
2067,1,3,3,2,2,2,3,1
2068,1,3,3,2,2,2,3,2
2069,1,3,3,2,2,2,3,3
2070,1,3,3,2,2,3,1,1
2071,1,3,3,2,2,3,1,2
2072,1,3,3,2,2,3,1,3
2073,1,3,3,2,2,3,2,1
2074,1,3,3,2,2,3,2,2
2075,1,3,3,2,2,3,2,3
2076,1,3,3,2,2,3,3,1
2077,1,3,3,2,2,3,3,2
2078,1,3,3,2,2,3,3,3
2079,1,3,3,2,3,1,1,1
