,Unnamed: 1,vENO,vFBA1,vFBA2,vGAPD,vPGK,vPGMd,vPGMi,vTPI,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
3510,0,5.320091488461166e-08,1.1268037639965895e-11,1.347735876774416e-11,5.859566945054138e-09,5.731430511298939e-09,2.1766680810417825e-12,3.0727904919960828e-09,9.759599757207836e-11,1.2932807050659477e-11,5.245625216878396e-12,1.3915839079904389e-09,1.1682034218852822e-13,2.5592305187487115e-11,1.5731560934103397e-14,2.0542778004988503e-15,1.9167174126054623e-11,3.5579348563213333e-11,6.915922694600829e-11,8.289732384647284e-08,2.1542507433887711e-13,3.841789965833739e-14
3510,1,5.320091488461166e-08,1.1268037639965895e-11,1.347735876774416e-11,5.859566945054138e-09,5.731430511298939e-09,2.1766680810417825e-12,3.0727904919960828e-09,9.759599757207836e-11,1.2932807050659477e-11,5.245625216878396e-12,1.3915839079904389e-09,1.1682034218852822e-13,2.5592305187487115e-11,1.5731560934103397e-14,2.0542778004988503e-15,1.9167174126054623e-11,3.5579348563213333e-11,6.915922694600829e-11,8.289732384647284e-08,2.1542507433887711e-13,3.841789965833739e-14
3511,0,4.743921024533232e-08,1.327466355203644e-08,8.29444284961588e-14,2.9696452619211507e-08,5.726326999186341e-09,4.5835070110386247e-07,1.5233468317839143e-10,9.513177762279482e-08,6.564474540022745e-11,1.0956815173011301e-09,1.1015888327788173e-10,3.856243402678172e-13,6.442074864785313e-12,1.842194130538344e-11,2.5322397687482497e-12,9.29465318517896e-11,1.7240838386574828e-10,3.511133941884034e-10,7.391866382839876e-08,1.0958516753262692e-12,1.029926671691598e-14
3511,1,4.743921024533232e-08,1.327466355203644e-08,8.29444284961588e-14,2.9696452619211507e-08,5.726326999186341e-09,4.5835070110386247e-07,1.5233468317839143e-10,9.513177762279482e-08,6.564474540022745e-11,1.0956815173011301e-09,1.1015888327788173e-10,3.856243402678172e-13,6.442074864785313e-12,1.842194130538344e-11,2.5322397687482497e-12,9.29465318517896e-11,1.7240838386574828e-10,3.511133941884034e-10,7.391866382839876e-08,1.0958516753262692e-12,1.029926671691598e-14
3512,0,6.785627142251323e-12,2.9014349889964928e-11,3.45914061299613e-11,1.4555850064173153e-08,5.209209503936632e-09,2.2997421817827226e-06,4.8522018862101225e-09,1.6536954428530227e-11,3.214987987532395e-11,3.3566863828707667e-12,9.508086958457812e-10,1.312763711550016e-13,3.708561379992203e-11,4.2801183802695727e-14,5.706327223607918e-15,4.441228161166636e-11,8.842225698911821e-11,1.717486152860721e-10,1.0836276631821494e-11,5.355142178140954e-13,6.048775690887163e-15
3512,1,6.785627142251323e-12,2.9014349889964928e-11,3.45914061299613e-11,1.4555850064173153e-08,5.209209503936632e-09,2.2997421817827226e-06,4.8522018862101225e-09,1.6536954428530227e-11,3.214987987532395e-11,3.3566863828707667e-12,9.508086958457812e-10,1.312763711550016e-13,3.708561379992203e-11,4.2801183802695727e-14,5.706327223607918e-15,4.441228161166636e-11,8.842225698911821e-11,1.717486152860721e-10,1.0836276631821494e-11,5.355142178140954e-13,6.048775690887163e-15
3513,0,3.001445170370214e-08,7.783621810682115e-11,9.340875684125454e-11,4.4410843965404914e-08,9.224804659394739e-08,7.008611288892677e-10,8.668996344582904e-09,6.595054804765257e-10,9.815397258650777e-11,1.7484826865535567e-11,1.435802459970614e-09,4.127782325156524e-13,1.1180986331786045e-10,1.138057966674327e-13,1.392343842560332e-14,1.4993295817937226e-10,2.698537539938812e-10,5.241222648107348e-10,1.255527309239105e-07,1.6338337005957292e-12,1.1231105134160759e-13
3513,1,3.001445170370214e-08,7.783621810682115e-11,9.340875684125454e-11,4.4410843965404914e-08,9.224804659394739e-08,7.008611288892677e-10,8.668996344582904e-09,6.595054804765257e-10,9.815397258650777e-11,1.7484826865535567e-11,1.435802459970614e-09,4.127782325156524e-13,1.1180986331786045e-10,1.138057966674327e-13,1.392343842560332e-14,1.4993295817937226e-10,2.698537539938812e-10,5.241222648107348e-10,1.255527309239105e-07,1.6338337005957292e-12,1.1231105134160759e-13
3514,0,4.321439002983425e-08,3.8568160862698965e-09,2.6503825697581164e-09,8.584808655068655e-09,3.827301431509611e-10,2.3790544899023666e-12,1.0472749583405593e-11,3.0902406266559255e-08,1.9039452582391752e-11,3.330842097424782e-10,7.37257477290143e-12,1.1721104567410857e-13,4.4349835907112133e-13,5.3677219713354235e-12,7.356597056675328e-13,2.6944624396577944e-11,4.9818026882402576e-11,1.0144828500691108e-10,6.733769717522596e-08,3.1660518000882144e-13,1.14436296854622e-15
3514,1,4.321439002983425e-08,3.8568160862698965e-09,2.6503825697581164e-09,8.584808655068655e-09,3.827301431509611e-10,2.3790544899023666e-12,1.0472749583405593e-11,3.0902406266559255e-08,1.9039452582391752e-11,3.330842097424782e-10,7.37257477290143e-12,1.1721104567410857e-13,4.4349835907112133e-13,5.3677219713354235e-12,7.356597056675328e-13,2.6944624396577944e-11,4.9818026882402576e-11,1.0144828500691108e-10,6.733769717522596e-08,3.1660518000882144e-13,1.14436296854622e-15
