,,0,1,2,3,4,5,6,7
6048,0,1.1518931745975982e-06,0.0005164652446732413,1.7432259244397913e-05,1.7704361687289346e-05,3.57422664166685e-05,3.9089186594533876e-07,1.1947243032776215e-06,4.6006792213724866e-07
6048,1,1.1518931745975982e-06,0.0005164652446732413,1.7432259244397913e-05,1.7704361687289346e-05,3.57422664166685e-05,3.9089186594533876e-07,1.1947243032776215e-06,4.6006792213724866e-07
6049,0,1.1518931500627796e-06,0.0005164854618927962,1.74350979393484e-05,1.770038172450929e-05,3.57422461559837e-05,3.9089186577936043e-07,1.1947243028957048e-06,4.609541600646488e-07
6049,1,1.1518931500627796e-06,0.0005164854618927962,1.74350979393484e-05,1.770038172450929e-05,3.57422461559837e-05,3.9089186577936043e-07,1.1947243028957048e-06,4.609541600646488e-07
6050,0,1.1518947975032968e-06,0.0005164633645898248,1.7432079196290952e-05,1.770460124516508e-05,3.574226523063945e-05,3.908918659397877e-07,1.194724303264854e-06,4.630663221452294e-07
6050,1,1.1518947975032968e-06,0.0005164633645898248,1.7432079196290952e-05,1.770460124516508e-05,3.574226523063945e-05,3.908918659397877e-07,1.194724303264854e-06,4.630663221452294e-07
6051,0,1.151873730958679e-06,0.000516465233471523,1.7432259160848636e-05,1.770436009285254e-05,3.574208016854104e-05,3.9089301477470364e-07,1.1947276151500643e-06,4.6006804145402735e-07
6051,1,1.151873730958679e-06,0.000516465233471523,1.7432259160848636e-05,1.770436009285254e-05,3.574208016854104e-05,3.9089301477470364e-07,1.1947276151500643e-06,4.6006804145402735e-07
6052,0,1.1518735481138286e-06,0.0005164857741931733,1.7435101044254176e-05,1.77003811592187e-05,3.5742060217294277e-05,3.908931308457453e-07,1.1947276146832155e-06,4.6091524508174994e-07
6052,1,1.1518735481138286e-06,0.0005164857741931733,1.7435101044254176e-05,1.77003811592187e-05,3.5742060217294277e-05,3.908931308457453e-07,1.1947276146832155e-06,4.6091524508174994e-07
6053,0,1.151875008932517e-06,0.0005164633645903849,1.743207919645971e-05,1.770460124500077e-05,3.574207983310936e-05,3.9089301500729534e-07,1.194727615143958e-06,4.6306632235395133e-07
6053,1,1.151875008932517e-06,0.0005164633645903849,1.743207919645971e-05,1.770460124500077e-05,3.574207983310936e-05,3.9089301500729534e-07,1.194727615143958e-06,4.6306632235395133e-07
6054,0,1.150763241077073e-06,0.0005164652436382076,1.7432259566776705e-05,1.7704359735757078e-05,3.573146317749468e-05,3.9095868123974043e-07,1.1949103330503003e-06,4.6006791913742605e-07
6054,1,1.150763241077073e-06,0.0005164652436382076,1.7432259566776705e-05,1.7704359735757078e-05,3.573146317749468e-05,3.9095868123974043e-07,1.1949103330503003e-06,4.6006791913742605e-07
6055,0,1.1507632409160906e-06,0.000516485778569048,1.7435098929293192e-05,1.770038204059256e-05,3.5731444169934706e-05,3.909586810815336e-07,1.194910332659502e-06,4.6091487743361583e-07
6055,1,1.1507632409160906e-06,0.000516485778569048,1.7435098929293192e-05,1.770038204059256e-05,3.5731444169934706e-05,3.909586810815336e-07,1.194910332659502e-06,4.6091487743361583e-07
6056,0,1.1507632410792935e-06,0.0005164633645904754,1.743207919639587e-05,1.770460124699917e-05,3.573146433139554e-05,3.9095868124917733e-07,1.1949103330741701e-06,4.6306632237504557e-07
6056,1,1.1507632410792935e-06,0.0005164633645904754,1.743207919639587e-05,1.770460124699917e-05,3.573146433139554e-05,3.9095868124917733e-07,1.1949103330741701e-06,4.6306632237504557e-07
6057,0,1.1516724939977154e-06,0.0005164652428026388,1.7432259260990198e-05,1.770435976048341e-05,3.574015528881673e-05,3.908906031476947e-07,1.194760669167362e-06,4.600679244370757e-07
6057,1,1.1516724939977154e-06,0.0005164652428026388,1.7432259260990198e-05,1.770435976048341e-05,3.574015528881673e-05,3.908906031476947e-07,1.194760669167362e-06,4.600679244370757e-07
6058,0,1.1516722529671865e-06,0.0005164857777690435,1.7435098310167886e-05,1.770038198442749e-05,3.574013635855382e-05,3.908906030666484e-07,1.194759784004308e-06,4.609148838495947e-07
6058,1,1.1516722529671865e-06,0.0005164857777690435,1.7435098310167886e-05,1.770038198442749e-05,3.574013635855382e-05,3.908906030666484e-07,1.194759784004308e-06,4.609148838495947e-07
6059,0,1.1516724943463254e-06,0.0005164633645880152,1.743207919593679e-05,1.7704601245891167e-05,3.5740156443483093e-05,3.908906031582418e-07,1.1947606691923418e-06,4.630663217155731e-07
6059,1,1.1516724943463254e-06,0.0005164633645880152,1.743207919593679e-05,1.7704601245891167e-05,3.5740156443483093e-05,3.908906031582418e-07,1.1947606691923418e-06,4.630663217155731e-07
6060,0,1.1516530057189489e-06,0.000516465242803537,1.7432259261020172e-05,1.77043597603846e-05,3.5739969439656804e-05,3.908917523722989e-07,1.1947639815682707e-06,4.600679244376308e-07
6060,1,1.1516530057189489e-06,0.000516465242803537,1.7432259261020172e-05,1.77043597603846e-05,3.5739969439656804e-05,3.908917523722989e-07,1.1947639815682707e-06,4.600679244376308e-07
6061,0,1.151652800132845e-06,0.0005164857777116621,1.743509840408165e-05,1.7700381986030097e-05,3.5739950539761266e-05,3.908917523073509e-07,1.194762826243546e-06,4.609148841560162e-07
6061,1,1.151652800132845e-06,0.0005164857777116621,1.743509840408165e-05,1.7700381986030097e-05,3.5739950539761266e-05,3.908917523073509e-07,1.194762826243546e-06,4.609148841560162e-07
6062,0,1.1516530057178386e-06,0.0005164633645875988,1.7432079195702535e-05,1.770460124602717e-05,3.5739970594166065e-05,3.908917523817358e-07,1.1947639815915853e-06,4.6306632167060903e-07
6062,1,1.1516530057178386e-06,0.0005164633645875988,1.7432079195702535e-05,1.770460124602717e-05,3.5739970594166065e-05,3.908917523817358e-07,1.1947639815915853e-06,4.6306632167060903e-07
6063,0,1.1505412982979402e-06,0.0005164652436377957,1.743225956682167e-05,1.770435973614177e-05,3.572935223643071e-05,3.909574340734814e-07,1.1949467469766154e-06,4.600679191346505e-07
6063,1,1.1505412982979402e-06,0.0005164652436377957,1.743225956682167e-05,1.770435973614177e-05,3.572935223643071e-05,3.909574340734814e-07,1.1949467469766154e-06,4.600679191346505e-07
6064,0,1.1505427027644832e-06,0.0005164857254548394,1.7435097116420007e-05,1.770038197493286e-05,3.572933322311757e-05,3.9095743486562554e-07,1.1949467330849498e-06,4.609162479845107e-07
6064,1,1.1505427027644832e-06,0.0005164857254548394,1.7435097116420007e-05,1.770038197493286e-05,3.572933322311757e-05,3.9095743486562554e-07,1.1949467330849498e-06,4.609162479845107e-07
6065,0,1.1505427027855773e-06,0.0005164633645903005,1.7432079196342577e-05,1.770460124743382e-05,3.572935339013674e-05,3.9095743408236317e-07,1.1949467470004852e-06,4.630663223339673e-07
6065,1,1.1505427027855773e-06,0.0005164633645903005,1.7432079196342577e-05,1.770460124743382e-05,3.572935339013674e-05,3.9095743408236317e-07,1.1949467470004852e-06,4.630663223339673e-07
6066,0,1.1515690023036223e-06,0.0005164652428020554,1.7432259261020172e-05,1.7704359760522268e-05,3.573916743792408e-05,3.9089820453721173e-07,1.1947776944180139e-06,4.600679244343001e-07
6066,1,1.1515690023036223e-06,0.0005164652428020554,1.7432259261020172e-05,1.7704359760522268e-05,3.573916743792408e-05,3.9089820453721173e-07,1.1947776944180139e-06,4.600679244343001e-07
6067,0,1.1515688749155222e-06,0.0005164856388756595,1.743509718495574e-05,1.7700382200416938e-05,3.5739147733956177e-05,3.908982047265048e-07,1.1947776848390096e-06,4.609096692602793e-07
6067,1,1.1515688749155222e-06,0.0005164856388756595,1.743509718495574e-05,1.7700382200416938e-05,3.5739147733956177e-05,3.908982047265048e-07,1.1947776848390096e-06,4.609096692602793e-07
6068,0,1.1515690023030672e-06,0.0005164633645902972,1.7432079196320375e-05,1.77046012457102e-05,3.5739168592264035e-05,3.9089820454720375e-07,1.1947776944418837e-06,4.630663223239753e-07
6068,1,1.1515690023030672e-06,0.0005164633645902972,1.7432079196320375e-05,1.77046012457102e-05,3.5739168592264035e-05,3.9089820454720375e-07,1.1947776944418837e-06,4.630663223239753e-07
6069,0,1.151549535880151e-06,0.0005164652427973475,1.7432259261020728e-05,1.770435976055724e-05,3.5738981590842485e-05,3.908993538539645e-07,1.1947810070209833e-06,4.6006792442153257e-07
6069,1,1.151549535880151e-06,0.0005164652427973475,1.7432259261020728e-05,1.770435976055724e-05,3.5738981590842485e-05,3.908993538539645e-07,1.1947810070209833e-06,4.6006792442153257e-07
6070,0,1.1515494333332911e-06,0.0005164858697484648,1.7435099086595698e-05,1.770038588204472e-05,3.573896255972525e-05,3.908993540449229e-07,1.1947810066190825e-06,4.609152726569143e-07
6070,1,1.1515494333332911e-06,0.0005164858697484648,1.7435099086595698e-05,1.770038588204472e-05,3.573896255972525e-05,3.908993540449229e-07,1.1947810066190825e-06,4.609152726569143e-07
6071,0,1.15154953609942e-06,0.0005164633645882982,1.7432079195882947e-05,1.7704601246158175e-05,3.573898274530235e-05,3.9089935386395653e-07,1.1947810070459634e-06,4.630663218438038e-07
6071,1,1.15154953609942e-06,0.0005164633645882982,1.7432079195882947e-05,1.7704601246158175e-05,3.573898274530235e-05,3.9089935386395653e-07,1.1947810070459634e-06,4.630663218438038e-07
6072,0,1.150425896409351e-06,0.0005164652436382359,1.7432259566640146e-05,1.770435973632218e-05,3.572836403387714e-05,3.909650438746032e-07,1.1949637921957389e-06,4.600679191385363e-07
6072,1,1.150425896409351e-06,0.0005164652436382359,1.7432259566640146e-05,1.770435973632218e-05,3.572836403387714e-05,3.909650438746032e-07,1.1949637921957389e-06,4.600679191385363e-07
6073,0,1.1504395124143397e-06,0.0005164857782409521,1.743509688600432e-05,1.770038199084791e-05,3.572834588091856e-05,3.9096504369252665e-07,1.19495870597263e-06,4.609148767858007e-07
6073,1,1.1504395124143397e-06,0.0005164857782409521,1.743509688600432e-05,1.770038199084791e-05,3.572834588091856e-05,3.9096504369252665e-07,1.19495870597263e-06,4.609148767858007e-07
6074,0,1.150439515536842e-06,0.000516463364587812,1.743207919585741e-05,1.7704601248068316e-05,3.572836518752709e-05,3.909650438840401e-07,1.1949637922190535e-06,4.6306632174166334e-07
6074,1,1.150439515536842e-06,0.000516463364587812,1.743207919585741e-05,1.7704601248068316e-05,3.572836518752709e-05,3.909650438840401e-07,1.1949637922190535e-06,4.6306632174166334e-07
6075,0,8.906605412521148e-05,0.0007427197168951429,1.6064523240185104e-05,4.527799144905492e-05,0.0017428578532705415,0.00011873802413051631,2.22149227167606e-05,1.979344490979372e-05
6075,1,8.906605412521148e-05,0.0007427197168951429,1.6064523240185104e-05,4.527799144905492e-05,0.0017428578532705415,0.00011873802413051631,2.22149227167606e-05,1.979344490979372e-05
6076,0,2.292244537816041e-05,0.0006301308252190056,1.6484391540184264e-05,3.92425843183278e-05,0.0018014737209880766,1.7298124751771003e-05,0.00020499470022354542,1.2347481244026175e-06
6076,1,2.292244537816041e-05,0.0006301308252190056,1.6484391540184264e-05,3.92425843183278e-05,0.0018014737209880766,1.7298124751771003e-05,0.00020499470022354542,1.2347481244026175e-06
6077,0,7.778321561369242e-05,0.0005160237976577532,1.6821281004338105e-05,3.8721714435267156e-05,0.0018189543237003426,1.0000005551115122e-12,0.00015685711008961542,3.9063548916500345e-07
6077,1,7.778321561369242e-05,0.0005160237976577532,1.6821281004338105e-05,3.8721714435267156e-05,0.0018189543237003426,1.0000005551115122e-12,0.00015685711008961542,3.9063548916500345e-07
6078,0,9.127625779282165e-05,0.000742921616086189,1.6064817503678647e-05,4.523665970280796e-05,0.0017435637649206876,0.00012172395322253949,2.2057928694270837e-05,1.9784345856696983e-05
6078,1,9.127625779282165e-05,0.000742921616086189,1.6064817503678647e-05,4.523665970280796e-05,0.0017435637649206876,0.00012172395322253949,2.2057928694270837e-05,1.9784345856696983e-05
6079,0,2.1893415954201067e-05,0.0006267670752046158,1.648314178661487e-05,3.9261539195924525e-05,0.001800151823304729,1.8230926998813265e-05,0.00020640133314020975,1.2354349515865643e-06
6079,1,2.1893415954201067e-05,0.0006267670752046158,1.648314178661487e-05,3.9261539195924525e-05,0.001800151823304729,1.8230926998813265e-05,0.00020640133314020975,1.2354349515865643e-06
6080,0,7.783809676999863e-05,0.0005736737738915803,1.6676311063800583e-05,3.870010798892113e-05,0.0018186950754670193,1.3031619399659276e-12,0.000157558594198399,5.534185552842108e-07
6080,1,7.783809676999863e-05,0.0005736737738915803,1.6676311063800583e-05,3.870010798892113e-05,0.0018186950754670193,1.3031619399659276e-12,0.000157558594198399,5.534185552842108e-07
6081,0,3.6122952748553775e-05,0.0007337316799499163,1.6004225673903353e-05,4.573854960134534e-05,0.0017298118142402411,0.00014801146959077997,2.215636093962665e-05,2.3643354939328143e-05
6081,1,3.6122952748553775e-05,0.0007337316799499163,1.6004225673903353e-05,4.573854960134534e-05,0.0017298118142402411,0.00014801146959077997,2.215636093962665e-05,2.3643354939328143e-05
6082,0,0.00014763437252737177,0.0005747427942074681,1.667653061690792e-05,3.8846048642743866e-05,0.0017863240759402705,1.227257657114433e-12,0.0001924558640452734,5.5613509076106e-07
6082,1,0.00014763437252737177,0.0005747427942074681,1.667653061690792e-05,3.8846048642743866e-05,0.0017863240759402705,1.227257657114433e-12,0.0001924558640452734,5.5613509076106e-07
6083,0,0.00014764221306788616,0.0005895202974509508,1.6636099446292162e-05,3.884737418504354e-05,0.001786329188197522,1.4622535687097295e-12,0.00019243957890712371,6.252289592041493e-07
6083,1,0.00014764221306788616,0.0005895202974509508,1.6636099446292162e-05,3.884737418504354e-05,0.001786329188197522,1.4622535687097295e-12,0.00019243957890712371,6.252289592041493e-07
6084,0,2.094162619406611e-05,0.0007149609163532871,1.6016651029832376e-05,3.9614000192641846e-05,0.0017996557228016222,1.0000005551115122e-12,0.00020576427463830796,2.317217183555016e-05
6084,1,2.094162619406611e-05,0.0007149609163532871,1.6016651029832376e-05,3.9614000192641846e-05,0.0017996557228016222,1.0000005551115122e-12,0.00020576427463830796,2.317217183555016e-05
6085,0,7.758961462555255e-05,0.0005736159959021372,1.6680272357982307e-05,3.869229937101907e-05,0.0018189309066713912,1.1013022998717921e-12,0.00015706408403961075,5.515003703707175e-07
6085,1,7.758961462555255e-05,0.0005736159959021372,1.6680272357982307e-05,3.869229937101907e-05,0.0018189309066713912,1.1013022998717921e-12,0.00015706408403961075,5.515003703707175e-07
6086,0,7.759164438908126e-05,0.0005747645074695004,1.6673739107348025e-05,3.869956470706446e-05,0.0018189319602190653,1.4750250192722278e-12,0.00015706270616246294,5.578287227177912e-07
6086,1,7.759164438908126e-05,0.0005747645074695004,1.6673739107348025e-05,3.869956470706446e-05,0.0018189319602190653,1.4750250192722278e-12,0.00015706270616246294,5.578287227177912e-07
