,Unnamed: 1,vENO,vFBA1,vFBA2,vGAPD,vPGK,vPGMd,vPGMi,vTPI,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
4757,0,2.1190113112393114e-06,4.796267132104791e-10,3.995518286814229e-10,4.691601675790321e-07,3.6493259487523455e-13,9.252675418870217e-07,7.049543185038017e-07,5.145160887062096e-09,1.0944692385128292e-13,4.783244878612519e-14,4.224164308385082e-16,2.9302761418527142e-15,3.602748652080596e-16,4.558552836225785e-11,8.520478958714959e-10,4.140326051587693e-10,2.7158456583849057e-11,6.046761518198163e-14,7.55633605180592e-08,2.903302888664112e-16,1.19160635889841e-09
4757,1,2.1190113112393114e-06,4.796267132104791e-10,3.995518286814229e-10,4.691601675790321e-07,3.6493259487523455e-13,9.252675418870217e-07,7.049543185038017e-07,5.145160887062096e-09,1.0944692385128292e-13,4.783244878612519e-14,4.224164308385082e-16,2.9302761418527142e-15,3.602748652080596e-16,4.558552836225785e-11,8.520478958714959e-10,4.140326051587693e-10,2.7158456583849057e-11,6.046761518198163e-14,7.55633605180592e-08,2.903302888664112e-16,1.19160635889841e-09
4758,0,3.3487062554722736e-13,1.9815016651342403e-13,1.0941555039050434e-10,2.0448135520287473e-09,4.4485554365834215e-11,2.654502183965223e-06,2.104793539574348e-09,1.662890363932561e-07,1.0554543876089947e-13,2.4063855407834588e-14,2.175444618818317e-13,1.9584754551338243e-10,1.0447971091033728e-14,4.072491538351986e-10,6.04072941156579e-11,1.2533530342505146e-08,1.1471373619527844e-08,2.2874915034500538e-11,1.6940658945086007e-14,1.451651444332056e-16,3.4984810752698724e-14
4758,1,3.3487062554722736e-13,1.9815016651342403e-13,1.0941555039050434e-10,2.0448135520287473e-09,4.4485554365834215e-11,2.654502183965223e-06,2.104793539574348e-09,1.662890363932561e-07,1.0554543876089947e-13,2.4063855407834588e-14,2.175444618818317e-13,1.9584754551338243e-10,1.0447971091033728e-14,4.072491538351986e-10,6.04072941156579e-11,1.2533530342505146e-08,1.1471373619527844e-08,2.2874915034500538e-11,1.6940658945086007e-14,1.451651444332056e-16,3.4984810752698724e-14
4759,0,1.8347657673470605e-12,7.881974833065758e-10,6.565778513512401e-10,1.5943088727465513e-06,5.878470256341008e-12,1.2879848750504674e-05,9.86150451440523e-06,1.755427912902176e-08,3.655075505727647e-14,1.7597616960821368e-13,3.013237206648025e-14,2.637248527667443e-14,1.0808245956241787e-15,1.5932499736737377e-10,1.3988018072058335e-09,1.4427122242868476e-09,9.268797603073099e-11,2.9796106355089074e-13,7.934471947175005e-08,7.25825722166028e-16,1.6281263270254054e-08
4759,1,1.8347657673470605e-12,7.881974833065758e-10,6.565778513512401e-10,1.5943088727465513e-06,5.878470256341008e-12,1.2879848750504674e-05,9.86150451440523e-06,1.755427912902176e-08,3.655075505727647e-14,1.7597616960821368e-13,3.013237206648025e-14,2.637248527667443e-14,1.0808245956241787e-15,1.5932499736737377e-10,1.3988018072058335e-09,1.4427122242868476e-09,9.268797603073099e-11,2.9796106355089074e-13,7.934471947175005e-08,7.25825722166028e-16,1.6281263270254054e-08
4760,0,2.160999736952102e-11,0.9999999887803483,2.2447329678609263e-10,4.680451496702991e-11,2.260955784967726e-11,5.0641194837481376e-09,3.309766354150439e-09,6.37956502890676e-12,4.722645031248885e-12,9.153122915863463e-15,2.39369310808488e-15,1.2893215024151943e-14,3.602748652080596e-16,3.751481242574026e-13,5.706327223607919e-16,2.2839938990944448e-10,6.921886811005495e-14,1.1996256095084828e-14,3.338105286601973e-11,0.0,1.3541000478327913e-08
4760,1,2.160999736952102e-11,0.9999999887803483,2.2447329678609263e-10,4.680451496702991e-11,2.260955784967726e-11,5.0641194837481376e-09,3.309766354150439e-09,6.37956502890676e-12,4.722645031248885e-12,9.153122915863463e-15,2.39369310808488e-15,1.2893215024151943e-14,3.602748652080596e-16,3.751481242574026e-13,5.706327223607919e-16,2.2839938990944448e-10,6.921886811005495e-14,1.1996256095084828e-14,3.338105286601973e-11,0.0,1.3541000478327913e-08
4761,0,8.424971505042695e-09,0.9999999887803815,8.598572420768463e-12,5.385515561757855e-11,8.865693651123228e-11,2.7440531946661675e-10,6.416030219279874e-09,7.930295720951176e-12,5.124908678199473e-12,2.6278320629414457e-14,4.449453071498953e-14,7.423366226026876e-15,1.2609620282282085e-15,2.2588253888985578e-12,7.337537923748478e-12,2.400031996858354e-08,8.662052556710858e-12,3.8712242641976445e-13,1.2908814818992805e-08,0.0,4.165432815302714e-09
4761,1,8.424971505042695e-09,0.9999999887803815,8.598572420768463e-12,5.385515561757855e-11,8.865693651123228e-11,2.7440531946661675e-10,6.416030219279874e-09,7.930295720951176e-12,5.124908678199473e-12,2.6278320629414457e-14,4.449453071498953e-14,7.423366226026876e-15,1.2609620282282085e-15,2.2588253888985578e-12,7.337537923748478e-12,2.400031996858354e-08,8.662052556710858e-12,3.8712242641976445e-13,1.2908814818992805e-08,0.0,4.165432815302714e-09
4762,0,1.4310047722673446e-05,7.87647189606581e-10,6.560700635851193e-10,1.593562629081323e-06,6.486116292102202e-12,1.856942629966082e-08,1.0210802096865884e-05,1.7546948015793798e-08,1.3039173854702563e-13,3.0692487971097e-13,3.252606517456513e-14,2.852135444736642e-14,1.9815117586443277e-15,1.5926377183292751e-10,1.3978155256085051e-09,1.4421283154046548e-09,9.266399602973955e-11,3.3330138556073523e-13,4.411393122845439e-08,7.25825722166028e-16,4.242201424165093e-09
4762,1,1.4310047722673446e-05,7.87647189606581e-10,6.560700635851193e-10,1.593562629081323e-06,6.486116292102202e-12,1.856942629966082e-08,1.0210802096865884e-05,1.7546948015793798e-08,1.3039173854702563e-13,3.0692487971097e-13,3.252606517456513e-14,2.852135444736642e-14,1.9815117586443277e-15,1.5926377183292751e-10,1.3978155256085051e-09,1.4421283154046548e-09,9.266399602973955e-11,3.3330138556073523e-13,4.411393122845439e-08,7.25825722166028e-16,4.242201424165093e-09
4763,0,1.9643624957597095e-07,0.9999999887803483,2.4021286609770226e-10,6.744636907843831e-11,3.397051815981741e-11,3.909889059551176e-11,4.733917243040286e-09,5.151797950106968e-12,4.740304384815884e-12,4.443693544636939e-14,1.0701216247908875e-14,1.2697863281361762e-14,7.205497304161192e-16,3.9711561925547493e-13,5.706327223607919e-16,2.4264324597844866e-10,6.649773324577761e-14,1.4427929627872294e-14,3.3020147889373e-08,0.0,1.2242756329244675e-08
4763,1,1.9643624957597095e-07,0.9999999887803483,2.4021286609770226e-10,6.744636907843831e-11,3.397051815981741e-11,3.909889059551176e-11,4.733917243040286e-09,5.151797950106968e-12,4.740304384815884e-12,4.443693544636939e-14,1.0701216247908875e-14,1.2697863281361762e-14,7.205497304161192e-16,3.9711561925547493e-13,5.706327223607919e-16,2.4264324597844866e-10,6.649773324577761e-14,1.4427929627872294e-14,3.3020147889373e-08,0.0,1.2242756329244675e-08
4764,0,6.027912343291577e-07,0.9999999887803818,2.512496825660221e-08,2.337076757064387e-09,2.809027375446688e-10,4.2235504308483965e-11,2.703335596771346e-11,2.1933217457555364e-08,1.4288265107586904e-11,9.596015960179437e-15,7.885106708985486e-15,6.641959254866153e-15,3.602748652080596e-16,7.328327986202087e-11,1.6359127137728124e-11,1.505016242192139e-09,2.9881462228345593e-13,1.2823025096232566e-13,8.740666912620543e-07,0.0,2.2037161165718638e-13
4764,1,6.027912343291577e-07,0.9999999887803818,2.512496825660221e-08,2.337076757064387e-09,2.809027375446688e-10,4.2235504308483965e-11,2.703335596771346e-11,2.1933217457555364e-08,1.4288265107586904e-11,9.596015960179437e-15,7.885106708985486e-15,6.641959254866153e-15,3.602748652080596e-16,7.328327986202087e-11,1.6359127137728124e-11,1.505016242192139e-09,2.9881462228345593e-13,1.2823025096232566e-13,8.740666912620543e-07,0.0,2.2037161165718638e-13
4765,0,1.7807782460941022e-05,7.870451019247293e-10,6.555743718814875e-10,1.5880580963349237e-06,4.974886309408203e-12,2.6262827553782074e-08,1.0413834804302564e-05,1.7488214234397525e-08,8.049379765422683e-14,4.842297284521315e-13,3.294848160540364e-14,3.047487187526823e-14,7.205497304161192e-16,1.5869573493000964e-10,1.396750040189313e-09,1.4370013593749862e-09,9.235089544941863e-11,3.8096218680336956e-13,4.4375165175302364e-08,8.709908665992337e-16,4.261812045396221e-09
4765,1,1.7807782460941022e-05,7.870451019247293e-10,6.555743718814875e-10,1.5880580963349237e-06,4.974886309408203e-12,2.6262827553782074e-08,1.0413834804302564e-05,1.7488214234397525e-08,8.049379765422683e-14,4.842297284521315e-13,3.294848160540364e-14,3.047487187526823e-14,7.205497304161192e-16,1.5869573493000964e-10,1.396750040189313e-09,1.4370013593749862e-09,9.235089544941863e-11,3.8096218680336956e-13,4.4375165175302364e-08,8.709908665992337e-16,4.261812045396221e-09
4766,0,2.0018287885035532e-07,0.9999999887803483,2.4045145475883777e-10,6.812214736435684e-11,3.433963971763179e-11,4.4809282470163105e-11,4.744612787956484e-09,4.16843576781662e-12,4.845028458294598e-12,6.791026679511601e-15,9.29316147844718e-15,1.0939697596250133e-14,3.602748652080596e-16,3.990997800940105e-13,7.988858113051086e-16,2.428934926422456e-10,6.768822974889895e-14,1.1023586681969842e-14,3.310914748251698e-08,0.0,1.1944796581359207e-08
4766,1,2.0018287885035532e-07,0.9999999887803483,2.4045145475883777e-10,6.812214736435684e-11,3.433963971763179e-11,4.4809282470163105e-11,4.744612787956484e-09,4.16843576781662e-12,4.845028458294598e-12,6.791026679511601e-15,9.29316147844718e-15,1.0939697596250133e-14,3.602748652080596e-16,3.990997800940105e-13,7.988858113051086e-16,2.428934926422456e-10,6.768822974889895e-14,1.1023586681969842e-14,3.310914748251698e-08,0.0,1.1944796581359207e-08
