,,ENO_total,FBA1_total,FBA2_total,GAPD_total,PGK_total,PGMd_total,PGMi_total,TPI_total,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
1836,0,9.054873173159155e-06,0.0005179743087243271,1.6836695047775972e-05,1.684313948620156e-05,3.598633161120642e-05,3.888645908227681e-07,1.1889921409528388e-06,3.894095219396106e-07,1.6460482880894147e-05,8.82152805777751e-05,0.0015353436402340723,0.0005518257148085342,0.009627719631212197,0.0025707712194070523,0.01515454895592297,0.0002553704415837962,0.002534155489886158,8.260844038051147e-05,0.00017869658892621972,0.023899116728229863,8.257540642621758e-05
1836,1,9.054873173159155e-06,0.0005179743087243271,1.6836695047775972e-05,1.684313948620156e-05,3.598633161120642e-05,3.888645908227681e-07,1.1889921409528388e-06,3.894095219396106e-07,1.6460482880894147e-05,8.82152805777751e-05,0.0015353436402340723,0.0005518257148085342,0.009627719631212197,0.0025707712194070523,0.01515454895592297,0.0002553704415837962,0.002534155489886158,8.260844038051147e-05,0.00017869658892621972,0.023899116728229863,8.257540642621758e-05
1837,0,9.054874194585986e-06,0.0005137673773411265,1.684954652925869e-05,1.6845435125457244e-05,3.5935364486592466e-05,3.8886418038996923e-07,1.1889911647453908e-06,3.813753948912194e-07,1.6463322094608253e-05,8.821528087631408e-05,0.001535348482365135,0.0005518459179818184,0.00962772288686681,0.002574581961984579,0.015154888568676002,0.0002553991498758673,0.002534153301280594,8.260821060274243e-05,0.00017869659332012163,0.02389911651181245,8.257540666907887e-05
1837,1,9.054874194585986e-06,0.0005137673773411265,1.684954652925869e-05,1.6845435125457244e-05,3.5935364486592466e-05,3.8886418038996923e-07,1.1889911647453908e-06,3.813753948912194e-07,1.6463322094608253e-05,8.821528087631408e-05,0.001535348482365135,0.0005518459179818184,0.00962772288686681,0.002574581961984579,0.015154888568676002,0.0002553991498758673,0.002534153301280594,8.260821060274243e-05,0.00017869659332012163,0.02389911651181245,8.257540666907887e-05
1838,0,9.054872375513872e-06,0.0005137491402604499,1.6847223013138304e-05,1.684881689564079e-05,3.593538766675581e-05,3.8886416293948375e-07,1.1889911694710552e-06,3.836283801321409e-07,1.646332048827652e-05,8.821527665794399e-05,0.0015353484801580895,0.0005518459159339232,0.0096277228853854,0.002574642764747903,0.015154892614932776,0.00025535402652933624,0.0025341499698479535,8.260816074516325e-05,0.0001786965891154961,0.02389911647311919,8.257540668398915e-05
1838,1,9.054872375513872e-06,0.0005137491402604499,1.6847223013138304e-05,1.684881689564079e-05,3.593538766675581e-05,3.8886416293948375e-07,1.1889911694710552e-06,3.836283801321409e-07,1.646332048827652e-05,8.821527665794399e-05,0.0015353484801580895,0.0005518459159339232,0.0096277228853854,0.002574642764747903,0.015154892614932776,0.00025535402652933624,0.0025341499698479535,8.260816074516325e-05,0.0001786965891154961,0.02389911647311919,8.257540668398915e-05
1839,0,9.054625140852265e-06,0.0007286930142767195,1.6189889054046467e-05,2.042741449909845e-05,1.551931113361057e-05,3.8869866457337773e-07,1.1886754815108693e-06,1.2374970164909279e-05,1.9600045060384357e-05,8.821682607481655e-05,0.0015372547147900245,0.0005537636755194165,0.009629020760165957,0.0023789687370713098,0.01513624656158764,0.0002539300128769936,0.002530628681167625,8.254122876241328e-05,0.00017869668676148183,0.023898924132692012,8.257551625420872e-05
1839,1,9.054625140852265e-06,0.0007286930142767195,1.6189889054046467e-05,2.042741449909845e-05,1.551931113361057e-05,3.8869866457337773e-07,1.1886754815108693e-06,1.2374970164909279e-05,1.9600045060384357e-05,8.821682607481655e-05,0.0015372547147900245,0.0005537636755194165,0.009629020760165957,0.0023789687370713098,0.01513624656158764,0.0002539300128769936,0.002530628681167625,8.254122876241328e-05,0.00017869668676148183,0.023898924132692012,8.257551625420872e-05
1840,0,9.054627663674216e-06,0.0007118639657772723,1.6290531945567627e-05,2.0638860041548515e-05,1.4716272542554144e-05,3.8869230667028546e-07,1.188668720341468e-06,1.2354620476189981e-05,1.9906414618781757e-05,8.821684456113458e-05,0.0015373279713637477,0.0005538477248495558,0.00962907136624011,0.002392790717312074,0.015137728066197467,0.00025540703088121,0.0025304208155698203,8.253547140969098e-05,0.000178696682644625,0.02389890648536915,8.257551979660288e-05
1840,1,9.054627663674216e-06,0.0007118639657772723,1.6290531945567627e-05,2.0638860041548515e-05,1.4716272542554144e-05,3.8869230667028546e-07,1.188668720341468e-06,1.2354620476189981e-05,1.9906414618781757e-05,8.821684456113458e-05,0.0015373279713637477,0.0005538477248495558,0.00962907136624011,0.002392790717312074,0.015137728066197467,0.00025540703088121,0.0025304208155698203,8.253547140969098e-05,0.000178696682644625,0.02389890648536915,8.257551979660288e-05
