,,ENO_total,FBA1_total,FBA2_total,GAPD_total,PGK_total,PGMd_total,PGMi_total,TPI_total,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
113,0,9.058112572462076e-06,5.542431338386943e-11,1.583741052624645e-05,1.1195093836252679e-05,0.0020977442178220004,4.0355013871348985e-07,1.224793637025885e-06,3.854543476314575e-06,1.4127718763404434e-05,8.819443182832625e-05,0.0013846847613305767,0.0005309160797028122,0.00771095474820563,0.0030487921878815313,0.015196601665818562,0.0003240188863873466,0.002539724986459312,8.225404152299891e-05,0.0001786947011870492,0.02389928476310894,8.256840613225647e-05
113,1,9.058112572462076e-06,5.542431338386943e-11,1.583741052624645e-05,1.1195093836252679e-05,0.0020977442178220004,4.0355013871348985e-07,1.224793637025885e-06,3.854543476314575e-06,1.4127718763404434e-05,8.819443182832625e-05,0.0013846847613305767,0.0005309160797028122,0.00771095474820563,0.0030487921878815313,0.015196601665818562,0.0003240188863873466,0.002539724986459312,8.225404152299891e-05,0.0001786947011870492,0.02389928476310894,8.256840613225647e-05
114,0,9.044827799878629e-06,7.571488205154117e-11,1.5845171674318778e-05,1.1329234257718122e-05,0.0020566275521860075,4.032713966068991e-07,1.2241519690566347e-06,3.7677300770378544e-06,1.431755173780354e-05,8.82800503346601e-05,0.0013879446899537832,0.0005316413960893955,0.0077480060189361235,0.00304879600458962,0.015196599761130365,0.00032398426305651123,0.00253959316878426,8.224430095787786e-05,0.0001787024453272005,0.023899275558855165,8.256850583737287e-05
114,1,9.044827799878629e-06,7.571488205154117e-11,1.5845171674318778e-05,1.1329234257718122e-05,0.0020566275521860075,4.032713966068991e-07,1.2241519690566347e-06,3.7677300770378544e-06,1.431755173780354e-05,8.82800503346601e-05,0.0013879446899537832,0.0005316413960893955,0.0077480060189361235,0.00304879600458962,0.015196599761130365,0.00032398426305651123,0.00253959316878426,8.224430095787786e-05,0.0001787024453272005,0.023899275558855165,8.256850583737287e-05
115,0,9.044833388832372e-06,6.888134553779666e-11,1.5907002095768727e-05,1.1315562627272856e-05,0.0020610821372038365,4.033105609270155e-07,1.2242458209018096e-06,3.830190110967672e-06,1.429662446754815e-05,8.828001426144345e-05,0.001387584410928829,0.00053156229208838,0.00774399007299386,0.003048312165407983,0.01519658613697832,0.00032397575218136776,0.0025396065424582726,8.224873205688775e-05,0.00017870244203810372,0.023899276523541384,8.256848693451025e-05
115,1,9.044833388832372e-06,6.888134553779666e-11,1.5907002095768727e-05,1.1315562627272856e-05,0.0020610821372038365,4.033105609270155e-07,1.2242458209018096e-06,3.830190110967672e-06,1.429662446754815e-05,8.828001426144345e-05,0.001387584410928829,0.00053156229208838,0.00774399007299386,0.003048312165407983,0.01519658613697832,0.00032397575218136776,0.0025396065424582726,8.224873205688775e-05,0.00017870244203810372,0.023899276523541384,8.256848693451025e-05
116,0,9.044840332834412e-06,7.13643993001514e-11,1.5836534467041915e-05,1.1294490977249002e-05,0.002066766513027174,4.0336063830147985e-07,1.224367431551681e-06,3.8552237425078825e-06,1.4269877413021652e-05,8.827996859475636e-05,0.0013871239986057002,0.0005314629561862216,0.007738865990750609,0.0030487917312186463,0.0151966018592354,0.0003240192326592022,0.0025396273194478957,8.224640005243713e-05,0.00017870243609083883,0.02389927788804709,8.256846300703913e-05
116,1,9.044840332834412e-06,7.13643993001514e-11,1.5836534467041915e-05,1.1294490977249002e-05,0.002066766513027174,4.0336063830147985e-07,1.224367431551681e-06,3.8552237425078825e-06,1.4269877413021652e-05,8.827996859475636e-05,0.0013871239986057002,0.0005314629561862216,0.007738865990750609,0.0030487917312186463,0.0151966018592354,0.0003240192326592022,0.0025396273194478957,8.224640005243713e-05,0.00017870243609083883,0.02389927788804709,8.256846300703913e-05
117,0,9.055768342673137e-06,8.641905903969985e-11,1.5838907238242864e-05,1.134995804032325e-05,0.0020500662045503165,4.0312823129952655e-07,1.223818106046097e-06,3.8360869155433814e-06,1.4349274188563885e-05,8.820952165547502e-05,0.0013885363154043963,0.0005317570154942,0.0077539274553856,0.0030487910472721358,0.015196601375888205,0.0003240250373189217,0.0025395728157668277,8.224226204559998e-05,0.00017869606782440803,0.023899274039780774,8.256850567716769e-05
117,1,9.055768342673137e-06,8.641905903969985e-11,1.5838907238242864e-05,1.134995804032325e-05,0.0020500662045503165,4.0312823129952655e-07,1.223818106046097e-06,3.8360869155433814e-06,1.4349274188563885e-05,8.820952165547502e-05,0.0013885363154043963,0.0005317570154942,0.0077539274553856,0.0030487910472721358,0.015196601375888205,0.0003240250373189217,0.0025395728157668277,8.224226204559998e-05,0.00017869606782440803,0.023899274039780774,8.256850567716769e-05
