,,ENO_total,FBA1_total,FBA2_total,GAPD_total,PGK_total,PGMd_total,PGMi_total,TPI_total,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
3726,0,1.1323111248012064e-06,0.0006820902735252545,1.690266361996092e-05,1.628722149308526e-05,0.0020903369686396034,1.0000005551115122e-12,1.0000005551115122e-12,6.125572829316009e-06,1.6119907064326678e-05,9.125908459343461e-05,2.1363551314332317e-05,0.0005544937082129725,0.009058968882770895,0.0024245631024285078,0.015144999037762941,0.00025817320316215365,0.0025347028894738824,8.261274291290845e-05,0.00018400029745546396,0.023899138608037995,8.289967984786231e-05
3726,1,1.1323111248012064e-06,0.0006820902735252545,1.690266361996092e-05,1.628722149308526e-05,0.0020903369686396034,1.0000005551115122e-12,1.0000005551115122e-12,6.125572829316009e-06,1.6119907064326678e-05,9.125908459343461e-05,2.1363551314332317e-05,0.0005544937082129725,0.009058968882770895,0.0024245631024285078,0.015144999037762941,0.00025817320316215365,0.0025347028894738824,8.261274291290845e-05,0.00018400029745546396,0.023899138608037995,8.289967984786231e-05
3727,0,7.047007683342437e-05,0.0006843742575797762,1.6877405080663313e-05,3.494205163284428e-05,0.0018081353713555548,1.0000016653345367e-12,0.00015906542185228144,6.142243859150944e-06,3.050879193837189e-05,3.547570684553957e-05,3.7888284291219445e-05,0.0005555956392719059,0.009306629251014513,0.0024217907980294343,0.015144780106697418,0.00025788234283714807,0.0025163480594733,8.228889619148331e-05,0.00018082390490407185,0.023898097471454258,8.289978932869783e-05
3727,1,7.047007683342437e-05,0.0006843742575797762,1.6877405080663313e-05,3.494205163284428e-05,0.0018081353713555548,1.0000016653345367e-12,0.00015906542185228144,6.142243859150944e-06,3.050879193837189e-05,3.547570684553957e-05,3.7888284291219445e-05,0.0005555956392719059,0.009306629251014513,0.0024217907980294343,0.015144780106697418,0.00025788234283714807,0.0025163480594733,8.228889619148331e-05,0.00018082390490407185,0.023898097471454258,8.289978932869783e-05
3728,0,8.681727362299176e-05,0.0006957618271148999,1.6773559524135947e-05,5.216869885677321e-05,0.0017392794976155456,0.000167599515507043,2.1047179893608673e-05,4.924943231109731e-06,3.90474860080128e-05,3.4619479983203474e-05,4.9419253454868525e-05,0.0005567620285034937,0.009379452611999848,0.0024121712604926273,0.015143760234195123,0.0002565093980331995,0.0024994000596644276,8.196617128781906e-05,0.00017701926109555175,0.02389714980161834,5.172192864624676e-05
3728,1,8.681727362299176e-05,0.0006957618271148999,1.6773559524135947e-05,5.216869885677321e-05,0.0017392794976155456,0.000167599515507043,2.1047179893608673e-05,4.924943231109731e-06,3.90474860080128e-05,3.4619479983203474e-05,4.9419253454868525e-05,0.0005567620285034937,0.009379452611999848,0.0024121712604926273,0.015143760234195123,0.0002565093980331995,0.0024994000596644276,8.196617128781906e-05,0.00017701926109555175,0.02389714980161834,5.172192864624676e-05
3729,0,8.417696637868058e-05,0.0007036412694323502,1.6732055582322865e-05,5.227359749248543e-05,0.0017392438373802295,0.00017305478911265552,2.107610459831106e-05,7.010281548193715e-06,3.904569704725551e-05,3.463565834162292e-05,4.9419709356745885e-05,0.0005567630452832817,0.009379459542798715,0.0024050308279800286,0.015143037147921212,0.0002561999246314198,0.0024992969166869475,8.196075579618065e-05,0.00017701974137870942,0.023897147233989023,5.104206993079028e-05
3729,1,8.417696637868058e-05,0.0007036412694323502,1.6732055582322865e-05,5.227359749248543e-05,0.0017392438373802295,0.00017305478911265552,2.107610459831106e-05,7.010281548193715e-06,3.904569704725551e-05,3.463565834162292e-05,4.9419709356745885e-05,0.0005567630452832817,0.009379459542798715,0.0024050308279800286,0.015143037147921212,0.0002561999246314198,0.0024992969166869475,8.196075579618065e-05,0.00017701974137870942,0.023897147233989023,5.104206993079028e-05
3730,0,8.399087281383022e-05,0.000695402638410736,1.6794300816582983e-05,5.200070587091945e-05,0.001739242136682628,0.00017344580395000842,2.107765700602051e-05,7.0614704746017994e-06,3.904685800932642e-05,3.463690172540773e-05,4.941992831576346e-05,0.0005567627709801404,0.00937946071193281,0.002411689031533551,0.015143775361244874,0.0002569577505798342,0.002499565487866918,8.196695571268856e-05,0.00017702010912920059,0.02389715444788951,5.099316758122099e-05
3730,1,8.399087281383022e-05,0.000695402638410736,1.6794300816582983e-05,5.200070587091945e-05,0.001739242136682628,0.00017344580395000842,2.107765700602051e-05,7.0614704746017994e-06,3.904685800932642e-05,3.463690172540773e-05,4.941992831576346e-05,0.0005567627709801404,0.00937946071193281,0.002411689031533551,0.015143775361244874,0.0002569577505798342,0.002499565487866918,8.196695571268856e-05,0.00017702010912920059,0.02389715444788951,5.099316758122099e-05
3731,0,8.259918309531271e-05,0.0007048854620217537,1.6725896974031807e-05,5.232276635858691e-05,0.0017392209716557275,0.00017616510237722247,2.1092787586644628e-05,7.12817370925087e-06,3.904999730881342e-05,3.464651925741731e-05,4.9422974549745165e-05,0.0005567628372630863,0.0093794766277395,0.002403903880569844,0.015142922339808323,0.0002561032754016736,0.0024992483754153623,8.196248273738179e-05,0.00017702363106716405,0.02389714551745927,5.0657016344883454e-05
