,,0,1,2,3,4,5,6,7
5724,0,1.151892929423717e-06,4.549714046578269e-05,1.4078795909575413e-05,1.649146683512515e-05,3.5932536984036766e-05,3.908934670151709e-07,1.1947282206385013e-06,1.16224147143581e-07
5724,1,1.151892929423717e-06,4.549714046578269e-05,1.4078795909575413e-05,1.649146683512515e-05,3.5932536984036766e-05,3.908934670151709e-07,1.1947282206385013e-06,1.16224147143581e-07
5725,0,1.151892930249168e-06,4.549817434429317e-05,1.4079210235769837e-05,1.649050358049197e-05,3.593252995970399e-05,3.9089346695632905e-07,1.1947282204941722e-06,1.1600808073050804e-07
5725,1,1.151892930249168e-06,4.549817434429317e-05,1.4079210235769837e-05,1.649050358049197e-05,3.593252995970399e-05,3.9089346695632905e-07,1.1947282204941722e-06,1.1600808073050804e-07
5726,0,1.151892930149803e-06,4.5497059120518283e-05,1.4078765553900222e-05,1.6491535483495468e-05,3.593253748477622e-05,3.9089346701905666e-07,1.1947282206490484e-06,1.1714636856105404e-07
5726,1,1.151892930149803e-06,4.5497059120518283e-05,1.4078765553900222e-05,1.6491535483495468e-05,3.593253748477622e-05,3.9089346701905666e-07,1.1947282206490484e-06,1.1714636856105404e-07
5727,0,1.151873518306561e-06,4.549714046580156e-05,1.407879590957819e-05,1.6491466835141804e-05,3.593234910340518e-05,3.908946160871195e-07,1.1947315324781922e-06,1.16224147143581e-07
5727,1,1.151873518306561e-06,4.549714046580156e-05,1.407879590957819e-05,1.6491466835141804e-05,3.593234910340518e-05,3.908946160871195e-07,1.1947315324781922e-06,1.16224147143581e-07
5728,0,1.1518735182299555e-06,4.549817434416549e-05,1.4079210235728759e-05,1.649050358054082e-05,3.5932342079237265e-05,3.9089461602772253e-07,1.1947315323344184e-06,1.1600808073106315e-07
5728,1,1.1518735182299555e-06,4.549817434416549e-05,1.4079210235728759e-05,1.649050358054082e-05,3.5932342079237265e-05,3.9089461602772253e-07,1.1947315323344184e-06,1.1600808073106315e-07
5729,0,1.1518735182982344e-06,4.549705912051218e-05,1.407876555389467e-05,1.6491535483360573e-05,3.59323496040325e-05,3.9089461609100526e-07,1.1947315324892945e-06,1.1714636862100609e-07
5729,1,1.1518735182982344e-06,4.549705912051218e-05,1.407876555389467e-05,1.6491535483360573e-05,3.59323496040325e-05,3.9089461609100526e-07,1.1947315324892945e-06,1.1714636862100609e-07
5730,0,1.150763261775516e-06,4.549714054720756e-05,1.407879609244691e-05,1.6491466766674908e-05,3.5921616864502564e-05,3.9096028304676063e-07,1.1949142523535154e-06,1.162241488744187e-07
5730,1,1.150763261775516e-06,4.549714054720756e-05,1.407879609244691e-05,1.6491466766674908e-05,3.5921616864502564e-05,3.9096028304676063e-07,1.1949142523535154e-06,1.162241488744187e-07
5731,0,1.105482927157863e-05,9.075274699443486e-05,1.2074504139684527e-05,9.906358103071877e-06,6.674872785888638e-06,1.000466293670296e-12,0.006302136375260053,4.1592089424996756e-05
5731,1,1.105482927157863e-05,9.075274699443486e-05,1.2074504139684527e-05,9.906358103071877e-06,6.674872785888638e-06,1.000466293670296e-12,0.006302136375260053,4.1592089424996756e-05
5732,0,1.1507632443205896e-06,4.549705918201132e-05,1.4078765550287555e-05,1.649153656246849e-05,3.5921617529681034e-05,3.909602837478665e-07,1.1949142548326434e-06,1.1714636841061883e-07
5732,1,1.1507632443205896e-06,4.549705918201132e-05,1.4078765550287555e-05,1.649153656246849e-05,3.5921617529681034e-05,3.909602837478665e-07,1.1949142548326434e-06,1.1714636841061883e-07
5733,0,1.1516720355166844e-06,4.549714046578436e-05,1.407879590957486e-05,1.649146683549208e-05,3.5930404042549665e-05,3.9089220407652845e-07,1.1947645866475906e-06,1.16224147143581e-07
5733,1,1.1516720355166844e-06,4.549714046578436e-05,1.407879590957486e-05,1.649146683549208e-05,3.5930404042549665e-05,3.9089220407652845e-07,1.1947645866475906e-06,1.16224147143581e-07
5734,0,1.1516720355322277e-06,4.549817434419325e-05,1.4079210235747633e-05,1.6490503580853347e-05,3.593039701940537e-05,3.9089220401768666e-07,1.1947645865032615e-06,1.1600808073050804e-07
5734,1,1.1516720355322277e-06,4.549817434419325e-05,1.4079210235747633e-05,1.6490503580853347e-05,3.593039701940537e-05,3.9089220401768666e-07,1.1947645865032615e-06,1.1600808073050804e-07
5735,0,1.1516720355277867e-06,4.549705912051718e-05,1.4078765553899666e-05,1.6491535483921238e-05,3.593040454335628e-05,3.9089220408096934e-07,1.1947645866581377e-06,1.1714636856160916e-07
5735,1,1.1516720355277867e-06,4.549705912051718e-05,1.4078765553899666e-05,1.6491535483921238e-05,3.593040454335628e-05,3.9089220408096934e-07,1.1947645866581377e-06,1.1714636856160916e-07
5736,0,1.1516526314677633e-06,4.54971404657999e-05,1.4078795909576525e-05,1.649146683548764e-05,3.593021616138239e-05,3.9089335330779405e-07,1.1947678990185234e-06,1.1622414714413612e-07
5736,1,1.1516526314677633e-06,4.54971404657999e-05,1.4078795909576525e-05,1.649146683548764e-05,3.593021616138239e-05,3.9089335330779405e-07,1.1947678990185234e-06,1.1622414714413612e-07
5737,0,1.1516526308810104e-06,4.549817434421545e-05,1.4079210235748188e-05,1.649050358088221e-05,3.5930209138000514e-05,3.908933532489522e-07,1.1947678988741943e-06,1.1600808073106315e-07
