,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3078,0,1.683619786811355e-07,5.7462561415416204e-11,1.4354912184199329e-09,1.7735322470756212e-08,1.1782483877524993e-05,2.8379264050222206e-07,3.253999603356175e-07,8.031343690410257e-12,2.2948689153972222e-05,8.281377309110128e-07,7.729230599654979e-07,2.0905370642088084e-06,1.368209131061282e-09,1.224531847449084e-11,2.8086595549314808e-12,6.459206528528546e-09,1.2183857035254209e-09,3.743967311723622e-08,6.949650919564794e-06,7.245921918030973e-11,4.826935911790651e-11
3078,1,1.683619786811355e-07,5.7462561415416204e-11,1.4354912184199329e-09,1.7735322470756212e-08,1.1782483877524993e-05,2.8379264050222206e-07,3.253999603356175e-07,8.031343690410257e-12,2.2948689153972222e-05,8.281377309110128e-07,7.729230599654979e-07,2.0905370642088084e-06,1.368209131061282e-09,1.224531847449084e-11,2.8086595549314808e-12,6.459206528528546e-09,1.2183857035254209e-09,3.743967311723622e-08,6.949650919564794e-06,7.245921918030973e-11,4.826935911790651e-11
3079,0,1.683559263840036e-07,4.23609065407476e-11,1.4329951616190136e-09,1.7734474284217846e-08,1.1782469735335417e-05,2.837964760327074e-07,3.2539899651065716e-07,1.2391321394531266e-11,2.294869662229314e-05,8.281364083369231e-07,7.729213840415583e-07,2.090532546920789e-06,1.3682063329523153e-09,2.598192195245319e-10,2.7908959865374783e-12,6.457629575875885e-09,1.218263496593347e-09,3.743592215582137e-08,6.949639881907027e-06,7.244874145051483e-11,3.9247135611417995e-11
3079,1,1.683559263840036e-07,4.23609065407476e-11,1.4329951616190136e-09,1.7734474284217846e-08,1.1782469735335417e-05,2.837964760327074e-07,3.2539899651065716e-07,1.2391321394531266e-11,2.294869662229314e-05,8.281364083369231e-07,7.729213840415583e-07,2.090532546920789e-06,1.3682063329523153e-09,2.598192195245319e-10,2.7908959865374783e-12,6.457629575875885e-09,1.218263496593347e-09,3.743592215582137e-08,6.949639881907027e-06,7.244874145051483e-11,3.9247135611417995e-11
3080,0,1.8346843276831803e-07,2.366785620443453e-10,9.666371005839628e-10,1.871189109175608e-08,1.1793002982869011e-05,2.950419146310776e-07,3.2608529998134894e-07,4.588683681329219e-08,2.2939615183818985e-05,8.304721838831432e-07,7.743538357354949e-07,2.0945004614107135e-06,1.3350613687485025e-09,6.741795936619777e-10,5.8867974609549956e-09,9.437229133194783e-09,1.425655157729494e-09,3.764305350227918e-08,6.960119524369976e-06,7.228482742926978e-11,4.498015471914897e-11
3080,1,1.8346843276831803e-07,2.366785620443453e-10,9.666371005839628e-10,1.871189109175608e-08,1.1793002982869011e-05,2.950419146310776e-07,3.2608529998134894e-07,4.588683681329219e-08,2.2939615183818985e-05,8.304721838831432e-07,7.743538357354949e-07,2.0945004614107135e-06,1.3350613687485025e-09,6.741795936619777e-10,5.8867974609549956e-09,9.437229133194783e-09,1.425655157729494e-09,3.764305350227918e-08,6.960119524369976e-06,7.228482742926978e-11,4.498015471914897e-11
3081,0,1.6821639107160837e-07,7.330238702051099e-11,1.437829455689754e-09,1.77351723922931e-08,1.1782419326981602e-05,2.8390571240588243e-07,3.251193561024393e-07,4.997401270063909e-11,2.2948744871047232e-05,8.272877912290097e-07,7.729316543530693e-07,2.090526636657408e-06,1.3681779615498657e-09,5.637726787147135e-11,2.8236388921465405e-12,6.45921573806706e-09,1.2183703664014889e-09,3.743910454521841e-08,6.9494970794466864e-06,7.245773078756734e-11,3.202784299707537e-10
3081,1,1.6821639107160837e-07,7.330238702051099e-11,1.437829455689754e-09,1.77351723922931e-08,1.1782419326981602e-05,2.8390571240588243e-07,3.251193561024393e-07,4.997401270063909e-11,2.2948744871047232e-05,8.272877912290097e-07,7.729316543530693e-07,2.090526636657408e-06,1.3681779615498657e-09,5.637726787147135e-11,2.8236388921465405e-12,6.45921573806706e-09,1.2183703664014889e-09,3.743910454521841e-08,6.9494970794466864e-06,7.245773078756734e-11,3.202784299707537e-10
3082,0,1.683121614034182e-07,4.230201922037364e-11,1.4329994448477874e-09,1.7734495947539482e-08,1.1782491846711949e-05,2.8364896481447414e-07,3.251623611354931e-07,8.880878542597784e-12,2.294870436195995e-05,8.273997197035416e-07,7.729347685735393e-07,2.090534460715541e-06,1.3681862344461226e-09,2.6050992916679117e-10,2.790831801768867e-12,6.457688100512844e-09,1.218264996261792e-09,3.74359881873522e-08,6.949485811674869e-06,7.244893920899109e-11,9.731440443240275e-11
3082,1,1.683121614034182e-07,4.230201922037364e-11,1.4329994448477874e-09,1.7734495947539482e-08,1.1782491846711949e-05,2.8364896481447414e-07,3.251623611354931e-07,8.880878542597784e-12,2.294870436195995e-05,8.273997197035416e-07,7.729347685735393e-07,2.090534460715541e-06,1.3681862344461226e-09,2.6050992916679117e-10,2.790831801768867e-12,6.457688100512844e-09,1.218264996261792e-09,3.74359881873522e-08,6.949485811674869e-06,7.244893920899109e-11,9.731440443240275e-11
3083,0,1.6837341526827288e-07,7.68233665455681e-11,1.4382480676664337e-09,1.773546573565919e-08,1.1782514031275922e-05,2.8374967705364093e-07,3.251443248287039e-07,1.7362810421730525e-11,2.2948696875177306e-05,8.273292843295776e-07,7.729385167586783e-07,2.0905447330112504e-06,1.3681893309275273e-09,1.814659776611105e-10,2.8271014002045902e-12,6.458787846891877e-09,1.2184041249876931e-09,3.744021426782952e-08,6.9494909573311495e-06,7.246036409780388e-11,3.532932870949426e-11
3083,1,1.6837341526827288e-07,7.68233665455681e-11,1.4382480676664337e-09,1.773546573565919e-08,1.1782514031275922e-05,2.8374967705364093e-07,3.251443248287039e-07,1.7362810421730525e-11,2.2948696875177306e-05,8.273292843295776e-07,7.729385167586783e-07,2.0905447330112504e-06,1.3681893309275273e-09,1.814659776611105e-10,2.8271014002045902e-12,6.458787846891877e-09,1.2184041249876931e-09,3.744021426782952e-08,6.9494909573311495e-06,7.246036409780388e-11,3.532932870949426e-11
3084,0,1.5964198443060526e-07,5.7196727164611266e-11,1.436648206933175e-09,1.774158757575459e-08,1.1786652979046741e-05,2.696055215892435e-07,3.107701842785958e-07,5.186575611538808e-11,2.2952485295666967e-05,7.465971868402443e-07,7.746365282331608e-07,2.0911440445733247e-06,1.3660680069776943e-09,1.278325102022082e-11,2.8093343623636358e-12,6.464639191203301e-09,1.218943081020274e-09,3.745675411312855e-08,6.935055744213621e-06,7.249868760883516e-11,8.448205573692927e-11
3084,1,1.5964198443060526e-07,5.7196727164611266e-11,1.436648206933175e-09,1.774158757575459e-08,1.1786652979046741e-05,2.696055215892435e-07,3.107701842785958e-07,5.186575611538808e-11,2.2952485295666967e-05,7.465971868402443e-07,7.746365282331608e-07,2.0911440445733247e-06,1.3660680069776943e-09,1.278325102022082e-11,2.8093343623636358e-12,6.464639191203301e-09,1.218943081020274e-09,3.745675411312855e-08,6.935055744213621e-06,7.249868760883516e-11,8.448205573692927e-11
3085,0,1.596046352203193e-07,5.7347936457365284e-11,1.4357285684223238e-09,1.774074119960346e-08,1.1786653594883604e-05,2.696213270544565e-07,3.1076820169470234e-07,6.696893602544437e-12,2.2952480361322828e-05,7.4659878351982e-07,7.74636324199756e-07,2.091143554357926e-06,1.3660667111392577e-09,1.2470479943821333e-11,2.8087029230183802e-12,6.460005906507721e-09,1.218823389870921e-09,3.7453086119905487e-08,6.935059045927423e-06,7.248806416226827e-11,3.370158592843654e-11
3085,1,1.596046352203193e-07,5.7347936457365284e-11,1.4357285684223238e-09,1.774074119960346e-08,1.1786653594883604e-05,2.696213270544565e-07,3.1076820169470234e-07,6.696893602544437e-12,2.2952480361322828e-05,7.4659878351982e-07,7.74636324199756e-07,2.091143554357926e-06,1.3660667111392577e-09,1.2470479943821333e-11,2.8087029230183802e-12,6.460005906507721e-09,1.218823389870921e-09,3.7453086119905487e-08,6.935059045927423e-06,7.248806416226827e-11,3.370158592843654e-11
