,,ENO_total,FBA1_total,FBA2_total,GAPD_total,PGK_total,PGMd_total,PGMi_total,TPI_total,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
4698,0,1.1147543862517865e-05,1.8077558103376923e-09,1.2779911859154627e-05,3.640759073758118e-05,0.001705426017680586,0.00017970917368765734,2.2149101844059395e-05,1.1720748279656871e-05,4.142419399409049e-05,3.898617687441016e-05,5.5502081779185154e-05,0.0005577917085861425,0.009407167602755916,0.0030465737191149186,0.015192681733090409,0.00032528276132320346,0.002514963494919045,7.939356242552243e-05,0.0001807543616258143,0.023897533656252135,4.97389998363317e-05
4698,1,1.1147543862517865e-05,1.8077558103376923e-09,1.2779911859154627e-05,3.640759073758118e-05,0.001705426017680586,0.00017970917368765734,2.2149101844059395e-05,1.1720748279656871e-05,4.142419399409049e-05,3.898617687441016e-05,5.5502081779185154e-05,0.0005577917085861425,0.009407167602755916,0.0030465737191149186,0.015192681733090409,0.00032528276132320346,0.002514963494919045,7.939356242552243e-05,0.0001807543616258143,0.023897533656252135,4.97389998363317e-05
4699,0,1.0888946011764084e-05,1.0002015054789493e-12,1.30177959011689e-05,3.6613021962808156e-05,0.0017046866514238172,0.00018167490994205627,2.205521321398492e-05,1.1650679730213525e-05,4.153168176192584e-05,3.9095700542876907e-05,5.5651035116353794e-05,0.0005578014364175439,0.009407770150486947,0.0030450549361589947,0.015192545901484014,0.00032511775470166096,0.002514760698933026,7.943290974409207e-05,0.0001807945654057635,0.023897520567819963,4.934396783616899e-05
4699,1,1.0888946011764084e-05,1.0002015054789493e-12,1.30177959011689e-05,3.6613021962808156e-05,0.0017046866514238172,0.00018167490994205627,2.205521321398492e-05,1.1650679730213525e-05,4.153168176192584e-05,3.9095700542876907e-05,5.5651035116353794e-05,0.0005578014364175439,0.009407770150486947,0.0030450549361589947,0.015192545901484014,0.00032511775470166096,0.002514760698933026,7.943290974409207e-05,0.0001807945654057635,0.023897520567819963,4.934396783616899e-05
4700,0,6.179053098183155e-05,1.2139455542418122e-10,1.2807561128357705e-05,3.234106259398673e-05,0.0017393261424643062,0.00020529872152253077,2.1463571926387435e-05,1.1758907936822745e-05,3.792347958162339e-05,3.471755784837629e-05,4.94228291615881e-05,0.0005570988857582582,0.009379461054086971,0.0030465737519034574,0.015192665842116551,0.0003252797335368319,0.0025189567966108564,7.9966201801623e-05,0.00017639615026149424,0.023897815512678045,4.76095596706706e-05
4700,1,6.179053098183155e-05,1.2139455542418122e-10,1.2807561128357705e-05,3.234106259398673e-05,0.0017393261424643062,0.00020529872152253077,2.1463571926387435e-05,1.1758907936822745e-05,3.792347958162339e-05,3.471755784837629e-05,4.94228291615881e-05,0.0005570988857582582,0.009379461054086971,0.0030465737519034574,0.015192665842116551,0.0003252797335368319,0.0025189567966108564,7.9966201801623e-05,0.00017639615026149424,0.023897815512678045,4.76095596706706e-05
4701,0,1.0761137116066686e-05,1.7445347569516106e-09,1.277822294726279e-05,3.6582436937861865e-05,0.00170397438567434,0.00017267801626492214,2.2191995739649414e-05,1.1720892377920734e-05,4.15698808882764e-05,3.9168144727394086e-05,5.578159484639077e-05,0.0005578227042676415,0.009408304214302207,0.0030465735138262384,0.015192682705527961,0.0003252827470733244,0.002514791799107667,7.93673505530446e-05,0.00018089376670733578,0.02389752154023281,5.0789210374305125e-05
4701,1,1.0761137116066686e-05,1.7445347569516106e-09,1.277822294726279e-05,3.6582436937861865e-05,0.00170397438567434,0.00017267801626492214,2.2191995739649414e-05,1.1720892377920734e-05,4.15698808882764e-05,3.9168144727394086e-05,5.578159484639077e-05,0.0005578227042676415,0.009408304214302207,0.0030465735138262384,0.015192682705527961,0.0003252827470733244,0.002514791799107667,7.93673505530446e-05,0.00018089376670733578,0.02389752154023281,5.0789210374305125e-05
4702,0,1.0818806499669435e-05,1.6513311027220041e-09,1.3017221375508024e-05,3.666954119908642e-05,0.001704182839937179,0.00017337349431921926,2.2190465852407678e-05,1.1650503910897215e-05,4.15784845708427e-05,3.914036857980128e-05,5.5739717259476316e-05,0.0005578114432312993,0.009408135695323049,0.0030450530567363993,0.01519254623649821,0.0003251175402026258,0.002514705214185186,7.942459028290553e-05,0.0001808734771783069,0.023897516655693295,5.070906009933338e-05
4702,1,1.0818806499669435e-05,1.6513311027220041e-09,1.3017221375508024e-05,3.666954119908642e-05,0.001704182839937179,0.00017337349431921926,2.2190465852407678e-05,1.1650503910897215e-05,4.15784845708427e-05,3.914036857980128e-05,5.5739717259476316e-05,0.0005578114432312993,0.009408135695323049,0.0030450530567363993,0.01519254623649821,0.0003251175402026258,0.002514705214185186,7.942459028290553e-05,0.0001808734771783069,0.023897516655693295,5.070906009933338e-05
4703,0,1.077316054715401e-05,8.197513732840805e-10,1.2767040533703779e-05,3.6572824973070395e-05,0.0017040231342133811,0.0001728453862620909,2.2191515627205218e-05,1.1769464178402552e-05,4.156342359081861e-05,3.91617611575381e-05,5.577194926233717e-05,0.0005578219664788836,0.009408265325097696,0.003046572824586029,0.015192689165382052,0.0003252802485653184,0.0025148012886464883,7.936575242860629e-05,0.00018088678503587268,0.023897522225519018,5.0769022650190725e-05
4703,1,1.077316054715401e-05,8.197513732840805e-10,1.2767040533703779e-05,3.6572824973070395e-05,0.0017040231342133811,0.0001728453862620909,2.2191515627205218e-05,1.1769464178402552e-05,4.156342359081861e-05,3.91617611575381e-05,5.577194926233717e-05,0.0005578219664788836,0.009408265325097696,0.003046572824586029,0.015192689165382052,0.0003252802485653184,0.0025148012886464883,7.936575242860629e-05,0.00018088678503587268,0.023897522225519018,5.0769022650190725e-05
4704,0,1.1311721732116128e-06,2.3716128641070847e-09,1.289491672133986e-05,2.4132887292412618e-05,0.0018257116016642603,1.0000005551115122e-12,1.0000005551115122e-12,1.1720785154111468e-05,3.001448817342387e-05,9.221647230568321e-05,3.836902404034041e-05,0.0005558563643580963,0.009306850810186769,0.0030465874173042627,0.01519261551564737,0.000325284305736917,0.002527015672769371,8.098700618540728e-05,0.00018399672822610194,0.023898384490097225,8.289994630897105e-05
4704,1,1.1311721732116128e-06,2.3716128641070847e-09,1.289491672133986e-05,2.4132887292412618e-05,0.0018257116016642603,1.0000005551115122e-12,1.0000005551115122e-12,1.1720785154111468e-05,3.001448817342387e-05,9.221647230568321e-05,3.836902404034041e-05,0.0005558563643580963,0.009306850810186769,0.0030465874173042627,0.01519261551564737,0.000325284305736917,0.002527015672769371,8.098700618540728e-05,0.00018399672822610194,0.023898384490097225,8.289994630897105e-05
4705,0,1.1317716569075704e-06,5.242358746497116e-09,1.3137301429679973e-05,2.3914105333920838e-05,0.001828970886967534,1.0000005551115122e-12,1.0000005551115122e-12,1.165044012513999e-05,2.975315410411398e-05,9.217432256179957e-05,3.802150269804068e-05,0.0005558159608870223,0.009303927498491219,0.0030450770210844994,0.015192477085119964,0.0003251201812164778,0.0025272299570381646,8.104665548201985e-05,0.0001839968640683061,0.023898400413017065,8.289994623594057e-05
4705,1,1.1317716569075704e-06,5.242358746497116e-09,1.3137301429679973e-05,2.3914105333920838e-05,0.001828970886967534,1.0000005551115122e-12,1.0000005551115122e-12,1.165044012513999e-05,2.975315410411398e-05,9.217432256179957e-05,3.802150269804068e-05,0.0005558159608870223,0.009303927498491219,0.0030450770210844994,0.015192477085119964,0.0003251201812164778,0.0025272299570381646,8.104665548201985e-05,0.0001839968640683061,0.023898400413017065,8.289994623594057e-05
