,,ENO_total,FBA1_total,FBA2_total,GAPD_total,PGK_total,PGMd_total,PGMi_total,TPI_total,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
5508,0,1.1451980899460371e-06,9.061326941131676e-05,1.3280446078558748e-05,1.2474061528915793e-05,0.0021327128932586217,1.0000005551115122e-12,1.0729749135396334e-10,8.579568856334647e-06,1.4835240096951253e-05,9.124641420747209e-05,1.9870085849333865e-05,0.0005544938165594154,0.00901813087283074,0.0030392547237165445,0.015109369184168839,0.0003242396489048609,0.0025389660670817335,8.184919301781078e-05,0.0001839999109969821,0.023899980426093263,8.289994236300526e-05
5508,1,1.1451980899460371e-06,9.061326941131676e-05,1.3280446078558748e-05,1.2474061528915793e-05,0.0021327128932586217,1.0000005551115122e-12,1.0729749135396334e-10,8.579568856334647e-06,1.4835240096951253e-05,9.124641420747209e-05,1.9870085849333865e-05,0.0005544938165594154,0.00901813087283074,0.0030392547237165445,0.015109369184168839,0.0003242396489048609,0.0025389660670817335,8.184919301781078e-05,0.0001839999109969821,0.023899980426093263,8.289994236300526e-05
5509,0,1.1451982096003236e-06,9.002675284159826e-05,1.3416945238514593e-05,1.2225773352440821e-05,0.00214426206202126,1.0000005551115122e-12,7.354470468061686e-11,1.0160790271926093e-05,1.451933963703039e-05,9.124639270596596e-05,1.949461131667755e-05,0.0005544901845639943,0.00900696574645987,0.0030379518027120263,0.015109824576590217,0.00032425391848104815,0.0025392089829991567,8.186920850646596e-05,0.0001839999083778716,0.023899980873866307,8.289994227220013e-05
5509,1,1.1451982096003236e-06,9.002675284159826e-05,1.3416945238514593e-05,1.2225773352440821e-05,0.00214426206202126,1.0000005551115122e-12,7.354470468061686e-11,1.0160790271926093e-05,1.451933963703039e-05,9.124639270596596e-05,1.949461131667755e-05,0.0005544901845639943,0.00900696574645987,0.0030379518027120263,0.015109824576590217,0.00032425391848104815,0.0025392089829991567,8.186920850646596e-05,0.0001839999083778716,0.023899980873866307,8.289994227220013e-05
5510,0,1.145200774384264e-06,9.064805778891024e-05,1.3273200619558924e-05,1.2230776604517407e-05,0.0021442119832204044,1.0000005551115122e-12,5.1463979656639305e-11,8.634412669168652e-06,1.4526628287502375e-05,9.124624290240751e-05,1.949624426476539e-05,0.0005544822073662643,0.009007011844485765,0.003039253743607234,0.015109341488218284,0.000324238411824928,0.002539204218289724,8.18626506161519e-05,0.000183999938121296,0.023899980890675784,8.289994227266642e-05
5510,1,1.145200774384264e-06,9.064805778891024e-05,1.3273200619558924e-05,1.2230776604517407e-05,0.0021442119832204044,1.0000005551115122e-12,5.1463979656639305e-11,8.634412669168652e-06,1.4526628287502375e-05,9.124624290240751e-05,1.949624426476539e-05,0.0005544822073662643,0.009007011844485765,0.003039253743607234,0.015109341488218284,0.000324238411824928,0.002539204218289724,8.18626506161519e-05,0.000183999938121296,0.023899980890675784,8.289994227266642e-05
5511,0,1.1452016327515302e-06,9.061142370867733e-05,1.3281560624217179e-05,1.2292529803215837e-05,0.002141229173536964,1.0000005551115122e-12,6.518264974408109e-11,8.579432050896016e-06,1.4605108737135024e-05,9.124625433598382e-05,1.959198573538818e-05,0.0005544857857095748,0.00900989745692194,0.003039255158792725,0.015109370233858834,0.0003242396816340858,0.002539143760449774,8.18595637877868e-05,0.00018399993391295122,0.023899980771450637,8.289994229663058e-05
5511,1,1.1452016327515302e-06,9.061142370867733e-05,1.3281560624217179e-05,1.2292529803215837e-05,0.002141229173536964,1.0000005551115122e-12,6.518264974408109e-11,8.579432050896016e-06,1.4605108737135024e-05,9.124625433598382e-05,1.959198573538818e-05,0.0005544857857095748,0.00900989745692194,0.003039255158792725,0.015109370233858834,0.0003242396816340858,0.002539143760449774,8.18595637877868e-05,0.00018399993391295122,0.023899980771450637,8.289994229663058e-05
5512,0,1.1451984832480946e-06,9.008239683506338e-05,1.3416620396831073e-05,1.2295620132495781e-05,0.002140884494353997,1.0000005551115122e-12,9.953352188740603e-11,1.016081358708978e-05,1.4608067483016626e-05,9.124644281278465e-05,1.96030695406006e-05,0.0005544944252409261,0.009010233270886606,0.003037946650470865,0.015109773744808134,0.00032425336858473076,0.00253914060074305,8.186551395382995e-05,0.00018399982752713995,0.023899980740149804,8.28999422947321e-05
5512,1,1.1451984832480946e-06,9.008239683506338e-05,1.3416620396831073e-05,1.2295620132495781e-05,0.002140884494353997,1.0000005551115122e-12,9.953352188740603e-11,1.016081358708978e-05,1.4608067483016626e-05,9.124644281278465e-05,1.96030695406006e-05,0.0005544944252409261,0.009010233270886606,0.003037946650470865,0.015109773744808134,0.00032425336858473076,0.00253914060074305,8.186551395382995e-05,0.00018399982752713995,0.023899980740149804,8.28999422947321e-05
5513,0,1.1452021306221637e-06,9.065166343176361e-05,1.3272035766822549e-05,1.242084592649923e-05,0.002135207565999055,1.0000005551115122e-12,9.237968936175827e-11,8.634576247760418e-06,1.476795980612445e-05,9.124621234418489e-05,1.978789043715811e-05,0.0005544903797279794,0.009015719472033328,0.0030392531412141654,0.015109338854109974,0.0003242383640667806,0.002539018173224295,8.185173906909168e-05,0.00018399989450929865,0.023899980529371864,8.289994234075085e-05
5513,1,1.1452021306221637e-06,9.065166343176361e-05,1.3272035766822549e-05,1.242084592649923e-05,0.002135207565999055,1.0000005551115122e-12,9.237968936175827e-11,8.634576247760418e-06,1.476795980612445e-05,9.124621234418489e-05,1.978789043715811e-05,0.0005544903797279794,0.009015719472033328,0.0030392531412141654,0.015109338854109974,0.0003242383640667806,0.002539018173224295,8.185173906909168e-05,0.00018399989450929865,0.023899980529371864,8.289994234075085e-05
5514,0,1.145200501836169e-06,9.061024639223089e-05,1.328193923609288e-05,1.2230681230095168e-05,0.0021441964226460177,1.0000005551115122e-12,5.214356104773221e-11,8.579388132171253e-06,1.4526453429868449e-05,9.124632379742598e-05,1.9496740125018247e-05,0.0005544830098050464,0.009007027165883233,0.003039255355450687,0.015109371094943804,0.0003242396982716771,0.00253920430022445,8.186309318346248e-05,0.00018399988100597798,0.02389998088906985,8.289994227439282e-05
5514,1,1.145200501836169e-06,9.061024639223089e-05,1.328193923609288e-05,1.2230681230095168e-05,0.0021441964226460177,1.0000005551115122e-12,5.214356104773221e-11,8.579388132171253e-06,1.4526453429868449e-05,9.124632379742598e-05,1.9496740125018247e-05,0.0005544830098050464,0.009007027165883233,0.003039255355450687,0.015109371094943804,0.0003242396982716771,0.00253920430022445,8.186309318346248e-05,0.00018399988100597798,0.02389998088906985,8.289994227439282e-05
