13dpg,g3p,nad,nadh,pi
0.432469816809681,0.9971006033879526,0.9936753374811382,0.8606813256211343,0.99999888348931
0.9977919699460924,0.9967486150313442,0.9941616315328313,0.9882507479977007,0.9999632757806233
0.9985379353848551,0.9979086047806764,0.9939265768687271,0.9816276809232267,0.9999989448105916
0.1259655900576777,0.9900907854723928,0.9943398603617563,0.8101767964170782,0.9998926409772466
-0.4139304345749815,0.9979789152880065,0.9949198294159017,0.7111519372920332,0.9999960353548262
0.9999982345380901,0.9992857715287604,0.9958380058659686,0.9702104689240483,0.9999999991776197
0.9395280615687767,0.9948386020274643,0.9953558423347968,0.9720538008814076,0.9999461272278177
0.8090268694232777,0.9809074221177759,0.9946578164949162,0.9492824654518396,0.9997898878455995
0.9999918587809195,0.9942652565856359,0.9962904905852609,0.9693171787664232,0.9999999936126084
-0.9046821267327019,0.995806985332395,0.9968211743191118,0.6024246506776421,0.999999560966922
0.6948039302732006,0.9991925234129173,0.9972161186949214,0.9163895248276508,0.9999921042258213
0.488014274295968,0.9817647205012738,0.9954382321005664,0.8863055561828428,0.9997943757489977
0.5874902175086172,0.9983505819211228,0.9970345937337706,0.9133057486077741,0.9999813240664144
0.9986038993221268,0.9998088933281672,0.9974422907010962,0.9728548984137201,0.9999988566784218
-0.1878698245113904,0.9951149572435991,0.997083344755761,0.740385157614752,0.9999951534637942
0.4619190563787533,0.9953503107120029,0.9973084584077931,0.8899905120528709,0.9999501253800566
0.8413696009441846,0.9999822393367311,0.9985006261961463,0.9647727180767993,0.9999999999729037
0.9622740186915056,0.9971589213784744,0.9986367169654974,0.9818727028411537,0.999970155728275
0.9144419946333299,0.9989903865285197,0.998775950691081,0.9798320729437278,0.9999891754442827
0.8650697783159783,0.9987008959311842,0.9988905123359811,0.9685290395404396,0.9999875935069139
0.861683792541514,0.9820224005875916,0.9973466495117578,0.9230421238864662,0.9999940583305993
0.9431421468697516,0.9961497033151416,0.994757160679974,0.9880184705212794,0.9999563654341116
0.9999921786140923,0.9999704004555273,0.9985373516017423,0.9709915799823126,0.9999999997057831
0.6124981904477015,0.9999953487141772,0.9950997840352149,0.9109396979660631,0.9999999975467833
0.9753048198921096,0.999999687645921,0.9968378526328735,0.9911507956586117,0.9999999994493479
0.9660287611526589,0.9994625665065877,0.9980468071111678,0.9870282978359138,0.9999939066422947
0.9999998997856815,0.9999211375832323,0.9986513210902794,0.992534897500662,0.9999991261553695
0.9999999755328367,0.9980757184073854,0.9983297801181518,0.9997870706211545,0.999978203243285
0.9999996639360602,0.9999970985725182,0.9981392574714082,0.9927137377045068,0.999999999980798
0.9903663975105406,0.9993859907377857,0.9983711967190323,0.9918483805184523,0.9999930390575626
0.9939353076518852,0.9985906311483422,0.9988263975071383,0.9914098404396205,0.9999840478552032
0.9999999879476358,0.998687546402346,0.9988135439059669,0.9990116774795891,0.9999851474006365
0.999998562460834,0.9820556484631695,0.9963717784767225,0.9928792069131819,0.9997965781868656
0.9999998269882293,0.9999971213193356,0.9989609724806042,0.9879839397650027,0.9999999991894557
0.9999978553371354,0.9999882066165776,0.9956427200303213,0.9886503914650994,0.9999999998678426
0.8727139216566488,0.9999928965553829,0.9974541891609865,0.9633918078648624,0.9999999974632237
0.9390121896907234,0.9999329374407666,0.9983325723700279,0.9877454043612931,0.999999291265985
0.9979383076097702,0.999727534203035,0.998889176544308,0.992434281949572,0.9999971113926482
0.999943167177409,0.9999923457513035,0.9981048021556042,0.9950697987464613,0.9999999999619401
0.9999737682517735,0.9999721057659334,0.9675497539886722,0.995344922797071,0.9999999942230341
0.9999997998346168,0.9999792696661247,0.9960729424391443,0.978865466896384,0.9999999853288697
0.9993610566881072,0.9995544145828293,0.9990481520593265,0.9791111438304915,0.9999950158520919
0.9854353953571278,0.9991208173473792,0.9985733526211131,0.9966323507931826,0.9999901286725134
0.9999999788290002,0.9999908957539565,0.9988434944290219,0.9931007174533052,0.9999999963551905
0.999999509013648,0.9992910595092983,0.9970005611648033,0.9795428304484939,0.9999919630790818
0.6597016171679198,0.9899918957870193,0.9973828220316475,0.9111523128111748,0.9998867350191728
0.9997973186439625,0.9999061146796636,0.9992279894917727,0.8473548635679651,0.9999991417603026
0.999999396587612,0.9999259129427494,0.9963337046388758,0.9910562723783632,0.9999999751319911
0.9529272233562566,0.9999917295648905,0.9809101065234404,0.9781523980426944,0.9999999990205033
0.9998664050066459,0.9963771404305302,0.9934057920532737,0.9901798267940682,0.999958960771754
