GAPD,GAPD_nad,GAPD_nadh,GAPD_nad_g3p,GAPD_nadh_13dpg,GAPD_nad_g3p_pi
0.0002970020310322027,0.5522100670884206,0.08216456753750245,0.027320552023010265,0.3370473523906442,0.0009604589293904892
0.00042730691221292056,0.8822092701371469,0.05957128116049156,0.00021518632232575655,0.0022946913173464527,0.05528226415047634
0.0005011246496127423,0.8760411329513289,0.08876405225602288,0.03179655583535812,0.0014164223485371092,0.001480711959140275
0.00026362247736376216,0.3875862551883589,0.04776064011123971,0.003943063663972502,0.4757934098938656,0.08465300866519954
0.00022803997008196498,0.3343174850234027,0.0220380690686719,0.012205649852096972,0.6286574416538758,0.00255331443187059
0.0006258297099258288,0.7946744266257583,0.1899354406488096,0.014760582290937147,2.221689898977822e-6,1.4990346701162768e-6
0.0005717716036304125,0.7361564388839216,0.09434790655022739,0.007836714584719429,0.0703309971824036,0.09075617119509757
0.00046422468033681673,0.47275196041018286,0.060933265000945105,0.008528308201971164,0.17632382731465157,0.28099841439191253
0.0007127367289948032,0.6569594632368948,0.2131612140600427,0.12914273565105377,0.000011163560952178281,0.000012686762061732859
0.00020852827686443796,0.1685459153407622,0.0437716984761108,0.027225189876244185,0.7599949219258277,0.00025374610419066944
0.0005666431532316084,0.48806181521593406,0.13862093127517555,0.002136465105810144,0.35722741476779923,0.013386730482049372
0.0003777482304853665,0.31641694268072545,0.04999165139019739,0.0012930097426794294,0.399509299607725,0.23241134834818733
0.0005036629579858846,0.4801813731239024,0.029778722894993805,0.00004302432982132682,0.4593684827213956,0.030124733971900908
0.0009081317854734553,0.7353126081325002,0.25527585229386257,0.0027802235513492675,0.0026178433747235845,0.003105340862090988
0.00030002056960335436,0.20972969664798827,0.07217658560003166,0.04144129175618444,0.6723787468818578,0.0039736585443343325
0.0005304946537696052,0.3487119868136655,0.019818445717747005,0.0042356988671116225,0.5525219026011517,0.07418147134655449
0.0016292396228723793,0.5632596221405094,0.04832238860210722,0.0007098647577525532,0.3860787893528566,9.552390177028578e-8
0.0026535348384752974,0.5407368782052168,0.1784108704163309,0.01131930812393836,0.12436900693808386,0.14251040147795474
0.003083135844694685,0.5905399129821729,0.056888928467399624,0.0030895172645360003,0.2927497221172317,0.05364878332396522
0.0026564905796746157,0.4524690137069142,0.07390778407680752,0.010145199375378357,0.4066606124363664,0.05416089982485883
0.0010709632191534036,0.14334284847347803,0.31417441207240593,0.3579513190209147,0.1727137298541447,0.010746727359903131
0.0006994477482426642,0.8570925913509482,0.004415651700701877,0.00003923778855519796,0.06523590303836965,0.07251716837318249
0.0014695613841512673,0.6037934637304407,0.39341467750608594,0.0013002197489579116,0.000020936832403365797,1.1407979607615207e-6
0.0003375720237738823,0.6263516134912386,0.052720866798194536,0.000060250807283721656,0.320526757603196,2.939276313374038e-6
0.030942788396297237,0.8876119875018169,0.03658186529364032,7.869275871560786e-6,0.044854040825444384,1.4487069295977258e-6
0.0017562161258809401,0.795786558350876,0.086229545731978,2.177109028088061e-6,0.09225622592616586,0.023969276756071054
0.005972999730597003,0.8361226863481906,0.15267552054217523,0.00011909795430319777,4.045220773620644e-7,0.005109290902656621
0.0021287479234018926,0.872046929265835,0.004153185509626736,0.00012548482231788244,9.419262052674136e-8,0.121545558286198
0.002252852222954407,0.8840861613611688,0.1135134249035729,0.0001464426434179024,1.0333464711725368e-6,8.552241485519821e-8
0.0027084199791975678,0.8224024714529774,0.10777951583103842,6.185121953807039e-6,0.032787264850672966,0.034316142764159896
0.029084791310583395,0.6830867113045933,0.1617143605166875,0.0001786239599472556,0.02618205324895085,0.09975345965923757
0.0209728515165328,0.8409659096434511,0.026025885776832177,0.00021980252287035425,6.264087092197345e-8,0.11181548789944278
0.0009251349592829526,0.44529988437666346,0.06039483885790743,0.00011545135013749585,2.406501395085685e-6,0.49326228395461347
0.029525607913796537,0.7034729629303461,0.26679347999972247,0.0002020460160620298,7.581718700094426e-7,5.1449682029413386e-6
0.0006076757505108627,0.9204990122382116,0.07862552931303211,0.00026458846772013363,2.9324836276126876e-6,2.617468975920242e-7
0.0007610511154405803,0.678891881859475,0.1004467569492801,0.00019503082447961602,0.21969893700403842,6.342247286298661e-6
0.0015756463549890598,0.8011287686362688,0.003441093704435315,0.0002337310624167723,0.19041554940217612,0.003205210839713769
0.011179772859295488,0.7872569628235366,0.17078477663684746,0.0013699041994144146,0.009707561559261143,0.019701021921644978
0.04001532155005778,0.8841659309172395,0.07526744923414747,0.0003794956992210359,0.00017163610837263988,1.664909614041251e-7
0.00019556688238646553,0.9950334549313514,0.0046748649005830326,0.00008924775434438925,5.205115423491028e-6,1.6604159112414218e-6
0.000587064729787215,0.849048124882478,0.14988794104734576,0.00044684305686603385,2.8018281011084563e-7,0.000029746100712785553
0.05427868895409836,0.5226443686163988,0.39332517226190494,0.00036992805864338317,0.0023889490327464484,0.026992893076207766
0.03816701816832658,0.834276728388302,0.010115170421994082,0.0005727023012609239,0.05897299168020605,0.05789538903991027
0.04280086379044416,0.7999457180226889,0.15658351682755603,0.000646157741616809,9.483341902005984e-8,0.000023648784275094488
0.0007763477200522699,0.7961134540031316,0.18259666537935187,4.3201770453245655e-6,8.649608317895029e-7,0.020508347759587056
0.0005969106976978692,0.2807680844733581,0.12847321777142648,0.00036592765218340856,0.3979423083256259,0.19185355107970828
0.01920527661882416,0.12938869772801012,0.849489205667783,0.00032833473810991553,0.00022267947541722765,0.0013658057718555342
