k^r_GAPD1,k^f_GAPD1,k^r_GAPD2,k^f_GAPD2,k^r_GAPD3,k^f_GAPD3,k^r_GAPD4,k^f_GAPD4,k^r_GAPD5,k^f_GAPD5,k^r_GAPD6,k^f_GAPD6
2.181964963365547,6.818640510547258e6,9.999992705643334e8,350.37708141313584,1851.322844552246,364442.2478357156,7.29630132073285e8,2946.559297975509,5.175983840871781e8,7.613560409521484e8,1966.5802105626894,694240.9118353825
2.7461816137568813,8.581817542968633e6,9.55450288324205e8,689.2538745595515,6.438541348037734e6,5.824083384426507e6,4.572366513169462e7,22604.917163703274,26586.35510259604,2.871272977503621e8,2.1431249496212687e7,889707.2364198797
2.6275961216588164,6.855506250293117e6,5.128040242649082e8,314.78926992796505,2586.2738663034006,373590.90195511404,9.973959680257672e8,1.0358856095675597e6,656490.7725241798,1.2876480621231727e6,1.7466062358406356e6,1.6751338030477723e6
3.034831904573453,7.148303849964283e6,9.999994724778957e8,537.428411596194,11373.6597145151,461520.0448878978,9.539771885884032e8,1587.6877258219547,1594.1237937840385,1.47047556730281e6,384.99791038696617,2206.756369333733
3.0531039864045457,6.85263264686477e6,6.3695279781327e8,685.4988628495923,2524.7093717278485,372845.6650916491,9.999992284500862e8,583.134705495202,140235.89730630512,1.237613473894832e6,3.601608982261596e6,8.867616242158027e8
3.4415209239065456,6.97072742506764e6,9.999992160391592e8,319.6284963000493,5335.83008699145,404674.6048441375,3.622143140882653e8,5.1471876900990564e8,2.4429280877231294e8,1.0618375719555982e6,6.709498872234557e8,9.99998247941512e8
3.587450015429595,7.129195810015344e6,8.567435512130885e8,516.2382808304176,10587.607026855832,454768.6856993183,8.704412037173332e7,2036.9208175627505,884975.1743302061,4.288616835880539e8,9.944422198979963e8,7.706376304585181e8
4.437534660882329,6.971884731475614e6,9.999996022975817e8,737.9293244947711,5361.730636651425,404959.9986067454,9.999095097372357e8,5736.395269722839,2228.419855126098,3.1023322104417863e6,1164.1916486482346,752.4241832990658
4.720888724272504,6.736271119925197e6,9.528299651839507e8,309.2296629531745,404.9531790063853,345089.49206799665,9.528299677509001e8,3.0101480080867386e8,5.2948657090978634e8,2.17935750232173e6,7.862988315506254e8,6.926145919947007e8
5.4857094271879046,6.741339100677509e6,9.978722979657538e8,458.1948183857323,483.1151340662972,346199.636816889,9.999892783232749e8,953.8029189861371,6.111841371651715e8,2.383472184187937e8,1038.5112315435938,3.1209281360303494e6
6.190912235604369,7.491508810617993e6,9.999999987105522e8,398.0250329008693,34552.42305241854,617120.4207327443,9.999999987105522e8,6424.614969053774,406664.3769551689,1.0676748494992349e8,130.52674835881896,4066.0388382157444
6.467514620928234,7.525004030321672e6,9.99328894243527e8,735.3357356635,38223.32194114973,637036.258621225,9.590477146363156e8,1993.1559630619195,140.74283733140214,1.2268195324820864e6,754.497878148281,1319.346107970698
7.743429886673561,8.675434168812113e6,6.010767192342376e8,1099.2087102852631,4.6081174088947274e7,1.5292773073694771e7,9.995347994260497e8,1085.2819288885266,1646.6487223286895,5.546031577677855e7,84.1401720348589,1529.4841853484565
6.818811739052983,7.563338872850409e6,9.999661867181538e8,346.36252366716064,42896.189714286054,661223.0763636342,2.5813506630142605e8,420108.7652241584,21151.785588991163,1.1766345947723151e6,1.3812218361712316e8,1.1644285122993678e8
6.5760900616482525,6.735203609863134e6,9.291088751107835e8,375.15256148206083,381.81039162668543,344782.19219670456,9.998657685752345e8,1776.569221690033,1.1603047599611422e6,4.658935912702965e6,2137.9945450457344,362717.54596506833
7.755995305540754,7.059777667055118e6,9.878267748241111e8,2555.9554503467643,8009.306952852628,431430.573143284,9.787319906303738e8,591.6420816758324,413230.72835452476,3.028740387077438e8,155.57752615411124,1251.061417678981
31.015237683167232,8.110396598569527e6,2.547001091455412e8,1053.6894376594635,261406.61368127362,1.3219628572388503e6,2.5519171312225112e8,569.0413960872316,8.361362683257385e8,5.664141290795691e6,118.96128989329576,6.506637217047806e8
