,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1080,0,2.268027521974865e-12,5.607104000939292e-16,7.820180863548493e-15,1.5237106281568158e-16,5.224617532226597e-13,3.31300213500009e-13,9.318161002459975e-14,1.1654224677318248e-15,4.0115480381963664e-18,8.020250045689958e-16,1.1877714523739202e-12,3.599551212651875e-17,3.8913490485459334e-13,4.657732532997727e-16,0.0,3.469446951953614e-18,1.734723475976807e-17,4.553649124439119e-18,2.1412992906588713e-18,0.0,5.0550926292136644e-18
1080,1,2.268027521974865e-12,5.607104000939292e-16,7.820180863548493e-15,1.5237106281568158e-16,5.224617532226597e-13,3.31300213500009e-13,9.318161002459975e-14,1.1654224677318248e-15,4.0115480381963664e-18,8.020250045689958e-16,1.1877714523739202e-12,3.599551212651875e-17,3.8913490485459334e-13,4.657732532997727e-16,0.0,3.469446951953614e-18,1.734723475976807e-17,4.553649124439119e-18,2.1412992906588713e-18,0.0,5.0550926292136644e-18
1081,0,5.976963878256275e-12,4.811807826103284e-16,1.0178876242317864e-14,1.2180277538529141e-12,5.721023562657232e-12,8.168018841045281e-11,5.5285315306860885e-14,1.3008234016321195e-12,4.056406903082954e-16,4.820633909413674e-17,5.902400963819776e-13,1.1817803680091998e-16,1.734723475976807e-18,2.8189256484623115e-16,3.469446951953614e-17,1.9374692822315964e-16,1.7669372909256964e-13,1.0998702491306356e-14,7.047314121155779e-19,9.787309851461146e-15,3.0493186101154812e-18
1081,1,5.976963878256275e-12,4.811807826103284e-16,1.0178876242317864e-14,1.2180277538529141e-12,5.721023562657232e-12,8.168018841045281e-11,5.5285315306860885e-14,1.3008234016321195e-12,4.056406903082954e-16,4.820633909413674e-17,5.902400963819776e-13,1.1817803680091998e-16,1.734723475976807e-18,2.8189256484623115e-16,3.469446951953614e-17,1.9374692822315964e-16,1.7669372909256964e-13,1.0998702491306356e-14,7.047314121155779e-19,9.787309851461146e-15,3.0493186101154812e-18
1082,0,2.2923546741382417e-13,8.056723284398729e-17,1.3841602560307753e-15,3.7535079211448164e-16,6.395256503186064e-13,1.3223336271447894e-15,6.854110310458399e-14,4.683082535043154e-15,1.6093625997831706e-18,5.447573815653417e-16,2.1357542470679114e-12,6.179952383167375e-17,2.043712421517796e-13,1.1752751549742868e-16,6.938893903907228e-18,3.7947076036992655e-19,2.47198095326695e-17,3.1170812458958252e-19,7.182839392716467e-18,3.469446951953614e-18,3.808260130855334e-18
1082,1,2.2923546741382417e-13,8.056723284398729e-17,1.3841602560307753e-15,3.7535079211448164e-16,6.395256503186064e-13,1.3223336271447894e-15,6.854110310458399e-14,4.683082535043154e-15,1.6093625997831706e-18,5.447573815653417e-16,2.1357542470679114e-12,6.179952383167375e-17,2.043712421517796e-13,1.1752751549742868e-16,6.938893903907228e-18,3.7947076036992655e-19,2.47198095326695e-17,3.1170812458958252e-19,7.182839392716467e-18,3.469446951953614e-18,3.808260130855334e-18
1083,0,2.1493658632423807e-12,1.4591751879055107e-16,2.263407560335051e-15,3.059076429667851e-16,5.900488837763326e-13,2.666415807768552e-13,8.824709084136184e-14,4.547347199311547e-16,1.0367683274392636e-18,7.433154569289058e-16,1.578821491945992e-12,5.3017486234541167e-17,3.395478342937963e-13,1.2793585635328952e-16,1.734723475976807e-18,0.0,8.673617379884035e-19,1.748276003132876e-18,1.3010426069826053e-18,3.469446951953614e-18,1.2332799712022613e-18
1083,1,2.1493658632423807e-12,1.4591751879055107e-16,2.263407560335051e-15,3.059076429667851e-16,5.900488837763326e-13,2.666415807768552e-13,8.824709084136184e-14,4.547347199311547e-16,1.0367683274392636e-18,7.433154569289058e-16,1.578821491945992e-12,5.3017486234541167e-17,3.395478342937963e-13,1.2793585635328952e-16,1.734723475976807e-18,0.0,8.673617379884035e-19,1.748276003132876e-18,1.3010426069826053e-18,3.469446951953614e-18,1.2332799712022613e-18
1084,0,6.635317295611287e-17,6.518003232416567e-17,2.6266213867549154e-14,6.348090320551156e-13,7.519003418477409e-12,9.409923948172031e-11,6.357727658137108e-16,1.1626059754396133e-11,2.7794877944381513e-16,8.226383983733765e-18,3.88724556016351e-12,3.240602231002754e-13,3.774990389726618e-11,8.102893356287666e-15,8.706577125927595e-15,2.1520437341882026e-14,8.132860704335165e-14,5.57149812396851e-15,3.876022766635678e-18,5.689893001203927e-15,1.0674783539749155e-15
1084,1,6.635317295611287e-17,6.518003232416567e-17,2.6266213867549154e-14,6.348090320551156e-13,7.519003418477409e-12,9.409923948172031e-11,6.357727658137108e-16,1.1626059754396133e-11,2.7794877944381513e-16,8.226383983733765e-18,3.88724556016351e-12,3.240602231002754e-13,3.774990389726618e-11,8.102893356287666e-15,8.706577125927595e-15,2.1520437341882026e-14,8.132860704335165e-14,5.57149812396851e-15,3.876022766635678e-18,5.689893001203927e-15,1.0674783539749155e-15
