,,0,1,2,3,4,5,6,7
6534,0,1.1518931558091585e-06,0.0005175546206475959,1.3657429123983167e-05,1.7569389772561145e-05,3.574161918711626e-05,3.908918609867358e-07,1.1947242899647708e-06,5.18130173421681e-07
6534,1,1.1518931558091585e-06,0.0005175546206475959,1.3657429123983167e-05,1.7569389772561145e-05,3.574161918711626e-05,3.908918609867358e-07,1.1947242899647708e-06,5.18130173421681e-07
6535,0,1.1518931558258118e-06,0.0005175786128552107,1.3659167042292414e-05,1.7564840682489887e-05,3.574159761586037e-05,3.908918608479579e-07,1.1947242895151304e-06,5.196358896788988e-07
6535,1,1.1518931558258118e-06,0.0005175786128552107,1.3659167042292414e-05,1.7564840682489887e-05,3.574159761586037e-05,3.908918608479579e-07,1.1947242895151304e-06,5.196358896788988e-07
6536,0,1.1518931558091585e-06,0.0005175524596952454,1.365732197804105e-05,1.756966368710219e-05,3.574162048787576e-05,3.9089186099783806e-07,1.1947242899869752e-06,5.214711075454442e-07
6536,1,1.1518931558091585e-06,0.0005175524596952454,1.365732197804105e-05,1.756966368710219e-05,3.574162048787576e-05,3.9089186099783806e-07,1.1947242899869752e-06,5.214711075454442e-07
6537,0,1.1518736951316447e-06,0.0005175546206480622,1.3657429123988718e-05,1.7569389769186067e-05,3.574143309041155e-05,3.90893009862175e-07,1.1947276018322177e-06,5.181301734327833e-07
6537,1,1.1518736951316447e-06,0.0005175546206480622,1.3657429123988718e-05,1.7569389769186067e-05,3.574143309041155e-05,3.90893009862175e-07,1.1947276018322177e-06,5.181301734327833e-07
6538,0,1.1518736951316447e-06,0.0005175786128557048,1.3659167042309066e-05,1.7564840669639055e-05,3.574141151845067e-05,3.9089300968453935e-07,1.1947276013825773e-06,5.196358896955523e-07
6538,1,1.1518736951316447e-06,0.0005175786128557048,1.3659167042309066e-05,1.7564840669639055e-05,3.574141151845067e-05,3.9089300968453935e-07,1.1947276013825773e-06,5.196358896955523e-07
6539,0,1.1518736951316447e-06,0.0005175524596986095,1.365732197814652e-05,1.7569663578361395e-05,3.5741434389711114e-05,3.908930098788284e-07,1.194727601854422e-06,5.214711076897732e-07
