,Unnamed: 1,vENO,vFBA1,vFBA2,vGAPD,vPGK,vPGMd,vPGMi,vTPI,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
3456,0,1.8161238387232584e-07,3.746346615773517e-05,8.828768772009816e-05,0.002957550387497693,0.00023106080027126015,2.130956849341931e-09,0.00018764338661440144,7.438244633180928e-07,0.3324317728848973,5.801913429575765e-07,5.0934988432289024e-05,0.0004008182387560143,1.3191772829864628e-06,1.7613279335956707e-07,1.8056576884280325e-10,9.995178346789938e-05,5.449513009114727e-06,0.005708794469175752,2.849701201466763e-07,1.161492711633336e-08,2.9203868310187083e-09
3456,1,1.8161238387232584e-07,3.746346615773517e-05,8.828768772009816e-05,0.002957550387497693,0.00023106080027126015,2.130956849341931e-09,0.00018764338661440144,7.438244633180928e-07,0.3324317728848973,5.801913429575765e-07,5.0934988432289024e-05,0.0004008182387560143,1.3191772829864628e-06,1.7613279335956707e-07,1.8056576884280325e-10,9.995178346789938e-05,5.449513009114727e-06,0.005708794469175752,2.849701201466763e-07,1.161492711633336e-08,2.9203868310187083e-09
3457,0,9.225621107984347e-07,3.579655053299058e-05,8.827879067462003e-05,0.0029574931100451044,0.00023124806768376474,5.547187846264041e-06,0.00018763977843628656,1.4751627113979412e-07,0.3324277072463431,5.779251171211695e-07,5.0933183571633705e-05,0.00040081292726949715,1.3190565347037392e-06,1.313849032973075e-08,1.800716009052388e-10,9.996472646759613e-05,5.449346701685298e-06,0.005708614233894848,3.18938545137423e-10,1.161400996295083e-08,3.491827422009897e-11
3457,1,9.225621107984347e-07,3.579655053299058e-05,8.827879067462003e-05,0.0029574931100451044,0.00023124806768376474,5.547187846264041e-06,0.00018763977843628656,1.4751627113979412e-07,0.3324277072463431,5.779251171211695e-07,5.0933183571633705e-05,0.00040081292726949715,1.3190565347037392e-06,1.313849032973075e-08,1.800716009052388e-10,9.996472646759613e-05,5.449346701685298e-06,0.005708614233894848,3.18938545137423e-10,1.161400996295083e-08,3.491827422009897e-11
3458,0,2.0522000008933128e-07,3.5782144660408934e-05,8.826333300873504e-05,0.0029575545138611392,0.0002310836636641241,2.999679085114351e-06,0.00018764317599067543,2.423741279550086e-07,0.3324320622241698,5.80501481616848e-07,5.09349695356308e-05,0.0004008185212959748,1.319180957069538e-06,1.245040957019484e-08,1.8003005884305092e-10,9.995177045987376e-05,5.449524934998483e-06,0.005708807432602273,1.6750933434676256e-08,1.16149925858135e-08,1.427415427001285e-09
3458,1,2.0522000008933128e-07,3.5782144660408934e-05,8.826333300873504e-05,0.0029575545138611392,0.0002310836636641241,2.999679085114351e-06,0.00018764317599067543,2.423741279550086e-07,0.3324320622241698,5.80501481616848e-07,5.09349695356308e-05,0.0004008185212959748,1.319180957069538e-06,1.245040957019484e-08,1.8003005884305092e-10,9.995177045987376e-05,5.449524934998483e-06,0.005708807432602273,1.6750933434676256e-08,1.16149925858135e-08,1.427415427001285e-09
3459,0,1.669489175021741e-08,3.409496698654417e-05,8.823990859566361e-05,0.002957538075975695,0.0002310629306978511,5.4248918434358004e-08,0.00018790655991299075,1.8648550300865365e-07,0.3324306485157454,5.873469524001423e-07,5.0934825176786836e-05,0.00040081655395409014,1.3191706341138253e-06,2.427488555800951e-09,1.7950085405633352e-10,9.995232484345034e-05,5.449489495278153e-06,0.005708769312027627,5.571675190682005e-10,1.161486556631212e-08,9.033110832431627e-12
3459,1,1.669489175021741e-08,3.409496698654417e-05,8.823990859566361e-05,0.002957538075975695,0.0002310629306978511,5.4248918434358004e-08,0.00018790655991299075,1.8648550300865365e-07,0.3324306485157454,5.873469524001423e-07,5.0934825176786836e-05,0.00040081655395409014,1.3191706341138253e-06,2.427488555800951e-09,1.7950085405633352e-10,9.995232484345034e-05,5.449489495278153e-06,0.005708769312027627,5.571675190682005e-10,1.161486556631212e-08,9.033110832431627e-12
3460,0,9.346810402970936e-07,3.579637784685619e-05,8.827835673763543e-05,0.002957480818988285,0.00023124856649857207,5.5661355674695535e-06,0.00018790299065834989,1.4751691867494754e-07,0.33242658274903997,5.842626501113494e-07,5.093302537935566e-05,0.0004008112512982532,1.3190493400146808e-06,1.3138444268854141e-08,1.8007068789288302e-10,9.996423499435052e-05,5.449323328327311e-06,0.005708589120225532,3.3354566514034285e-10,1.1613953203379358e-08,3.7369336218300893e-11
3460,1,9.346810402970936e-07,3.579637784685619e-05,8.827835673763543e-05,0.002957480818988285,0.00023124856649857207,5.5661355674695535e-06,0.00018790299065834989,1.4751691867494754e-07,0.33242658274903997,5.842626501113494e-07,5.093302537935566e-05,0.0004008112512982532,1.3190493400146808e-06,1.3138444268854141e-08,1.8007068789288302e-10,9.996423499435052e-05,5.449323328327311e-06,0.005708589120225532,3.3354566514034285e-10,1.1613953203379358e-08,3.7369336218300893e-11
3461,0,7.2443677428002265e-09,3.409830125370292e-05,8.823923305883889e-05,0.0029575422817581824,0.00023107818220911378,5.177580940599252e-08,0.00018790648560749603,1.9422876822710676e-07,0.33243093790190437,5.873716857622021e-07,5.093483157245321e-05,0.0004008169167562677,1.319173874786238e-06,2.416000122820056e-09,1.7950393547303427e-10,9.995179740569838e-05,5.449501675077805e-06,0.005708782455964732,5.530544743864114e-10,1.1614938439214626e-08,1.4514609451768021e-11
3461,1,7.2443677428002265e-09,3.409830125370292e-05,8.823923305883889e-05,0.0029575422817581824,0.00023107818220911378,5.177580940599252e-08,0.00018790648560749603,1.9422876822710676e-07,0.33243093790190437,5.873716857622021e-07,5.093483157245321e-05,0.0004008169167562677,1.319173874786238e-06,2.416000122820056e-09,1.7950393547303427e-10,9.995179740569838e-05,5.449501675077805e-06,0.005708782455964732,5.530544743864114e-10,1.1614938439214626e-08,1.4514609451768021e-11
3462,0,1.0510402215909719e-05,3.745137969242259e-05,8.826221538032816e-05,0.002956830150616219,0.0002310249867838651,7.660146474669996e-07,0.00020306903836906157,7.43431577738025e-07,0.3323658962588915,1.2624106294790322e-06,5.092749236280532e-05,0.0004007188894564642,1.318838710358585e-06,1.7599461370598175e-07,1.8051338475889051e-10,9.992296014617984e-05,5.448142939989856e-06,0.005707322430208388,1.069204062074132e-08,1.1611525461503857e-08,2.1263153779537027e-08
3462,1,1.0510402215909719e-05,3.745137969242259e-05,8.826221538032816e-05,0.002956830150616219,0.0002310249867838651,7.660146474669996e-07,0.00020306903836906157,7.43431577738025e-07,0.3323658962588915,1.2624106294790322e-06,5.092749236280532e-05,0.0004007188894564642,1.318838710358585e-06,1.7599461370598175e-07,1.8051338475889051e-10,9.992296014617984e-05,5.448142939989856e-06,0.005707322430208388,1.069204062074132e-08,1.1611525461503857e-08,2.1263153779537027e-08
3463,0,1.7022018831362035e-08,3.6030358493901284e-05,8.825676399773396e-05,0.002956772857489763,0.00023105721672521244,4.986378311537461e-09,0.00020306340884144618,2.411672793167261e-07,0.33236183032706373,1.3504681470685895e-06,5.0926433154731436e-05,0.0004007112496029996,1.3188203460678809e-06,3.67172256877998e-08,1.800945403406777e-10,9.993581851269494e-05,5.447976603648368e-06,0.005707142186564797,1.2692812284218135e-09,1.1610608162956183e-08,5.286955923992167e-07
3463,1,1.7022018831362035e-08,3.6030358493901284e-05,8.825676399773396e-05,0.002956772857489763,0.00023105721672521244,4.986378311537461e-09,0.00020306340884144618,2.411672793167261e-07,0.33236183032706373,1.3504681470685895e-06,5.0926433154731436e-05,0.0004007112496029996,1.3188203460678809e-06,3.67172256877998e-08,1.800945403406777e-10,9.993581851269494e-05,5.447976603648368e-06,0.005707142186564797,1.2692812284218135e-09,1.1610608162956183e-08,5.286955923992167e-07
3464,0,4.0329747684372995e-08,3.708643976782159e-05,8.825636088040572e-05,0.0029568342947850984,0.00023107493749916107,8.115558205385741e-06,0.0002030671088163717,6.314746372996432e-07,0.3323661844718209,1.348205075221182e-06,5.092734236470201e-05,0.0004007189325707892,1.318843496430032e-06,1.4179645324987311e-07,1.80394579026095e-10,9.99225426433276e-05,5.448154899377584e-06,0.005707335441184989,1.2877721786254917e-09,1.1611591801974863e-08,3.1503483678327363e-09
3464,1,4.0329747684372995e-08,3.708643976782159e-05,8.825636088040572e-05,0.0029568342947850984,0.00023107493749916107,8.115558205385741e-06,0.0002030671088163717,6.314746372996432e-07,0.3323661844718209,1.348205075221182e-06,5.092734236470201e-05,0.0004007189325707892,1.318843496430032e-06,1.4179645324987311e-07,1.80394579026095e-10,9.99225426433276e-05,5.448154899377584e-06,0.005707335441184989,1.2877721786254917e-09,1.1611591801974863e-08,3.1503483678327363e-09
3465,0,1.7640873423105257e-08,3.7459713713048664e-05,8.82827636966992e-05,0.00295741156394883,0.0002315256303291634,1.413929254880109e-07,0.00018763722333333785,7.432996941913039e-07,0.33241906287823286,6.088682942181995e-07,5.0930896508260426e-05,0.00040080394814504303,1.3188644867642288e-06,1.7596578994320613e-07,1.8055469856798943e-10,9.994623528452294e-05,5.449248927227923e-06,0.005708510815821672,5.730027631896003e-10,1.1614271405375955e-08,3.2679736773198485e-13
