,Unnamed: 1,vENO,vFBA1,vFBA2,vGAPD,vPGK,vPGMd,vPGMi,vTPI,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
864,0,5.794047006108539e-09,7.671237201524695e-09,1.5281248022750037e-08,5.147235743887648e-07,2.8940110842794564e-09,1.1106447756642596e-09,5.378231420647002e-13,1.0927700456979934e-08,1.58796398076902e-09,1.3652696275901747e-09,5.426682507038913e-10,3.0338125655315103e-13,4.323298382496715e-15,1.182701585541377e-11,2.299535744569519e-12,2.31959093691698e-09,2.0072536361806343e-08,6.830174428702577e-09,7.807434122517899e-15,1.1416338585776136e-10,5.868947224401329e-14
864,1,5.794047006108539e-09,7.671237201524695e-09,1.5281248022750037e-08,5.147235743887648e-07,2.8940110842794564e-09,1.1106447756642596e-09,5.378231420647002e-13,1.0927700456979934e-08,1.58796398076902e-09,1.3652696275901747e-09,5.426682507038913e-10,3.0338125655315103e-13,4.323298382496715e-15,1.182701585541377e-11,2.299535744569519e-12,2.31959093691698e-09,2.0072536361806343e-08,6.830174428702577e-09,7.807434122517899e-15,1.1416338585776136e-10,5.868947224401329e-14
865,0,5.754485884457607e-07,0.00028535248165747833,0.00013682133918405413,0.03332853407356669,0.00010756816573987348,3.2156840112705217e-06,2.89628345341415e-05,0.00021539951836349505,0.07916595001507515,3.4793569717006625e-07,7.880220060962705e-06,6.416311356472809e-05,2.0926269723918318e-07,5.954941346250548e-06,6.170575746273543e-10,0.00013134639790808274,1.572457069918744e-06,6.7111388173254145e-06,3.11861739538695e-09,9.553294348065574e-09,4.072068491190054e-11
865,1,5.754485884457607e-07,0.00028535248165747833,0.00013682133918405413,0.03332853407356669,0.00010756816573987348,3.2156840112705217e-06,2.89628345341415e-05,0.00021539951836349505,0.07916595001507515,3.4793569717006625e-07,7.880220060962705e-06,6.416311356472809e-05,2.0926269723918318e-07,5.954941346250548e-06,6.170575746273543e-10,0.00013134639790808274,1.572457069918744e-06,6.7111388173254145e-06,3.11861739538695e-09,9.553294348065574e-09,4.072068491190054e-11
866,0,1.147082406865849e-07,4.0407637319836293e-14,1.3121539969104618e-07,5.459938278997068e-09,1.4097243880052679e-09,4.9092967958148775e-08,3.6208519523032314e-13,1.9087189396375194e-08,1.1365642092248611e-12,2.6950485348300206e-07,2.48843407324811e-10,7.228014483236695e-15,7.205497304161192e-16,1.1930433719736823e-08,5.566465143357288e-11,1.0235466619793738e-09,1.8457797926251264e-12,3.872683268317317e-12,1.3552527156068805e-14,1.9016633920749936e-14,8.958727239476123e-14
866,1,1.147082406865849e-07,4.0407637319836293e-14,1.3121539969104618e-07,5.459938278997068e-09,1.4097243880052679e-09,4.9092967958148775e-08,3.6208519523032314e-13,1.9087189396375194e-08,1.1365642092248611e-12,2.6950485348300206e-07,2.48843407324811e-10,7.228014483236695e-15,7.205497304161192e-16,1.1930433719736823e-08,5.566465143357288e-11,1.0235466619793738e-09,1.8457797926251264e-12,3.872683268317317e-12,1.3552527156068805e-14,1.9016633920749936e-14,8.958727239476123e-14
867,0,6.152350690337364e-09,7.602993700974458e-09,1.5134807412514307e-08,5.120800929806014e-07,3.038900043261857e-09,1.148812568579215e-09,2.1885962414914144e-13,1.0946648383019144e-08,1.5777800779765165e-09,1.2522595620923632e-09,5.299053606625366e-10,4.2410863359748286e-13,9.18700906280552e-15,1.1776844931353656e-11,2.2748844109635324e-12,2.306147230052762e-09,1.9823680585134516e-08,6.7911596858731215e-09,1.2815976767152022e-14,1.1298624170155249e-10,5.819903097177919e-14
867,1,6.152350690337364e-09,7.602993700974458e-09,1.5134807412514307e-08,5.120800929806014e-07,3.038900043261857e-09,1.148812568579215e-09,2.1885962414914144e-13,1.0946648383019144e-08,1.5777800779765165e-09,1.2522595620923632e-09,5.299053606625366e-10,4.2410863359748286e-13,9.18700906280552e-15,1.1776844931353656e-11,2.2748844109635324e-12,2.306147230052762e-09,1.9823680585134516e-08,6.7911596858731215e-09,1.2815976767152022e-14,1.1298624170155249e-10,5.819903097177919e-14
868,0,7.897427188218277e-14,1.8077904820170058e-12,5.906246384042031e-09,2.5794309327759183e-09,1.0980206125448545e-08,3.814823958870697e-06,3.248328573278461e-12,7.466330926063263e-09,2.0668959165720533e-10,2.403432920488019e-12,1.8304712003002023e-15,1.1721104567410858e-15,3.602748652080596e-16,2.5438217481993554e-11,2.0651198222237055e-12,2.7392487910226987e-10,5.815781203571848e-10,2.0588169244267206e-14,4.364717468038542e-09,3.525916193138131e-12,3.2696084815606285e-15
868,1,7.897427188218277e-14,1.8077904820170058e-12,5.906246384042031e-09,2.5794309327759183e-09,1.0980206125448545e-08,3.814823958870697e-06,3.248328573278461e-12,7.466330926063263e-09,2.0668959165720533e-10,2.403432920488019e-12,1.8304712003002023e-15,1.1721104567410858e-15,3.602748652080596e-16,2.5438217481993554e-11,2.0651198222237055e-12,2.7392487910226987e-10,5.815781203571848e-10,2.0588169244267206e-14,4.364717468038542e-09,3.525916193138131e-12,3.2696084815606285e-15
