,,0,1,2,3,4,5,6,7
4536,0,1.1452035906781286e-06,3.5068332596039364e-11,1.5927909627665734e-05,1.2025871887491857e-05,0.002155446175152175,1.0000005551115122e-12,1.0000177635683921e-12,3.2631868218391296e-06
4536,1,1.1452035906781286e-06,3.5068332596039364e-11,1.5927909627665734e-05,1.2025871887491857e-05,0.002155446175152175,1.0000005551115122e-12,1.0000177635683921e-12,3.2631868218391296e-06
4537,0,1.145204299237451e-06,3.673088213835357e-11,1.5980678939402375e-05,1.2059096747080986e-05,0.0021538043798511983,1.0000005551115122e-12,1.0000005551115122e-12,3.306344598464479e-06
4537,1,1.145204299237451e-06,3.673088213835357e-11,1.5980678939402375e-05,1.2059096747080986e-05,0.0021538043798511983,1.0000005551115122e-12,1.0000005551115122e-12,3.306344598464479e-06
4538,0,1.1452031896750091e-06,2.8736404836777556e-11,1.5926707672475476e-05,1.2005761614390421e-05,0.0021564929917522236,1.0000005551115122e-12,1.0000005551115122e-12,3.2713834437611725e-06
4538,1,1.1452031896750091e-06,2.8736404836777556e-11,1.5926707672475476e-05,1.2005761614390421e-05,0.0021564929917522236,1.0000005551115122e-12,1.0000005551115122e-12,3.2713834437611725e-06
4539,0,1.1452042916918202e-06,2.9289200978917e-11,1.592802494021745e-05,1.2016607332303658e-05,0.0021559175637643124,1.0000005551115122e-12,1.0000005551115122e-12,3.262587683493587e-06
4539,1,1.1452042916918202e-06,2.9289200978917e-11,1.592802494021745e-05,1.2016607332303658e-05,0.0021559175637643124,1.0000005551115122e-12,1.0000005551115122e-12,3.262587683493587e-06
4540,0,1.145203412994705e-06,2.066841800341393e-11,1.5981537241093675e-05,1.193348972257652e-05,0.002160211572086977,1.0000005551115122e-12,1.0000005551115122e-12,3.304334331159839e-06
4540,1,1.145203412994705e-06,2.066841800341393e-11,1.5981537241093675e-05,1.193348972257652e-05,0.002160211572086977,1.0000005551115122e-12,1.0000005551115122e-12,3.304334331159839e-06
4541,0,1.1452037814405345e-06,3.544344809022405e-11,1.592684266921869e-05,1.1994221466275026e-05,0.0021570818412703758,1.0000005551115122e-12,1.0000005551115122e-12,3.270744091893122e-06
4541,1,1.1452037814405345e-06,3.544344809022405e-11,1.592684266921869e-05,1.1994221466275026e-05,0.0021570818412703758,1.0000005551115122e-12,1.0000005551115122e-12,3.270744091893122e-06
4542,0,1.0000005551115122e-12,5.868412691376431e-11,1.5708185864180054e-05,1.9108854697204305e-05,0.0019276868828848313,0.0011008260370487096,3.267423705646632e-05,5.645074151052157e-06
4542,1,1.0000005551115122e-12,5.868412691376431e-11,1.5708185864180054e-05,1.9108854697204305e-05,0.0019276868828848313,0.0011008260370487096,3.267423705646632e-05,5.645074151052157e-06
4543,0,1.0000005551115122e-12,7.777338264354112e-11,1.580885409425413e-05,1.9268597775452384e-05,0.0019247983600201362,0.001056721367411677,3.2562472009117173e-05,5.616448184475643e-06
4543,1,1.0000005551115122e-12,7.777338264354112e-11,1.580885409425413e-05,1.9268597775452384e-05,0.0019247983600201362,0.001056721367411677,3.2562472009117173e-05,5.616448184475643e-06
4544,0,1.0000005551115122e-12,4.6716836978162636e-11,1.5703821002274132e-05,1.9088103060566765e-05,0.0019280926271219676,0.0011079222844905348,3.268878232771564e-05,5.670303725777359e-06
4544,1,1.0000005551115122e-12,4.6716836978162636e-11,1.5703821002274132e-05,1.9088103060566765e-05,0.0019280926271219676,0.0011079222844905348,3.268878232771564e-05,5.670303725777359e-06
4545,0,1.145204575927788e-06,4.3352429337128274e-11,1.5928753744695813e-05,1.204838620158655e-05,0.002154321340307527,1.0000005551115122e-12,1.0000005551115122e-12,3.2544925248654118e-06
4545,1,1.145204575927788e-06,4.3352429337128274e-11,1.5928753744695813e-05,1.204838620158655e-05,0.002154321340307527,1.0000005551115122e-12,1.0000005551115122e-12,3.2544925248654118e-06
4546,0,1.1452040814083628e-06,4.6298079727107327e-11,1.598145000213596e-05,1.2071032048853917e-05,0.0021532168653165032,1.0000005551115122e-12,1.0000005551115122e-12,3.2971231050903903e-06
4546,1,1.1452040814083628e-06,4.6298079727107327e-11,1.598145000213596e-05,1.2071032048853917e-05,0.0021532168653165032,1.0000005551115122e-12,1.0000005551115122e-12,3.2971231050903903e-06
