,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
6534,0,1.0761926289362678e-15,6.597574354514583e-15,6.049188792022972e-14,7.182057422741583e-11,1.048181651067473e-10,1.1477215933284463e-12,9.179049732213791e-14,4.525783095727168e-14,1.5879950078425548e-14,1.1696969347968489e-14,4.352204360791312e-15,9.64939933512099e-18,3.469446951953614e-18,4.2071381101127514e-15,7.880848751362635e-15,8.191147413127986e-17,1.047925374947356e-11,1.0004846614803525e-12,4.391018798566293e-18,1.639660629493278e-14,2.4138392565146993e-14
6534,1,1.0761926289362678e-15,6.597574354514583e-15,6.049188792022972e-14,7.182057422741583e-11,1.048181651067473e-10,1.1477215933284463e-12,9.179049732213791e-14,4.525783095727168e-14,1.5879950078425548e-14,1.1696969347968489e-14,4.352204360791312e-15,9.64939933512099e-18,3.469446951953614e-18,4.2071381101127514e-15,7.880848751362635e-15,8.191147413127986e-17,1.047925374947356e-11,1.0004846614803525e-12,4.391018798566293e-18,1.639660629493278e-14,2.4138392565146993e-14
6535,0,1.3640618582583253e-16,7.742186916798264e-15,6.373254788499816e-14,7.752309438922161e-11,2.6695767992024333e-16,1.1709916077160681e-13,5.15077347093551e-16,1.992325622784518e-12,1.6928051706699074e-14,1.6193630095716338e-14,9.486769009248164e-16,4.762900143728821e-16,3.984659824318726e-15,4.427447991561806e-15,1.6230072841239007e-14,4.726935531364218e-13,1.1290157610893692e-11,1.0801630315020183e-12,1.1384122811097797e-18,1.77115266897232e-14,4.0176087283405604e-14
6535,1,1.3640618582583253e-16,7.742186916798264e-15,6.373254788499816e-14,7.752309438922161e-11,2.6695767992024333e-16,1.1709916077160681e-13,5.15077347093551e-16,1.992325622784518e-12,1.6928051706699074e-14,1.6193630095716338e-14,9.486769009248164e-16,4.762900143728821e-16,3.984659824318726e-15,4.427447991561806e-15,1.6230072841239007e-14,4.726935531364218e-13,1.1290157610893692e-11,1.0801630315020183e-12,1.1384122811097797e-18,1.77115266897232e-14,4.0176087283405604e-14
6536,0,9.99620850504479e-16,6.58247429816388e-15,6.018364246632851e-14,7.275232928030326e-11,1.0546158357141368e-10,1.1519903276744833e-12,9.559307555598306e-14,4.0049418588341407e-14,1.6101760902257137e-14,1.1725090841817332e-14,4.530447197947929e-15,7.37257477290143e-18,6.938893903907228e-18,4.272190240461882e-15,7.901665433074356e-15,7.377995783763858e-17,1.0616417467357309e-11,1.0134660715895374e-12,1.1655173354219173e-18,1.6615181452905858e-14,2.4264214227263936e-14
6536,1,9.99620850504479e-16,6.58247429816388e-15,6.018364246632851e-14,7.275232928030326e-11,1.0546158357141368e-10,1.1519903276744833e-12,9.559307555598306e-14,4.0049418588341407e-14,1.6101760902257137e-14,1.1725090841817332e-14,4.530447197947929e-15,7.37257477290143e-18,6.938893903907228e-18,4.272190240461882e-15,7.901665433074356e-15,7.377995783763858e-17,1.0616417467357309e-11,1.0134660715895374e-12,1.1655173354219173e-18,1.6615181452905858e-14,2.4264214227263936e-14
6537,0,1.3040241629569405e-15,6.588948170979745e-15,6.048860143239437e-14,7.181915023628249e-11,5.069310024378472e-11,9.392783588673542e-14,2.121719277050141e-14,4.48098589483914e-14,1.5897737770317888e-14,5.165721908388654e-15,1.012427988666964e-15,1.22514845490862e-17,5.204170427930421e-18,4.211041237933699e-15,7.85656262269896e-15,8.651933336434325e-17,1.0479261555729202e-11,1.0004715155290111e-12,1.5720931501039814e-18,1.6403545188836688e-14,1.04535791915078e-14
6537,1,1.3040241629569405e-15,6.588948170979745e-15,6.048860143239437e-14,7.181915023628249e-11,5.069310024378472e-11,9.392783588673542e-14,2.121719277050141e-14,4.48098589483914e-14,1.5897737770317888e-14,5.165721908388654e-15,1.012427988666964e-15,1.22514845490862e-17,5.204170427930421e-18,4.211041237933699e-15,7.85656262269896e-15,8.651933336434325e-17,1.0479261555729202e-11,1.0004715155290111e-12,1.5720931501039814e-18,1.6403545188836688e-14,1.04535791915078e-14
6538,0,5.035848040652047e-16,2.987707974631045e-15,3.7242764753218915e-14,3.13108973292028e-11,5.157157598916547e-11,9.368176265116268e-14,2.129243978940369e-14,2.793189399392937e-14,6.8808009962527394e-15,5.2461697095870785e-15,1.0115606269289756e-15,1.1926223897340549e-18,6.938893903907228e-18,2.2985086056692694e-17,2.7755575615628914e-17,2.190088388420719e-17,4.5664535520961724e-12,4.361977494699368e-13,1.5720931501039814e-18,7.143591274072492e-15,1.0611452580348846e-14
6538,1,5.035848040652047e-16,2.987707974631045e-15,3.7242764753218915e-14,3.13108973292028e-11,5.157157598916547e-11,9.368176265116268e-14,2.129243978940369e-14,2.793189399392937e-14,6.8808009962527394e-15,5.2461697095870785e-15,1.0115606269289756e-15,1.1926223897340549e-18,6.938893903907228e-18,2.2985086056692694e-17,2.7755575615628914e-17,2.190088388420719e-17,4.5664535520961724e-12,4.361977494699368e-13,1.5720931501039814e-18,7.143591274072492e-15,1.0611452580348846e-14
