,Unnamed: 1,vENO,vFBA1,vFBA2,vGAPD,vPGK,vPGMd,vPGMi,vTPI,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
270,0,2.175987230324414e-09,8.327722450111828e-12,6.909332608334564e-11,2.545841112496202e-07,3.170168466042824e-09,1.837426489628188e-06,2.164371949484126e-06,3.8630904398748866e-10,5.529178099169159e-09,4.479845575165319e-09,2.8108120913440328e-06,8.503577167055435e-09,4.063766187090906e-07,4.180910338342795e-14,2.6249105228596423e-15,5.791079869641208e-13,3.398612410017895e-11,1.2556200282954154e-07,2.727978468779956e-09,0.0,2.8343255044104624e-09
270,1,2.175987230324414e-09,8.327722450111828e-12,6.909332608334564e-11,2.545841112496202e-07,3.170168466042824e-09,1.837426489628188e-06,2.164371949484126e-06,3.8630904398748866e-10,5.529178099169159e-09,4.479845575165319e-09,2.8108120913440328e-06,8.503577167055435e-09,4.063766187090906e-07,4.180910338342795e-14,2.6249105228596423e-15,5.791079869641208e-13,3.398612410017895e-11,1.2556200282954154e-07,2.727978468779956e-09,0.0,2.8343255044104624e-09
271,0,8.776892688209765e-09,0.0011172371260355454,3.5855594914143297e-06,2.463050761907043e-08,0.00016300879292638134,1.1223100157515104e-10,2.288446880962491e-10,3.037673153234121e-08,7.88817928044674e-07,2.737932616400131e-09,1.902342759131963e-06,7.488385146579733e-10,9.002442465049852e-08,1.447023839259279e-09,1.0377903306450119e-10,3.083041282222783e-06,4.667970802924571e-11,4.5095446133158725e-08,1.4617579018442473e-12,9.956441761240273e-12,3.23946269136064e-11
271,1,8.776892688209765e-09,0.0011172371260355454,3.5855594914143297e-06,2.463050761907043e-08,0.00016300879292638134,1.1223100157515104e-10,2.288446880962491e-10,3.037673153234121e-08,7.88817928044674e-07,2.737932616400131e-09,1.902342759131963e-06,7.488385146579733e-10,9.002442465049852e-08,1.447023839259279e-09,1.0377903306450119e-10,3.083041282222783e-06,4.667970802924571e-11,4.5095446133158725e-08,1.4617579018442473e-12,9.956441761240273e-12,3.23946269136064e-11
272,0,7.580286964334957e-10,2.139341394829972e-11,2.6511877826676115e-06,2.4000293545474577e-13,1.1022973835394951e-08,3.691946569305184e-06,3.297654585033677e-06,1.0673044510129951e-05,6.70540562718814e-09,6.130782249756401e-09,5.038822748692815e-06,1.6234706584577988e-11,2.5904248621101474e-07,4.4969588147666737e-13,2.282530889443167e-16,3.291813828491044e-12,1.7007092901733405e-15,4.9004996328129766e-09,3.330680858681692e-13,5.95177092176143e-14,1.0031943527463584e-10
272,1,7.580286964334957e-10,2.139341394829972e-11,2.6511877826676115e-06,2.4000293545474577e-13,1.1022973835394951e-08,3.691946569305184e-06,3.297654585033677e-06,1.0673044510129951e-05,6.70540562718814e-09,6.130782249756401e-09,5.038822748692815e-06,1.6234706584577988e-11,2.5904248621101474e-07,4.4969588147666737e-13,2.282530889443167e-16,3.291813828491044e-12,1.7007092901733405e-15,4.9004996328129766e-09,3.330680858681692e-13,5.95177092176143e-14,1.0031943527463584e-10
273,0,3.4174183443437345e-07,0.011074398349013272,3.552243644647474e-05,1.017836689547207e-05,6.597184389786026e-08,4.748549858180192e-06,8.987929916889217e-09,3.369253096556831e-05,2.027363192291034e-05,2.5462692046884483e-08,8.252533786796453e-06,5.252692526548941e-06,1.5441712553982032e-07,1.484844864392715e-08,1.0215460148110227e-09,3.0486577111568558e-05,2.745215207116909e-10,2.7785187206596336e-07,1.943443147815945e-09,7.089575323828895e-12,1.3982823980284594e-10
273,1,3.4174183443437345e-07,0.011074398349013272,3.552243644647474e-05,1.017836689547207e-05,6.597184389786026e-08,4.748549858180192e-06,8.987929916889217e-09,3.369253096556831e-05,2.027363192291034e-05,2.5462692046884483e-08,8.252533786796453e-06,5.252692526548941e-06,1.5441712553982032e-07,1.484844864392715e-08,1.0215460148110227e-09,3.0486577111568558e-05,2.745215207116909e-10,2.7785187206596336e-07,1.943443147815945e-09,7.089575323828895e-12,1.3982823980284594e-10
274,0,1.800957472937301e-08,4.195198111515678e-09,4.4257189458294455e-09,2.089072167725691e-06,2.2433374996648365e-11,6.226695432465511e-07,2.407246174506369e-07,1.1832595114963595e-08,2.634529142611557e-13,1.4910732491971126e-14,5.856099786191185e-13,8.10709732579251e-14,4.004455126787582e-13,6.1326159745908835e-12,5.135694501247126e-15,1.2626354451528603e-12,5.102127870520021e-16,1.6838578911295279e-09,1.0164395367051604e-14,0.0,4.4384935137185537e-13
274,1,1.800957472937301e-08,4.195198111515678e-09,4.4257189458294455e-09,2.089072167725691e-06,2.2433374996648365e-11,6.226695432465511e-07,2.407246174506369e-07,1.1832595114963595e-08,2.634529142611557e-13,1.4910732491971126e-14,5.856099786191185e-13,8.10709732579251e-14,4.004455126787582e-13,6.1326159745908835e-12,5.135694501247126e-15,1.2626354451528603e-12,5.102127870520021e-16,1.6838578911295279e-09,1.0164395367051604e-14,0.0,4.4384935137185537e-13
