,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2214,0,2.784853054269617e-11,2.1626256405652853e-13,6.45192151657939e-13,1.8023443523230986e-13,0.00011000000004896619,3.3477884499961627e-12,6.620591763348543e-13,8.163287686341163e-13,2.3986621913165643e-12,1.7600182650266e-11,1.0584489014420218e-12,2.8415312637586343e-14,2.7652330078509202e-11,1.6046192152785466e-16,1.9081958235744878e-17,2.5746548990013274e-14,1.5468568266563398e-12,6.906055317456444e-13,4.0657581468206416e-19,2.3592239273284576e-16,2.4320559224833525e-11
2214,1,2.784853054269617e-11,2.1626256405652853e-13,6.45192151657939e-13,1.8023443523230986e-13,0.00011000000004896619,3.3477884499961627e-12,6.620591763348543e-13,8.163287686341163e-13,2.3986621913165643e-12,1.7600182650266e-11,1.0584489014420218e-12,2.8415312637586343e-14,2.7652330078509202e-11,1.6046192152785466e-16,1.9081958235744878e-17,2.5746548990013274e-14,1.5468568266563398e-12,6.906055317456444e-13,4.0657581468206416e-19,2.3592239273284576e-16,2.4320559224833525e-11
2215,0,2.405508676229856e-10,5.6731945521771416e-12,5.489999660815063e-05,2.13199548076623e-14,4.212744190084739e-10,1.2148768454992367e-12,6.556455268839131e-12,1.899262675299565e-13,1.560318036884431e-14,4.5693971609944706e-15,1.0191500421363742e-17,1.6299290042653958e-11,1.3877787807814457e-17,5.871292601405953e-12,4.494668526255907e-15,3.2256418673257126e-12,1.1765761975812694e-15,7.287058326546636e-16,8.082727195879436e-17,9.102787967840698e-14,4.57643092258847e-15
2215,1,2.405508676229856e-10,5.6731945521771416e-12,5.489999660815063e-05,2.13199548076623e-14,4.212744190084739e-10,1.2148768454992367e-12,6.556455268839131e-12,1.899262675299565e-13,1.560318036884431e-14,4.5693971609944706e-15,1.0191500421363742e-17,1.6299290042653958e-11,1.3877787807814457e-17,5.871292601405953e-12,4.494668526255907e-15,3.2256418673257126e-12,1.1765761975812694e-15,7.287058326546636e-16,8.082727195879436e-17,9.102787967840698e-14,4.57643092258847e-15
2216,0,2.5102085666160734e-14,2.126709614010537e-13,3.2949649410828064e-15,9.371344706238802e-10,0.00011000000004896656,2.2554115693129706e-15,4.88256896190504e-12,8.872371474934627e-11,2.2651332429201622e-11,4.780979214955017e-14,2.6710703961152493e-12,2.841542105780359e-14,1.2854647901683336e-13,3.2791304394041987e-13,1.8536710361116704e-11,1.8941835946972851e-13,4.696513013560666e-11,5.435304807686718e-11,4.30970363562988e-18,1.713039432527097e-13,4.472333961502706e-19
2216,1,2.5102085666160734e-14,2.126709614010537e-13,3.2949649410828064e-15,9.371344706238802e-10,0.00011000000004896656,2.2554115693129706e-15,4.88256896190504e-12,8.872371474934627e-11,2.2651332429201622e-11,4.780979214955017e-14,2.6710703961152493e-12,2.841542105780359e-14,1.2854647901683336e-13,3.2791304394041987e-13,1.8536710361116704e-11,1.8941835946972851e-13,4.696513013560666e-11,5.435304807686718e-11,4.30970363562988e-18,1.713039432527097e-13,4.472333961502706e-19
2217,0,3.0736907973265976e-13,2.0816893893474972e-13,6.952950263200983e-11,1.446203779561367e-12,0.00011000000004896583,3.959847857601395e-14,3.8673824545912804e-13,1.7242137147839738e-12,2.4118231859630943e-12,4.047768522273676e-14,1.2696193428182734e-09,3.788549335359548e-14,1.734723475976807e-16,2.0209528495129803e-16,4.553649124439119e-15,2.5621377849199822e-14,1.6069706329502331e-12,8.029101201175587e-13,6.273925606467556e-14,2.498001805406602e-16,9.211832956591143e-14
2217,1,3.0736907973265976e-13,2.0816893893474972e-13,6.952950263200983e-11,1.446203779561367e-12,0.00011000000004896583,3.959847857601395e-14,3.8673824545912804e-13,1.7242137147839738e-12,2.4118231859630943e-12,4.047768522273676e-14,1.2696193428182734e-09,3.788549335359548e-14,1.734723475976807e-16,2.0209528495129803e-16,4.553649124439119e-15,2.5621377849199822e-14,1.6069706329502331e-12,8.029101201175587e-13,6.273925606467556e-14,2.498001805406602e-16,9.211832956591143e-14
2218,0,8.595961399279761e-16,8.306093448334924e-12,5.4899996608150576e-05,2.1619319290518135e-13,3.652126886501128e-14,5.865807514195132e-14,7.40262385217445e-11,8.499917891931219e-13,1.7965236774348387e-14,2.774694997419516e-12,4.45557219591608e-14,1.422310619975109e-14,2.685247857403539e-13,3.244079093897567e-11,3.452099717193846e-15,2.030554576478577e-11,1.2223581521975113e-12,5.8476037597191e-15,5.416945104280702e-16,8.431796927332869e-13,4.704315238680985e-12
2218,1,8.595961399279761e-16,8.306093448334924e-12,5.4899996608150576e-05,2.1619319290518135e-13,3.652126886501128e-14,5.865807514195132e-14,7.40262385217445e-11,8.499917891931219e-13,1.7965236774348387e-14,2.774694997419516e-12,4.45557219591608e-14,1.422310619975109e-14,2.685247857403539e-13,3.244079093897567e-11,3.452099717193846e-15,2.030554576478577e-11,1.2223581521975113e-12,5.8476037597191e-15,5.416945104280702e-16,8.431796927332869e-13,4.704315238680985e-12
2219,0,3.228817411463254e-11,6.661173908062467e-14,1.0679581134362404e-14,9.400832434551532e-15,0.00011000000004896604,2.6845889335332107e-14,3.281270112391599e-15,6.583000475030715e-14,1.395064544841649e-12,1.589342129041868e-13,1.292017708098836e-13,2.841542105780359e-14,2.503708837475749e-10,1.0943108398608903e-12,2.1052881833683035e-10,7.077975358593669e-13,2.832803436270126e-15,8.856302735442412e-14,1.2094275234075802e-16,1.491862189340054e-16,2.9544509200229996e-18
2219,1,3.228817411463254e-11,6.661173908062467e-14,1.0679581134362404e-14,9.400832434551532e-15,0.00011000000004896604,2.6845889335332107e-14,3.281270112391599e-15,6.583000475030715e-14,1.395064544841649e-12,1.589342129041868e-13,1.292017708098836e-13,2.841542105780359e-14,2.503708837475749e-10,1.0943108398608903e-12,2.1052881833683035e-10,7.077975358593669e-13,2.832803436270126e-15,8.856302735442412e-14,1.2094275234075802e-16,1.491862189340054e-16,2.9544509200229996e-18
2220,0,5.312018145774318e-12,2.029122143476069e-13,1.3147596956996667e-12,1.7096418004165434e-12,0.00011000000004895543,4.718583379928476e-15,1.3586490127935093e-13,3.495455301886965e-12,2.4562418410507304e-12,2.6443718091975765e-14,3.6944189027443564e-14,3.7890372263371663e-14,3.9898639947466563e-17,1.6046192152785466e-16,3.5246111584896767e-14,2.5017097768365026e-14,1.540632638824535e-12,7.15965250953042e-13,8.131516293641283e-19,2.42861286636753e-16,3.537209587733958e-18
2220,1,5.312018145774318e-12,2.029122143476069e-13,1.3147596956996667e-12,1.7096418004165434e-12,0.00011000000004895543,4.718583379928476e-15,1.3586490127935093e-13,3.495455301886965e-12,2.4562418410507304e-12,2.6443718091975765e-14,3.6944189027443564e-14,3.7890372263371663e-14,3.9898639947466563e-17,1.6046192152785466e-16,3.5246111584896767e-14,2.5017097768365026e-14,1.540632638824535e-12,7.15965250953042e-13,8.131516293641283e-19,2.42861286636753e-16,3.537209587733958e-18
2221,0,3.819098141032151e-12,5.299035161223813e-07,5.4899996658379366e-05,4.43311479075858e-09,1.8258211603451287e-09,1.8002400280195852e-08,2.7480240840846697e-11,8.127225861882906e-08,9.872389612816188e-08,8.08947782498788e-10,4.5656848419138585e-10,2.330133921316785e-09,1.5679792013389982e-10,5.504928163053285e-09,9.91778135311927e-11,6.962338670548534e-08,1.8718606569281815e-10,7.205396410086976e-09,3.6389475146277744e-12,3.786141539174892e-12,8.378864142360174e-10
2221,1,3.819098141032151e-12,5.299035161223813e-07,5.4899996658379366e-05,4.43311479075858e-09,1.8258211603451287e-09,1.8002400280195852e-08,2.7480240840846697e-11,8.127225861882906e-08,9.872389612816188e-08,8.08947782498788e-10,4.5656848419138585e-10,2.330133921316785e-09,1.5679792013389982e-10,5.504928163053285e-09,9.91778135311927e-11,6.962338670548534e-08,1.8718606569281815e-10,7.205396410086976e-09,3.6389475146277744e-12,3.786141539174892e-12,8.378864142360174e-10
2222,0,1.790698199259904e-10,1.7794560567212887e-13,3.4705379303896777e-15,4.2048783693241637e-10,0.00011000000004895562,1.4763852033278235e-15,6.279529576446591e-16,6.228292286821206e-10,1.0589496297121756e-11,8.833132386339496e-13,4.2920961923487155e-14,2.84147705365001e-14,5.8112121018027985e-11,9.352327939859961e-14,8.143156288165088e-12,3.942901777645447e-14,1.1388468293405118e-11,2.3063520765507356e-11,2.5196698839793225e-12,3.400058012914542e-16,4.526544070126981e-18
2222,1,1.790698199259904e-10,1.7794560567212887e-13,3.4705379303896777e-15,4.2048783693241637e-10,0.00011000000004895562,1.4763852033278235e-15,6.279529576446591e-16,6.228292286821206e-10,1.0589496297121756e-11,8.833132386339496e-13,4.2920961923487155e-14,2.84147705365001e-14,5.8112121018027985e-11,9.352327939859961e-14,8.143156288165088e-12,3.942901777645447e-14,1.1388468293405118e-11,2.3063520765507356e-11,2.5196698839793225e-12,3.400058012914542e-16,4.526544070126981e-18
