,,0,1,2,3,4,5,6,7
0,0,8.98220085269117e-06,6.0824289216569065e-12,1.0000005551115122e-12,1.3629425104397014e-05,0.002399295928076288,1.0000005551115122e-12,1.0000005551115122e-12,7.233594999484336e-05
0,1,8.98220085269117e-06,6.0824289216569065e-12,1.0000005551115122e-12,1.3629425104397014e-05,0.002399295928076288,1.0000005551115122e-12,1.0000005551115122e-12,7.233594999484336e-05
1,0,9.054811661698237e-06,1e-12,1.0000083266726837e-12,1.397829403497738e-05,7.990029972143128e-07,3.886108991406873e-07,1.1883727831417518e-06,5.705360057784825e-05
1,1,9.054811661698237e-06,1e-12,1.0000083266726837e-12,1.397829403497738e-05,7.990029972143128e-07,3.886108991406873e-07,1.1883727831417518e-06,5.705360057784825e-05
2,0,0.00027564117998286273,1.0000005551115122e-12,1.0000005551115122e-12,1.9128834020035682e-05,0.002223089157461627,2.854248390482655e-05,3.0063756108519325e-05,1.3747451997230592e-07
2,1,0.00027564117998286273,1.0000005551115122e-12,1.0000005551115122e-12,1.9128834020035682e-05,0.002223089157461627,2.854248390482655e-05,3.0063756108519325e-05,1.3747451997230592e-07
3,0,0.00030688946699685055,1.5951700243160739e-12,1.0000005551115122e-12,9.957272918008135e-06,0.002767043358268595,0.0011482601500026138,5.066407985681144e-05,7.436937787215195e-05
3,1,0.00030688946699685055,1.5951700243160739e-12,1.0000005551115122e-12,9.957272918008135e-06,0.002767043358268595,0.0011482601500026138,5.066407985681144e-05,7.436937787215195e-05
4,0,9.054778747124396e-06,9.768912210690025e-10,1.4219093450676048e-05,1.3812617509414199e-05,9.693918674325313e-06,3.8938445052966495e-07,1.1902687127787368e-06,5.703228356278669e-05
4,1,9.054778747124396e-06,9.768912210690025e-10,1.4219093450676048e-05,1.3812617509414199e-05,9.693918674325313e-06,3.8938445052966495e-07,1.1902687127787368e-06,5.703228356278669e-05
5,0,9.054660266725582e-06,4.2368702159817894e-12,1.0000005551115122e-12,1.0000005551115122e-12,3.487999920222256e-06,3.8884367146596776e-07,1.1889408696523055e-06,5.520690808937559e-05
5,1,9.054660266725582e-06,4.2368702159817894e-12,1.0000005551115122e-12,1.0000005551115122e-12,3.487999920222256e-06,3.8884367146596776e-07,1.1889408696523055e-06,5.520690808937559e-05
6,0,9.042769425568947e-06,2.0886027043836458e-09,1.0000005551115122e-12,1.3769512280901372e-05,8.036021523995788e-09,3.8860927076714036e-07,1.1883942297406908e-06,5.481160341518625e-05
