,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5189,0,6.851893944382541e-08,9.893377014808118e-08,3.495939799270516e-07,3.873548504465475e-08,5.271918746218004e-06,9.020004609827569e-05,1.8096198079220944e-06,1.7055440447216315e-06,1.4504617264901297e-05,9.298493424720223e-07,3.6798273200452924e-07,9.970735650370686e-07,6.341653643188172e-10,1.652128913658818e-07,5.747082983120766e-10,1.6258829093537537e-06,2.167996904396674e-09,6.566204566291374e-08,3.203283909912144e-06,1.0349725937386367e-10,5.885467455188018e-11
5189,1,6.851893944382541e-08,9.893377014808118e-08,3.495939799270516e-07,3.873548504465475e-08,5.271918746218004e-06,9.020004609827569e-05,1.8096198079220944e-06,1.7055440447216315e-06,1.4504617264901297e-05,9.298493424720223e-07,3.6798273200452924e-07,9.970735650370686e-07,6.341653643188172e-10,1.652128913658818e-07,5.747082983120766e-10,1.6258829093537537e-06,2.167996904396674e-09,6.566204566291374e-08,3.203283909912144e-06,1.0349725937386367e-10,5.885467455188018e-11
5190,0,1.6693062201788124e-07,1.0302493118754201e-10,2.030669444561342e-09,2.5155276186576117e-08,1.1835368399280589e-05,2.738574626092599e-07,3.134448804202719e-07,6.593840247036062e-12,2.2995685586826553e-05,7.673643577630376e-07,7.774748745834319e-07,2.0987486886486946e-06,1.3716151443798896e-09,6.088749339785982e-11,3.970124576313516e-12,9.15928874379527e-09,1.7591871249653113e-09,5.362255002138892e-08,6.965314343206574e-06,1.0375303047260864e-10,9.842183898390797e-13
5190,1,1.6693062201788124e-07,1.0302493118754201e-10,2.030669444561342e-09,2.5155276186576117e-08,1.1835368399280589e-05,2.738574626092599e-07,3.134448804202719e-07,6.593840247036062e-12,2.2995685586826553e-05,7.673643577630376e-07,7.774748745834319e-07,2.0987486886486946e-06,1.3716151443798896e-09,6.088749339785982e-11,3.970124576313516e-12,9.15928874379527e-09,1.7591871249653113e-09,5.362255002138892e-08,6.965314343206574e-06,1.0375303047260864e-10,9.842183898390797e-13
5191,0,1.6693058208910047e-07,1.198575706305732e-10,2.0345679976860906e-09,2.515401077856391e-08,1.1835261761524034e-05,2.7386378655658e-07,3.1344183848126017e-07,5.2731315929694603e-11,2.2995736485740557e-05,7.673557260298649e-07,7.774678567275175e-07,2.0987302449751314e-06,1.3715810501246928e-09,4.905141397226753e-10,3.990719213420313e-12,9.165173507229198e-09,1.759010175364506e-09,5.361646910854317e-08,6.965318158644936e-06,1.037370536693949e-10,7.421591729302353e-12
5191,1,1.6693058208910047e-07,1.198575706305732e-10,2.0345679976860906e-09,2.515401077856391e-08,1.1835261761524034e-05,2.7386378655658e-07,3.1344183848126017e-07,5.2731315929694603e-11,2.2995736485740557e-05,7.673557260298649e-07,7.774678567275175e-07,2.0987302449751314e-06,1.3715810501246928e-09,4.905141397226753e-10,3.990719213420313e-12,9.165173507229198e-09,1.759010175364506e-09,5.361646910854317e-08,6.965318158644936e-06,1.037370536693949e-10,7.421591729302353e-12
5192,0,1.6705885408877126e-07,5.774265614266749e-13,2.3163307352310684e-09,2.5190289793458132e-08,1.183548504880403e-05,2.747714481560659e-07,3.135983790514835e-07,1.499814568932834e-09,2.2995311257616895e-05,7.693266836265671e-07,7.774718696407831e-07,2.0987398933805784e-06,1.3715830120969441e-09,1.5357883150976526e-10,4.434423314658709e-12,1.0518799432228474e-08,1.761645984036525e-09,5.3696466342572843e-08,6.966091069128137e-06,1.0389540616717596e-10,3.765439058917453e-10
5192,1,1.6705885408877126e-07,5.774265614266749e-13,2.3163307352310684e-09,2.5190289793458132e-08,1.183548504880403e-05,2.747714481560659e-07,3.135983790514835e-07,1.499814568932834e-09,2.2995311257616895e-05,7.693266836265671e-07,7.774718696407831e-07,2.0987398933805784e-06,1.3715830120969441e-09,1.5357883150976526e-10,4.434423314658709e-12,1.0518799432228474e-08,1.761645984036525e-09,5.3696466342572843e-08,6.966091069128137e-06,1.0389540616717596e-10,3.765439058917453e-10
5193,0,1.6415122314271217e-08,3.819464030162444e-06,1.615302735256892e-05,3.581440359852727e-07,7.943285321382679e-09,9.020010398076342e-05,1.9800001271345103e-05,8.523652751150793e-06,2.6716908807581785e-06,2.886573986332408e-06,7.254238295131832e-10,2.9506013697871286e-09,6.392057211659918e-09,6.5004896623874556e-06,2.4829601616080388e-08,5.730211212798519e-05,1.198744121544762e-08,3.702094634824458e-07,2.077989411921195e-06,2.5288533767042765e-10,7.707177200589298e-11
5193,1,1.6415122314271217e-08,3.819464030162444e-06,1.615302735256892e-05,3.581440359852727e-07,7.943285321382679e-09,9.020010398076342e-05,1.9800001271345103e-05,8.523652751150793e-06,2.6716908807581785e-06,2.886573986332408e-06,7.254238295131832e-10,2.9506013697871286e-09,6.392057211659918e-09,6.5004896623874556e-06,2.4829601616080388e-08,5.730211212798519e-05,1.198744121544762e-08,3.702094634824458e-07,2.077989411921195e-06,2.5288533767042765e-10,7.707177200589298e-11
