23dpg,2pg,3pg
0.996055656448003,0.9964412514831251,0.9999999998312522
0.9960546847429333,0.9966032975085004,0.9999903407203855
0.9960548467996456,0.9966790560235581,0.9999858239849355
0.9960564123530247,0.9966391554592905,0.9999882036586868
0.996052736772558,0.997966046415867,0.9999091073318673
0.9960563536325252,0.9998695836670674,0.9997956373933682
0.9960565050934221,0.9965081268715978,0.9999960153035217
0.9954152612703545,0.9999914746524363,0.9997883694716485
0.9954152961418804,0.9995381209357435,0.999815396171661
0.9960546035900497,0.9964418931484278,0.9999999634158687
0.9960442316367405,0.999579202244857,0.9998129447518888
0.9960565112963365,0.9966612423701197,0.9999868882062137
0.9955667346601954,0.9967284746027892,0.9999828805325036
0.9956935895642305,0.9973883696359435,0.9999435433171174
0.9958456974958085,0.9999993371323375,0.9997879027701279
0.9960141562517599,0.9964412921100834,0.9999999996188488
0.996049258910058,0.999961527955551,0.999790156732017
0.9958214859188842,0.9999995651084306,0.9997878884460041
0.99600786755925,0.9998751174515752,0.9997953075389538
0.9955752591597252,0.9964417106994395,0.9999999746928324
0.9960411661336958,0.9986597962203013,0.9998677535717889
0.9960379344456557,0.9999999869001504,0.9997878632044598
0.9960391088707484,0.9964412534586687,0.9999999997914626
0.9958382412604336,0.9999999975160476,0.9997878641637649
0.9955935043460673,0.9964416379794926,0.9999999798225252
0.9955298334506452,0.9964707364714649,0.9999982453097414
0.9954150751455175,0.9996809615086945,0.9998068827294397
0.9954679971863379,0.9964417944072781,0.9999999707010586
0.9954150554809498,0.9999999955017598,0.9997878652000654
0.9954150522950912,0.9985694397957622,0.9998731411742725
0.995415046348806,0.9964413118541691,0.9999999997453723
0.9954161993777308,0.999996760434877,0.9997880841843327
0.9959813322631363,0.9999999932370239,0.9997878791647478
0.9954132585182076,0.9964414479037305,0.9999999997550897
0.9954178425943969,0.99644140691702,0.9999999594320891
0.9954113919098461,0.9964440017725328,0.9999999017871296
0.9954629315291322,0.9999999985315929,0.9997875594895755
