GAPD,GAPD_23dpg,GAPD_23dpg_2pg,GAPD_23dpg_3pg
0.16376427932322762,0.0007485695759256499,0.8354864865041328,6.645967137099664e-7
0.1635283827437905,0.0009566454142595884,0.797471475299305,0.03804349654264507
0.16356584815664518,0.0009193654406708189,0.7796821365042252,0.055832649898458805
0.16393832610599945,0.0005920843303034927,0.7890116079372017,0.046457981626495524
0.16304436656356183,0.0013721455402614503,0.47756834966095413,0.3580151382352227
0.1639278422961601,0.0006077564968874464,0.030617232492744586,0.8048471687142079
0.16396449526776735,0.0005762766650805905,0.8197662678605272,0.01569296020662483
5.4040318692108e-12,0.14044918106990156,0.0020591389446246037,0.8574916799800698
7.54068863004099e-9,0.1404511848813353,0.1115591345193682,0.747989673058608
0.16348804218095508,0.000979071971849432,0.835388793656236,0.00014409219095971016
0.16092881523721367,0.003169882187045803,0.09883926768920344,0.737062034886537
0.16396811780305837,0.0005756579607132807,0.7838180903600908,0.05163813387613756
0.039575155344769374,0.10669397318828554,0.7848345392026937,0.06889633226425121
0.07229227497977014,0.07876510159147074,0.6230108550502756,0.22593176837848342
0.11109875581660082,0.04568787235755901,0.00015706173119350828,0.8430563100946468
0.15343470508177395,0.00957299417943842,0.8369907968914281,1.5038473595227e-6
0.16218298388633784,0.002113162610075404,0.009034497952981441,0.8266693555506054
0.10496874260559569,0.05091954884682887,0.00010315385716900742,0.8440085546904065
0.15187230482918446,0.010909953707107645,0.0293796222546558,0.8078381192090521
0.04179458280114759,0.10480666933661612,0.8532969401881817,0.00010180767405466553
0.16017153060835612,0.003831119645418202,0.31483449135577396,0.5211628583904516
0.15937547924043527,0.004513033069714417,3.077760752735004e-6,0.8361084099290977
0.15961617702611366,0.004260353246786615,0.8361226477969375,8.219301621754465e-7
0.10922157958570636,0.04730127219596488,5.887408800421792e-7,0.8434765594774488
0.04655825068850521,0.1007728747912764,0.8525877720982764,0.00008110242194196547
0.030038161434799766,0.11487462417845697,0.8480143130651208,0.007072901321622613
1.7268673482297727e-12,0.14049804592585471,0.07705467826930652,0.7824472758031118
0.013891256190887056,0.12864885369352974,0.8573414625623179,0.00011842755326517424
1.5438955049649783e-11,0.1405025881958646,1.0864173847353977e-6,0.8594963253713116
1.5484208119161076e-8,0.14050314764502536,0.3455094235011467,0.5139874133696197
7.406696219162712e-10,0.14050440767768402,0.8594945599210195,1.0316606266622556e-6
5.068404406787058e-11,0.14039403818264115,0.000782616763427338,0.8588233450032475
0.1455169627979607,0.0166225890366556,1.5923823185833514e-6,0.8378588557830652
2.522505960411219e-11,0.14087230918415747,0.859126698887945,9.91902672560073e-7
0.00003969173058112493,0.139833891985446,0.8599619557892076,0.00016446049476520543
5.244131841981175e-10,0.14144149941249828,0.8581608934238365,0.00039760663925204865
3.4244821086075425e-10,0.1301820374146382,3.58392777106411e-7,0.8698176038501366
