k^r_PGMd1,k^f_PGMd1,k^r_PGMd2,k^f_PGMd2,k^r_PGMd3,k^f_PGMd3,k^r_PGMd4,k^f_PGMd4
2.4015870375387277e6,1.3242097891320673e8,9.998721917387369e8,7.765370291132985e8,7.690719317510439e8,339.35619172359605,417.28373354717513,8.71675720553955e8
0.0035280655327229763,0.2489659560912389,4896.141220146404,2.830185091223315e8,6.018131726728011e8,355.5455113336535,4.4480197105363466e7,9.324042823875759e8
0.08210544915325228,5.566894553360401,6338.915311559329,4.1290741500558466e8,6.407296277908832e8,365.2275822224234,777.3589940525574,14987.255792813461
0.000020803747186238402,0.0009063378308896711,4009.1168409318534,4.5725494480300826e8,9.722841183446307e8,359.3369001449307,5.8086816146844424e7,9.865130011573898e8
598.9272915519095,60801.45233924261,520.3124082613477,1.9733312174686995e8,4.196082919378392e8,593.759655805362,7.496610739340249e8,9.999985876413548e8
1.4310939707977608e7,6.40015525323883e8,231.41947494831072,4.4546512807536876e8,9.476001313069468e8,9260.866506913975,2.1000633594623283e7,799172.7868553131
1.2131263781371253,51.43191953710089,12048.478630596177,4.729742484831336e8,9.991238941442142e8,345.8646203501505,33129.41401843613,1.74530796132508e6
1.1026148650450485e-6,3.4567710994317275e8,227.68229057051607,1.9998792043053226e6,9.599601007956395e8,6.126013357762198e6,26689.627670983085,340.8538407079035
7.273065254293043e-6,1.634095193770081e6,74877.54033131145,2.600383549139943e8,1.2941373943192284e8,17084.293721056878,224.64683273311329,350.7867818482338
1.097728717825491e7,7.92992574174474e8,1.2964516695389645e6,2.768995610062102e8,5.880153838114604e8,339.4139885352183,172208.94226490433,9.999994593531666e8
2.3195815199697497e6,5.511431536019047e8,485.98933946875064,1.20655856996281e8,9.906634382189198e8,5251.656378692385,764.059935216869,415.58334352378216
4.219030201635708e6,1.786747598891757e8,3606.8799500912305,4.702966455206647e8,9.999994366266644e8,361.71279653074276,6.536491337253826e7,9.921821026834975e8
0.0011611990585698214,37.76325353840486,2.0462851399916452e6,8.594629635896047e8,5.845860840166719e6,373.2949081199491,223.60823794999973,5968.574359297068
9.394460454706272e-6,0.12346937726250046,120918.80925984227,2.2715738789738014e8,9.332216939753683e6,484.5381905449538,226.41437240640232,1661.7994894279095
191556.68240354222,9.502426405514694e8,222.97879271595454,5.980682478542503e6,1.3464737077738246e7,1.8418629081272357e6,3.1322575250820342e7,6111.562095278792
5.0089551239327855e-6,0.0037697869109373622,9.966048342255843e8,1.1733748445281126e8,6.0244926845690474e7,339.35757986170415,293.89910721708634,3.172441154147167e8
1.2545701901787221e-6,0.0001971823621007608,225.3702774774394,1.2815362668920553e8,2.7251261636617345e8,31391.243057660125,7.937541474483447e8,8.675053589437235e6
45191.09018490061,2.6443737656260997e8,223.14728828225975,5.373877466240911e6,4.073813612369905e8,2.071982333495102e7,597388.6687062817,349.1472501748127
1401.0424305915394,1.2140626024347837e6,231.04160077743012,2.486719301212728e7,5.287772243752826e7,9670.52921350199,8.484134039129301e8,3.085555866666131e7
4.515746837159484,136597.8869276138,7.228705839257385e8,4.5742478223918015e8,5.61107121876497e6,339.4027209255967,224.22718747547424,4.1937717234062147e6
0.04362550759353611,12.587119403040083,357.60849726917115,7.071163139495765e7,1.5035923733787397e8,901.1143010204256,4.49185799191192e8,2.713535916015868e8
328045.8185911776,1.1205390295062155e8,222.93482208204918,6.003521781426715e7,1.510004264451899e8,9.533238753518513e7,5.2143690800829357e8,2195.539921660296
2.8543354247719175e6,9.19007767879863e8,4.6074471762183946e8,9.290639452218089e7,1.3522862161364707e8,339.35409329757516,706.6507363805065,9.997204066895387e8
0.056376444599051036,294.515069501792,222.93446905236496,5.778471697525872e6,3.338476156300509e7,6.417967187778896e8,3.7377878832034534e8,536.9984562225276
90.86231819018447,2.372336418843061e6,2.357899269158234e6,2.749248344439304e6,5.830334061820595e6,339.391757106697,83283.17635133128,8.784157267627317e8
5.432939038834008e-6,0.2506288480584263,165847.92978088983,7.96531274691337e6,5.153561115240863e6,342.4939158436084,319.770203491634,71719.17143749869
1.007130825410148e-6,9.88422594099294e8,641.0214101346417,3.4149271119918884e6,9.213895546139054e7,18502.374989952426,531.4405058065006,355.630382362766
1782.4589148085265,1.9912665467311603e8,7.33024941085396e7,4.501220296866907e7,4.593122330352051e6,339.4129455699516,234.17099382654877,3.694348726628989e6
1.0032254058202497e-6,1.1013121053061081e8,222.9357632423202,1.9823247075153554e6,1.4795538750308683e7,3.940897204765464e8,1.570057298751014e8,474.5625679322641
0.007724589438096953,8.455084050303336e8,1150.1819843274523,3.8289567081223913e6,7.5182746675878605e6,967.5075839383253,462.2480674581473,772.4351088472633
0.0002820137995337241,6.45329093554862e8,9.963779715752001e8,5.847366953227031e6,4.215168184081821e6,339.36116981065726,337.27203351658756,5.1101497955217797e8
3.11704335128989e-6,1.0415154528957216e8,223.1409751755665,1.984252538312824e6,4.268866317647992e6,373603.21209584095,2.9840926638849735e7,27469.420587279674
11122.129591733328,1.5325634600041976e7,222.9436565274013,1.6334655437144015e7,3.836515448109271e8,5.129336873657497e8,5.105992630033413e7,373.164252982054
2.802362649263014e-6,1.8878315415131044e8,5.604721348404405e8,3.656032059603675e6,4.203572562948097e6,339.3899704251474,485.2609845670248,6.594585765327822e8
0.5059421176238595,2.1501002729409203e7,1.2743780061869805e6,2.075889667333649e6,4.238253647601231e6,339.3770562846778,5583.939937871963,3.0642142152710423e7
1.088712961085681e-6,3.542110559005618e6,2.4757606102996302e8,4.5301188285998684e8,4.1834009409173136e6,339.61022616777444,223.9310921595193,1.0796863582711073e6
1.0950538520405775e-6,5.021542113804791e6,222.6969374730548,2.1624110553918285e6,9.922200533148117e6,9.999993197705442e8,8.554983514498322e8,628.200222075125
