GAPD,GAPD_2pg,GAPD_3pg
0.10950384634080389,0.10655480311884019,0.7839413505403561
0.10950391630575196,0.10545652939052406,0.7850395543037239
0.10950358227259271,0.04248090926512557,0.8480155084622816
0.10950405788531412,0.10808342698828816,0.7824125151263978
0.10950409667845432,0.00002460616160413889,0.8904712971599417
0.10950369782782997,0.49217340357886097,0.398322898593309
0.109504290507976,0.8265623046143742,0.0639334048776499
0.10950303079418787,0.12818596066498195,0.7623110085408301
0.10950450401087491,0.044118540691761764,0.8463769552973632
0.1095028675771825,0.10846127632747811,0.7820358560953394
0.10950259427213041,0.1066210107068263,0.7838763950210432
0.1095048531527418,0.5715314921239085,0.3189636547233497
0.10950510103082237,0.000013544563578582663,0.890481354405599
0.10950531145765856,0.8884547611480406,0.0020399273943008406
0.10950542920260542,0.058778760792227415,0.831715810005167
0.10950547483405675,0.00001080571248137387,0.8904837194534619
0.10950584875066209,0.38921040717444033,0.5012837440748975
0.10950587168125644,0.881430379231667,0.009063749087076455
0.10950595836589111,0.10671951760541216,0.7837745240286967
0.10950610057858136,0.8449605529822556,0.04553334643916306
0.1095061170995044,7.672323582234178e-7,0.8904931156681373
0.10950616606350776,0.24086991164753657,0.6496239222889556
0.1095062303124723,0.00007373746694398495,0.8904200322205836
0.10950646708847622,0.8902440613011061,0.0002494716104175961
0.10950649314187313,0.8904743109856145,0.000019195872512331975
0.10950655959587383,0.8902693691513417,0.00022407125278451733
0.10950659508562888,0.8904905887331206,2.8161812506016587e-6
0.10950663274994996,0.8904918250771147,1.5421729352880261e-6
0.10950663677498591,0.203377159398575,0.6871162038264392
0.1095066391454125,0.33677089410720473,0.5537224667473827
0.10950664298159628,4.939921197072157e-6,0.8904884170972065
0.10950664419005784,0.06709911758120018,0.8233942382287419
0.10950664450240678,0.2135147205049931,0.6769786349926002
0.1095066442856646,2.154710597108799e-6,0.8904912010037384
0.10950664584522997,0.8645508295694119,0.025942524585358038
0.10950664723621532,0.48855262401288146,0.40194072875090325
0.10950664964160067,0.8892329680063488,0.001260382352050648
0.10950664965735615,0.8895454045268324,0.0009479458158115299
0.10950664801512404,5.281479780717748e-7,0.8904928238368979
0.1095066568420522,0.7845759908211153,0.10591735233683253
0.10950666283698166,5.5030904479800854e-8,0.8904932821321139
0.10950667588121424,0.000037507391596404905,0.8904558167271893
0.1095066925353532,5.736749254859597e-8,0.8904932500971544
0.10950669197891766,0.002708593295941846,0.8877847147251404
0.10950669899411233,0.3725016068198955,0.5179916941859921
0.10950670769725983,0.8904932477844292,4.451831079957432e-8
0.10950671717744807,0.38743927958517455,0.5030540032373774
0.1095067433524042,0.890493210712481,4.5935114793240476e-8
0.10950698923915878,0.8904839271669557,9.083593885556104e-6
