k^r_TPI1,k^f_TPI1,k^r_TPI2,k^f_TPI2,k^r_TPI3,k^f_TPI3
2.1798878170217562e8,1.8954939661830405e6,9.024613510229697e8,617727.7734722876,46696.585924734216,8.394904157461652e8
1.7407450875759996e7,1.1225732960987582e6,2.706505592884406e8,411369.1229668456,29967.278117037316,3.271344351736993e7
27536.534529710632,1.1449093838023199e6,1.767431590150884e7,27624.9264514545,6.073742825237316e8,9.999987852719717e8
49635.13628324736,9.999567866844479e8,6.196615832128462e6,16.696991157114407,26898.514229028726,50239.335653894865
857454.8606638592,3.9510225982755027e6,5.323100271914401e7,88169.36477996393,13161.363887678688,188805.05294580894
10026.445596881244,1.622075561496179e7,1.8622723934447203e7,22985.801911375802,9.736396927593148e8,5.2172414317569524e7
1.0224547767093071e8,9.999984182404193e8,3.1200552753472704e7,22211.726731254355,9927.999468488111,365.99814741740556
54490.005508778544,9.464024520234258e8,9.637856551380835e6,0.002722341209413762,100428.20502666211,396339.25683473476
29380.213872426306,0.0628597135285839,9.637870385208344e6,0.009960938172661863,4.9114875706665176e8,9.62438818677807e8
889986.8764672629,1.7202997107188238e-6,9.637864090222962e6,2.100795708303248e-6,2.177475298765125e6,1.9215006953841597e8
9927.099216223838,0.00001997461861031906,1.680550492955142e7,7.386800423406022e8,9.932722411042917e8,0.168842076956071
12196.92200397446,0.00005317255296328938,9.637864076020079e6,0.000016961001534368606,53340.53057425935,0.00002645100142446587
9.961922114587566e8,1.2944436214420515e-6,6.525257378500221e8,662181.1073917223,9927.098911298242,0.556089325128717
9886.292391331488,17791.745862542793,1.0042486056788774e7,0.00198495485282586,3.041673354161507e8,0.05428981552126456
14350.928147138242,1.8705301513192935e6,5.199119438110108e8,837456.2209574336,9.999993557368984e8,5.096754611418678e8
7.998280286393566e8,1.9703159384112455e7,6.024609151313292e6,669.4473802901957,22419.82759166884,8.763318317513633e8
9744.911851711622,0.00012984178678103212,1.910329651673151e7,2.4570811747384913e7,3.9899652958351836e7,30.47424453059061
9725.003369919466,1.167606830725452e-6,1.2095324651373968e7,0.00005680341970897198,6.314867719701448e7,3.450650986469037e-6
1.2595747948965202e8,2.734124546197115e6,1.3595456930586966e7,0.000012163270967681153,42844.679947365505,4.3392945871916026e8
394849.0569776244,0.0005865149260124653,1.3962835845374878e7,1.9949856630966843e-6,1.5026217142180903e6,5.977658034610198e7
296202.6269665158,2.1448762373217934e-6,6.6065812302111e8,384985.36926014145,9954.799038822317,3555.3143304287964
638720.2393704896,0.008027894669230153,1.647847863531713e7,0.08991606333628151,9709.053065488593,2979.297021690121
68312.09290925732,1.999690557407352e7,2.5114708059933916e7,1459.5474055691247,1.5566830376371518e8,9.777986285018126e8
11004.383157297623,88.66925140595511,4.953614294049658e6,0.4425369367248635,1.9625188074447095e7,0.04091943868887863
12471.082507312878,1.0452345665297484e-6,1.9902330265887845e7,0.000013721308017314863,178804.7924797806,45286.10310052465
9402.663114575227,7.042781517033559,2.1028466831435584e7,117496.39508954236,9.828431488411875e8,8555.6297414814
18852.913259781188,1.6011567422209816e-6,3.071766939050869e7,8163.04212290012,28837.138691011765,10175.84462379783
11883.022819777272,1.0339231472811894e6,9.659584958717998e6,2.8115926010988003e8,4.6565693368114835e8,19673.965064623935
1.8939284209487727e8,3.284749738565677,4.259584636206505e8,116076.3633043636,9265.524579342416,6263.068106979474
9259.15999848095,0.04597454159933963,4.7277706126401013e8,1.9301307444237953e8,1.4430531497945262e7,0.8590737043167125
1.5191253695501477e7,7.774398772890773e6,1.801333972496232e7,8632.355102942198,638447.4500935699,9.611843451125836e8
