dhap,g3p
0.9999999735006244,0.9998924358130526
0.9999945231600507,0.9999550369380795
0.9999999988968085,0.9998881310050132
0.9999870689190626,0.9999999461240141
0.9999809867482646,0.9999998642148238
0.9998497742940703,0.9988142336991848
0.9999947455559595,0.9998996416631877
0.9999910451612426,0.9999942231537545
0.9999999993234697,0.9998934211519804
0.9999999901951173,0.9998935193738338
0.9999971309949173,0.9993954600543892
0.9999911680166248,0.9977141226055981
0.9999462429051603,0.9999999529546908
0.99994453119676,0.9999996231606123
0.9999905193931907,0.99999771618312
0.9999995530021816,0.999598162491655
0.9998797194693482,0.9999993647060234
0.9999999994318167,0.9998893245930379
0.999999991009909,0.999896450855384
0.999994175049238,0.9998917105793851
0.9951072797692597,0.8968227264657279
0.999999290739273,0.9999016547969793
0.9998999155731929,0.9999394436483744
1.0000002217620088,1.0000220214200897
1.0003927785319129,1.0175051184906487
1.0000006562595922,1.0000145211542706
1.0000000216644158,1.0000216866922633
1.0000019422638307,1.0000000002191904
1.000001580812417,1.0000040815525315
1.0000000000193547,1.0000219310978151
1.000001989295301,1.0000000007157686
0.9999932866886387,0.9999613650385952
0.999999995479369,0.9980145057280153
1.0000019785756964,1.0000000054735565
1.0000019826261255,1.0000000034476126
1.0000000005006786,1.0000623390639105
1.0000000488314342,1.000022079655036
1.0000000650941079,1.0000221325785947
1.000000030186997,1.000022528220774
0.9999863499189401,0.9990318648924852
1.0000017524783085,1.000000011093549
1.000001546060315,1.0000056390433874
1.0000020506018825,1.0000000004230714
1.0000010227090894,1.0000116246674657
0.9999770988469117,0.9999999895421889
1.0000000001018046,1.0000234977927944
1.0000020823752975,1.0000000150883133
0.9999999976213522,0.9999599054100685
