GAPD,GAPD_dhap,GAPD_g3p
0.787770790009778,0.0005887335800156378,0.2116404764102063
0.7894149391268174,0.12193227708165627,0.08865278379152636
0.781591679806955,0.000024317234201746637,0.2183840029588433
0.7326974858547174,0.267203920008189,0.00009859413709361421
0.6508064912060026,0.34897279199224235,0.0002207168017549673
0.12197613964852252,0.5167761140158487,0.3612477463356288
0.7148745959937352,0.10593511177595424,0.17919029223031047
0.7892826155372917,0.19932926614450824,0.011388118318200212
0.7897549943070094,0.000015068252568849871,0.2102299374404218
0.7906439922659539,0.00021744932026569128,0.20913855841378023
0.3945121583519124,0.030795944244875542,0.5746918974032121
0.13417606118563208,0.03619442161447838,0.8296295171998894
0.36163973990755033,0.6383107879652292,0.000049472127220547204
0.34978393128414564,0.6498250911536396,0.00039097756221462363
0.7467934010375981,0.24791751790548125,0.005289081056920687
0.5556197995050908,0.005512400764144188,0.438867799730765
0.1876504569964293,0.8119697323808992,0.00037981062267146263
0.7157162559583036,0.000016478448483993257,0.28426726559321247
0.8478961826529597,0.00014896501321065987,0.1519548523338296
0.7688941237569621,0.08732761400805918,0.1437782622349788
0.005625407762564628,0.3467631735912222,0.6476114186462132
0.8463867972811946,0.011567338895136664,0.14204586382366874
0.16346806376552173,0.7939863886568331,0.042545547577645164
0.7731706975519215,0.023159089357718564,0.20367021309035996
0.003785651087642446,0.20137819229283754,0.7948361566195201
0.7916986828512557,0.07038094361361945,0.1379203735351248
0.791698693337409,0.0023234129946054665,0.20597789366798544
0.7916986956825869,0.20829922246902127,2.081848391774492e-6
0.7916986931464024,0.16953515563125637,0.038766151222341415
0.7916986930162018,2.075710939171023e-6,0.208299231272859
0.7807636258172738,0.21922938832140815,6.98586131816469e-6
0.6659035897743847,0.22130383764941267,0.1127925725762027
0.2553223274030189,0.00001914431045704136,0.744658528286524
0.7527450430438841,0.24719439450838301,0.000060562447732803524
0.7478849676794987,0.2520762121563683,0.00003882016413291187
0.4866021413361457,0.0000465549184287696,0.5133513037454255
0.7177015385236076,0.006877897436951444,0.2754205640394408
0.6809552693676657,0.010254748236709127,0.3087899823956253
0.6806974358555545,0.004759110650548205,0.3145434534938973
0.13531655393920902,0.11875421263044349,0.7459292334303476
0.8911992807058885,0.1087397580131597,0.00006096128095193274
0.6360583213840887,0.2750844275387344,0.08885725107717694
0.6226845745748031,0.3773085313407322,6.894084464519409e-6
0.6184012176407657,0.19016757127460623,0.19143121108462813
0.8008712554294931,0.19912069175600047,8.052814506493336e-6
0.5205604900722024,0.000023453365760687702,0.4794160565620369
0.5093948885093842,0.4902904938860405,0.00031461760457538135
0.39597894789792454,0.00040435028203032926,0.6036167018200451
