,ENO3,FBA13,FBA23,GAPD6,PGK9,PGMd4,PGMi3,TPI3
0,1.693786089163041e-07,5.295184820917477e-08,5.667756707850026e-07,3.403375391924923e-08,4.021794927644429e-08,-1.922034310829256e-06,2.029143034464157e-06,-5.015210607583706e-07
1,1.1250324405409627e-07,5.3102088481837574e-08,5.678352756888216e-07,3.496274455713766e-08,3.0634308839649904e-08,-1.9220713342593947e-06,2.0291141599557043e-06,-5.0264709254604e-07
2,1.6928447621467055e-07,5.2951862022008714e-08,5.66775679111675e-07,3.4035854617336936e-08,4.021244526253299e-08,-1.9220384843090686e-06,2.0291473983532627e-06,-5.015207074401929e-07
3,1.582386062182195e-07,5.30302886350993e-08,5.674342926087482e-07,3.4181238256492115e-08,3.7993551749160304e-08,-1.922125208858404e-06,2.029123471310492e-06,-5.02264337185756e-07
4,1.6840124317241134e-07,5.295332692061857e-08,5.66784892297445e-07,3.407150926323932e-08,4.000423292627176e-08,-1.922410528590058e-06,2.0295135873735268e-06,-5.015122908410153e-07
5,1.6897115528990983e-07,5.297836472064805e-08,5.670597506557408e-07,3.4055451118841784e-08,4.0079054963726435e-08,-1.9224187871766352e-06,2.02951291713827e-06,-5.018576574306174e-07
6,-2.273878862979473e-08,5.2755641315435136e-08,5.643482203221417e-07,3.1864195032538234e-08,2.5890464133704327e-08,-1.9632700176686058e-06,2.051360744942464e-06,-5.022733121800606e-07
7,9.592758942744695e-08,5.286040474859321e-08,5.652972718261928e-07,3.171340692137425e-08,2.7686551884453792e-08,-1.962045864445372e-06,2.0516967535578235e-06,-5.035984194136909e-07
8,-2.28014869207982e-08,5.275566461420122e-08,5.643483317330222e-07,3.186460790019497e-08,2.58896254989871e-08,-1.963267575177952e-06,2.0513706219452926e-06,-5.022730354736142e-07
9,-3.193144948454574e-08,5.283554539501066e-08,5.650546691660097e-07,3.1851312452119134e-08,2.5826407984430588e-08,-1.963291623496844e-06,2.051359359447839e-06,-5.030440533720122e-07
10,-2.3977293039934008e-08,5.2756662488137754e-08,5.643556420520389e-07,3.188537400083957e-08,2.5898792471723556e-08,-1.9636165635716907e-06,2.0519301881298887e-06,-5.022613350795968e-07
11,-2.3564837192679988e-08,5.2782487099799376e-08,5.646356425192955e-07,3.187589290437609e-08,2.5898587829864542e-08,-1.9636335899519963e-06,2.0519285930866384e-06,-5.026203816416641e-07
12,-2.229455731139751e-08,5.2760451369215255e-08,5.643990346748673e-07,3.19888712428662e-08,2.6016607090895153e-08,-1.961691007321869e-06,2.050640689325634e-06,-5.022026546005012e-07
13,9.848014315139152e-08,5.289730904255518e-08,5.65763380755424e-07,3.2361633841432313e-08,2.8118730149850887e-08,-1.9585218785166765e-06,2.0512803202820716e-06,-5.033608972142994e-07
14,9.672140777183813e-08,5.263343263301173e-08,5.634009318522536e-07,3.1793296915300084e-08,2.7773669225572555e-08,-1.9604034582280504e-06,2.0509743338200646e-06,-5.015983124030134e-07
15,9.8482814792078e-08,5.289733494529705e-08,5.657636616418493e-07,3.2361860705099055e-08,2.811895297161193e-08,-1.9585276798508074e-06,2.0512869414216785e-06,-5.033608531405053e-07
16,-2.348633643123321e-08,5.2761415338042434e-08,5.64406291370112e-07,3.201028750746126e-08,2.6027359656399802e-08,-1.962048733539765e-06,2.0512098977052428e-06,-5.021903014025011e-07
17,9.686050361779053e-08,5.266013291096292e-08,5.636894390148585e-07,3.1803579408906664e-08,2.778500574063258e-08,-1.960774731852579e-06,2.051428032625668e-06,-5.019406851879215e-07
18,1.2134103144489927e-07,-1.4163316460370502e-07,1.235496654317103e-06,4.7976538023603015e-08,4.0536757950349056e-08,-1.914627667150428e-06,2.0309769964074374e-06,-9.002350708095194e-07
19,1.2136553095842828e-07,-1.4156950392181205e-07,1.2351105738162005e-06,4.7982740006974334e-08,4.0542052132108715e-08,-1.9146126762664055e-06,2.0309659684912977e-06,-8.999004956766754e-07
20,1.2132551319155027e-07,-1.415998268018493e-07,1.2357864420664557e-06,4.795983412145267e-08,4.0523563143990415e-08,-1.914645310422769e-06,2.0309772639670075e-06,-9.006500504832446e-07
21,1.2140804983573616e-07,-1.408178875905757e-07,1.2327986382842935e-06,4.7997688483458756e-08,4.055723445972603e-08,-1.914561467759434e-06,2.0309716579917613e-06,-8.984056659534561e-07
22,1.2135024007875472e-07,-1.4165134349087934e-07,1.2353808642728836e-06,4.798120140092621e-08,4.0540613116535333e-08,-1.9146216013568628e-06,2.03097910118106e-06,-9.000828041783037e-07
23,1.215134375343041e-07,-1.3957688830842788e-07,1.2291444591028269e-06,4.801221484274088e-08,4.057437763549388e-08,-1.914473290819617e-06,2.0309456368284696e-06,-8.96162857110677e-07
