,ENO3,FBA13,FBA23,GAPD6,PGK9,PGMd4,PGMi3,TPI3
0,2.097312554085861e-08,-3.612700893164096e-07,8.898384749045363e-07,1.7782222805351466e-08,1.7768212748348056e-08,-1.984062764748273e-06,2.007967046156945e-06,-4.356984010812351e-07
1,2.85405239798032e-08,3.1911346027551366e-08,3.907563034255545e-07,1.8921430366969357e-08,1.6421131524002597e-08,-1.947207672901608e-06,1.9796053734431634e-06,-3.22682364270856e-07
2,8.339071655427688e-08,-3.590655025710469e-07,9.045085676007148e-07,2.8690805772835226e-08,2.6007362347035826e-08,-1.9249084193262438e-06,2.0048742925582557e-06,-4.386086744367109e-07
3,1.1226663419467831e-07,-3.886809094786644e-06,1.158455120275903e-05,1.6956251669419944e-07,1.2366704246757898e-07,-1.895639572932993e-06,2.026056306224944e-06,-6.0833751958089275e-06
4,2.038745492427552e-07,-3.883811782010243e-06,1.1600429161262582e-05,1.822482187385788e-07,1.3568322447532474e-07,-1.7929588143094691e-06,2.001745488514316e-06,-6.08844553365729e-06
5,3.6110262460319765e-08,-1.7511719084147738e-07,9.431430498807457e-07,3.214200283707669e-08,2.8082191960709928e-08,-1.940069430688248e-06,1.9825114276341737e-06,-5.995422074911438e-07
6,2.5269130909250093e-08,3.229531278843397e-08,3.9452173195009276e-07,-5.794060586872263e-08,-6.770583543813657e-08,-1.948505772603421e-06,1.9803180386073945e-06,-3.431814806775791e-07
7,1.1014145684384856e-07,3.400815666115025e-08,4.1291690844325046e-07,3.4037085594462724e-08,3.1342667530798174e-08,-1.8771676696620182e-06,1.980587662313478e-06,-3.284614526223844e-07
8,2.5163406073408758e-08,-3.609607360191992e-07,8.916838396544334e-07,1.3160749601226483e-08,9.640461623439124e-09,-1.952612555478533e-06,1.979816757752093e-06,-4.3716631480117396e-07
9,6.519758108223952e-08,-9.379770529921992e-06,1.369623873870296e-05,9.51226231116209e-08,7.024901806096383e-08,-1.9418651023727816e-06,2.017186795709663e-06,-3.515570039053228e-06
