,13dpg,2pg,3pg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,23dpg
0,1.9983469371554775e-05,0.0002978179999478229,0.00039783260295420933,8.847817972263691e-05,0.008442260149634768,0.004665955589094761,0.013984004122795898,0.0004998883727863707,0.0020688358560770367,0.0005478494775578566,0.0015455607525624163,0.023432514220888486,8.256795835303625e-05
1,1.952557739892543e-05,0.00029779947754995944,0.0003963640298941945,9.022300163485292e-05,0.0084421907403951,0.004533270733574285,0.013844393547249959,0.0004851680093318045,0.002071067728121264,0.0005448315007516599,0.0015454217919342547,0.023436333834817018,8.25986739332605e-05
2,1.9993026247713075e-05,0.0002969283974455784,0.0003970716562328143,8.830265582989379e-05,0.008444048218719387,0.004665377457976922,0.01398442235119177,0.0004998293763661363,0.0020683163716472557,0.0005472595879814745,0.0015393933283347667,0.02343385075981207,8.257001792083306e-05
3,2.666423188101878e-05,0.00030067591185784827,0.00040239418614033577,6.740786324172267e-05,0.008463817245379791,0.0066715711806724426,0.012649859425737531,0.0007159728303341075,0.002040513592972117,0.0005766095035982634,0.0015598688725772115,0.023403224572597036,8.256926931781467e-05
4,2.6638758590632708e-05,0.00030017305195418367,0.0004010628010458048,6.726477806473227e-05,0.008463687171649876,0.006669138552473899,0.01265114816316472,0.0007157270508605424,0.0020403863006957018,0.0005767326269273018,0.0015538974285933065,0.023403100284874183,8.259884340670893e-05
5,1.9828743869362202e-05,0.00029795555734087997,0.00039670835142947706,8.893147959476915e-05,0.00844181793736213,0.004628268391075774,0.0137825872583477,0.0004954671267469278,0.0020695300018840667,0.0005472277552421591,0.001546178352491495,0.023433162771414717,8.259761972434782e-05
6,1.950761049224693e-05,0.0002977751412101576,0.0003963952244762893,9.029058579568647e-05,0.008440363112318716,0.004533113498264539,0.013844392677507564,0.00048515796861675343,0.002071489505220095,0.0005455057248102532,0.0015452885578659155,0.023434962433332568,8.259778471710943e-05
7,1.9491538232029096e-05,0.00029689940173019614,0.0003958013817624469,9.025215806001088e-05,0.008440321228877586,0.00453239271258534,0.013844780357148692,0.0004850781883845423,0.0020714594787908775,0.0005455318419289738,0.0015387332471979162,0.023434935147410726,8.259959508894901e-05
8,1.9979645994568432e-05,0.00029805361197265045,0.00039672166870538647,8.828551732374588e-05,0.008442337059726666,0.004665853860695178,0.013983959473298216,0.0004998793116622918,0.0020686399999366857,0.0005480462304194095,0.001546761070714809,0.0234323173388907,8.259765430612538e-05
9,2.6085485112063088e-05,0.0003005227911668225,0.0004017630943172056,6.87007723736229e-05,0.008462351256762255,0.006452620785442178,0.012994065054328962,0.000695722880472164,0.0020424370991279877,0.0005746754682088192,0.00155934269175186,0.02340521159424993,8.256932799653194e-05
